original	polished	Count
Lepzig	Germany	    1
[Upsalassa]	Sweden	    1
Ely (Minn.)	USA	    1
[St. Petersbourg]	Russia	    1
Hvitträsk	Finland	    1
[København]	Denmark	    1
Haparanda	Finland	    1
Fridrihsgamn'	Finland	    1
S.-Peterburg' : M. Merkušev	Russia	    1
Petrozavodsk'	Russia	    1
S--Peterburg'	Russia	    1
St. -Petersburg	Russia	    1
[Vyborg']	Russia	    1
[Tavastgus']	Finland	    1
W Krakowie	Poland	    1
Porvoo :;Borgo	Finland	    1
Gel'zingfors'	Finland	    1
2. p.;Gel'singfors'	Finland	    1
S.-Peterburg' :;С.-Петербургъ	Russia	    1
Sundsvall	Sweden	    1
Gel'singfors';Гельсингфорсъ	Finland	    1
Savonlinnassa	Finland	    1
Karlstad	Sweden	    1
Carlstad	Sweden	    1
[Helsinki	Finland	    1
S.-Petersburg	Russia	    1
Macon	France	    1
La Chapelle-Montligeon	France	    1
Montpellier	France	    1
St-Pétersburg	Russia	    1
St-Petersburg	Russia	    1
Kirchhain	Germany	    1
Paris ; Limoges	France	    1
St. Petersbourg	Russia	    1
[Ypäjä]	Finland	    1
Dieren	Netherlands	    1
Å̊bo	Finland	    1
[Seattle (Wash.)]	USA	    1
St. Louis Kaunti (Minn.)	USA	    1
Bridgeport (Conn.)	USA	    1
Milwaukee (Wis)	USA	    1
Red Lodge (Mont.)	USA	    1
[New York (N.Y.)]	USA	    1
Hanna (Wyo.)	USA	    1
Ottawa	Canada	    1
Petrozavodsk''	Russia	    1
Vyborg''	Russia	    1
Serdobol'	Russia	    1
Wiljandis	Estonia	    1
Wien ;;Leipzig	Austria	    1
Leibzig	Germany	    1
[Pesten]	Hungary	    1
Tomsk	Russia	    1
Exeter	England	    1
Helsingfors ;;Stockholm	Finland	    1
Stockholm ;;Helsingfors :;København	Sweden	    1
Upsalassa	Sweden	    1
Kyôpenhaminassa	Denmark	    1
Birmingham	England	    1
Petrograd''	Russia	    1
S.-Peterburg''	Russia	    1
Arhangelsk	Russia	    1
Peterburg	Russia	    1
Vjatka	Russia	    1
Vïden'	Austria	    1
Arhangel'sk''	Russia	    1
S. Peterburg''	Russia	    1
[Ravenna]	Italy	    1
[Vicenza]	Italy	    1
[Verona]	Italy	    1
Haderslev	Denmark	    1
[Erfurt]	Germany	    1
[Köpenhamn]	Denmark	    1
Königsberg	Germany	    1
Halle a. S.	Germany	    1
