name;synonyme
Uusikaarlepyy;uusikaarlebyy
Uusikirkko;uusikaarlebyy
Uusikaarlepyy;uusikaarlepyy
Vaasa;uusikaarlepyy
Uusikaupunki;uusikaupunki
Vaasa;uusikaupunki
Vaasa;vaasa
Valamo;vaasa
Vaasa;vaasassa
Valkjärvi;vaasassa
Valamo;valaam
Warsaw;valaam
Warsaw;varsava
Västerås;varsava
Warsaw;varsovie
Uppsala;varsovie
Vaasa;vasa
Venice;vasa
Västerås;västerås
Verona;västerås
Uppsala;vbsaliae
Riga;vbsaliae
Venice;venezia
Vyborg;venezia
Venice;venise
Barcelona;venise
Riga;ver rigae livonum
Uppsala;ver rigae livonum
Vyborg;viborgae
Vicenza;viborgae
Vyborg;vibourg
Vienna;vibourg
Vienna;viden
Vyborg;viden
Vyborg;viipuri mikkeli
Viitasaari;viipuri mikkeli
Vilnius;viipuri mikkeli
Vyborg;viipurissa
Lappeenranta;viipurissa
Lappeenranta;villmanstrand
Virolahti;villmanstrand
Vilnius;vilnae
Wittenberg;vilnae
Virginia Mn;virginia minn
Wittenberg;virginia minn
Wittenberg;vitebergae
Uppsala;vitebergae
Wittenberg;vitembergae
Vreta;vitembergae
Uppsala;vpsala
Nizza;vpsala
Odense;vpsala
Uppsala;vpsaliae
St Petersburg;vpsaliae
St Petersburg;v sanktpeterburge
Vyborg;v sanktpeterburge
St Petersburg;v sanktpeterburgě
Vaasa;v sanktpeterburgě
NA;v telci
Vaasa;v telci
Vyborg;vyborg
Wandsbek;vyborg
Vaasa;waasa
Warsaw;waasa
Vaasa;waasasa
Turku;waasasa
Vaasa;waasassa
Warsaw;waasassa
Warsaw;warschau
Vaasa;warschau
Warsaw;warszawa
Västerås;warszawa
Vaasa;wasa
Vyborg;wasa
Oniipa;wasa
Vaasa;wasae
Turku;wasae
Vaasa;wasa nikolaistad
Watton Mi;wasa nikolaistad
Västerås;wästeråås
Vyborg;wästeråås
Västerås;wästeråhs
Weida;wästeråhs
Västerås;wästerås
Vyborg;wästerås
Weimar;weimar
Västerås;weimar
Weimar;weimar verlage des industrie comptoirs
Vyborg;weimar verlage des industrie comptoirs
Västerås;westeråhs
Vyborg;westeråhs
Västerås;westerås
Stockholm;westerås
Vyborg;wiborg
Uppsala;wiborg
Vyborg;wiborgh
Lybeck;wiborgh
Vyborg;wiburgi
Uppsala;wiburgi
Vyborg;wiburis
Vienna;wiburis
Vyborg;wiburisa
Vienna;wiburisa
Vienna;wien
Wiesbaden;wien
Vienna;wien leipzig
Vyborg;wien leipzig
Vyborg;wiiburisa
Viljandi;wiiburisa
Vyborg;wiipuri
Viljandi;wiipuri
Vyborg;wiipurissa
Lappeenranta;wiipurissa
Vyborg;wijbor
Visingsborg;wijbor
Vyborg;wijborg
Visingsborg;wijborg
Visingsborg;wijsingsborg
Västerås;wijsingsborg
Visingsborg;wijsingzborg
Turku;wijsingzborg
Viljandi;wiljandi
Vilnius;wiljandi
Viljandi;wiljandis
Visingsborg;wiljandis
Lappeenranta;willmanstrand
Wismar;willmanstrand
Vilnius;wilno
Wittenberg;wilno
Visingsborg;wisingsburgi
Wittenberg;wisingsburgi
Visingsborg;wisingsbvrgi
Turku;wisingsbvrgi
Visingsborg;wisingzborg
Stockholm;wisingzborg
Wismar;wismariae
Wittenberg;wismariae
Wittenberg;witebergae
Vyborg;witebergae
Wittenberg;wittebergae
Tammisaari;wittebergae
Wittenberg;wittenberg
Krakow;wittenberg
Wittenberg;wittenbergae
Worcester Ma;wittenbergae
Vyborg;wjburgi
Worcester Ma;wjburgi
Krakow;w krakowie
Worcester Ma;w krakowie
Worcester Ma;worcester ma
Wurzburg;worcester ma
Worcester Ma;worcester mass
