publisher	self_published	Count
Bärlund	FALSE	  16
Pipliaseuran Kirjapaino	FALSE	  16
Kirjoittaja	FALSE	  16
Pohjalainen osakunta	FALSE	  16
Frälsningsarmén	FALSE	  16
Uusi Suometar	FALSE	  16
Ammattilaisten kp	FALSE	  16
Föreningen för bekämpandet af tuberkulosen	FALSE	  16
Karjalan veljeskunta	FALSE	  16
Helsingin uusi kp.	FALSE	  16
Akateeminen kirjakauppa, jakaja	FALSE	  16
Suomen geologinen toimisto	FALSE	  16
Amerikan Sanomat	FALSE	  16
Becker, Jacob	FALSE	  16
Kaiserlichen Akademie der Wissenschaften	FALSE	  15
J. Simelii arfvingar	FALSE	  15
Vakaa, Gustaf Adolf	 TRUE	  15
Öhman	FALSE	  15
Työväen sanomalehti-osake	FALSE	  15
Ljus	FALSE	  15
Turistföreningen	FALSE	  15
Svenska folkpartiet	FALSE	  15
Suomalaisen puolueen naisvaliokunta	FALSE	  15
K. Kaatra	FALSE	  15
Tytty Lagerstedt	FALSE	  15
K. Valovuori	FALSE	  15
Toimittajat	FALSE	  15
Suomen Lutherilainen evankeliumi-yhdistys	FALSE	  15
B.B. Bergdahl	FALSE	  15
Helsingin yliopisto	NA	  15
Tarmo	FALSE	  15
Imperatorskaâ Akademìâ nauk	FALSE	  15
Billingsley, Johan	FALSE	  15
J. Karsten	FALSE	  14
Backman	FALSE	  14
Kyrkomötet	NA	  14
Sammon kp	FALSE	  14
GEJ. ja K	FALSE	  14
F. & G. Beijers förlag	FALSE	  14
Finska Metallindustrins Arbetsgifvareförbund	FALSE	  14
Öfversättarens förlag	FALSE	  14
Terveydenhoitoyhdistys	FALSE	  14
Lutherska evangeliföreningen i Finland	FALSE	  14
Siirtolaisen kp	FALSE	  14
Martta-yhdistys	FALSE	  14
Suomen Evangeliska lut. pyhäkouluyhdistys	FALSE	  14
Olán	FALSE	  14
Typis academiae	FALSE	  14
Kewät	NA	  13
Konkordia-liitto	FALSE	  13
Toimittajan kustannuksella	NA	  13
Frenckell & Son	FALSE	  13
Länsisuomalais-osakunta	FALSE	  13
Unggren	FALSE	  13
Zeipel och Palmblad	FALSE	  13
P.H. Beijer 	FALSE	  13
Hemma & Utes redaktion	FALSE	  13
Finska Historiska Samfundet	FALSE	  13
Oulun läänin talousseura	FALSE	  13
Länsisuomalaisten esitelmätoimikunta	FALSE	  13
Finska Sparbanksföreningen	FALSE	  13
K. F. U. M	FALSE	  13
H.W. Marjamaa	FALSE	  13
Statsrådet	FALSE	  13
Fr. Vieweg & Sohn	FALSE	  13
B.E. Martin	FALSE	  13
Finlands Svenska Arbetareförbund	FALSE	  13
Turun kaupungin historiallinen museo	FALSE	  13
Suomalais-lut. kustannusliike	FALSE	  13
Haataja, Kyösti	 TRUE	  13
O.y. Valistus	FALSE	  13
Suomen pyhäkouluyhdistys	FALSE	  13
Finska Forstsamfundet	FALSE	  13
G.A. Ekholm	FALSE	  13
O.B. Blomfelt	FALSE	  13
