original	polished	Count
Suomen metsänhoitoyhdistys	suomen metsänhoitoyhdistys	27
Suomen kylvösiemenyhdistys	suomen kylvösiemenyhdistys	27
Statens kommission för huslig ekonomi	statens kommission för huslig ekonomi	27
prändätty Kuningallisesa suomalaisesa präntisä	kuningallisesa suomalaisesa präntisä	27
tryckt hos Johan Christoph. Frenckell	johan christoph frenckell	27
Alex. Lundström	alex lundström	26
Gust. Ronelius	gust ronelius	26
tryckt i kongl. tryckeriet	kongl tryckeriet	26
Finska missionssällskapet	finska missionssällskapet	26
Lutherska evangeliföreningen	lutherska evangeliföreningen	26
C. J. Bergström	c bergström	26
Evankelinen kustannusliike	evankelinen kustannusliike	26
Työväen kp.	työväen kp	26
Tampereen työväen sanomalehti	tampereen työväen sanomalehti	26
Gyldendalske Boghandel Nordisk Forlag	gyldendalske boghandel nordisk forlag	26
Suomen maanviljelys-taloudellinen koelaitos	suomen maanviljelys taloudellinen koelaitos	26
Valtion kotitaloustoimikunta	valtion kotitaloustoimikunta	26
excud. Joh. Kaempe, Reg. Acad. typogr.	joh kaempe reg acad typogr	26
impr. apud Jo. Laurentii Wallium	apud jo laurentii wallium	26
impr. apud Joh. Wallium, A. t.	apud joh wallium t	26
excusa â Petro Hansonio, Acad. typog.	â petro hansonio acad typog	26
[Erik Flodström]	erik flodström	26
prändätyt G. W. Londicerildä	w londicerildä	26
Wasenius	wasenius	25
Wahlström & Widstrand	wahlström widstrand	25
Frenckellin kirjan-prändi	frenckellin kirjan prändi	25
Osuuskunta Wäinämöinen	osuuskunta wäinämöinen	25
Kustannus-o.y. Kansa	kustannus oy kansa	25
excusa â Petro Hansonio Acad. typog.	â petro hansonio acad typog	25
excudebat Petrus Wald, Acad. typog	petrus wald acad typog	25
tryckt hos J. C. Frenckell & son	c frenckell son	24
G. E. Euren	e euren	24
Suomalaisen Kirjallisuuden Seura :;Edlund	suomalaisen kirjallisuuden seura edlund	24
Pyh. Sergein ja Hermanin veljeyskunta	pyh sergein hermanin veljeyskunta	24
aff Petro Hansonio	petro hansonio	24
tryckt uti Kongl. tryckeriet	kongl tryckeriet	24
tryckt af Joh. Kämpe, Kongl. acad. boktr.	joh kämpe kongl acad boktr	24
impressit direct. & typogr. reg. mag. duc. Finland. Jacob Merckell	typogr reg mag duc finland jacob merckell	24
Stolpe	stolpe	23
J. C. Frenckell & Son	c frenckell son	23
[C. G. Clouberg]	c clouberg	23
Maanmittaushallitus	maanmittaushallitus	23
Suom. sos. kustannusyhtiö	suom sos kustannusyhtiö	23
Lutherilainen Evankeliumi-yhdistys	lutherilainen evankeliumi yhdistys	23
Helsingfors-Posten	helsingfors posten	23
Akademiska Bokhandeln	akademiska bokhandeln	23
Kivekäs	kivekäs	22
Hämäläinen	hämäläinen	22
Chr. Ev. Barck	chr ev barck	22
KS. kp.	ks kp	22
[Kongl. tryckeriet]	kongl tryckeriet	22
excudit Johannes Brendeken, Acad. typograph.	johannes brendeken acad typograph	22
prändätty directeurildä ja cuning:da kirjan präntäjäldä Jacob Merckellildä	directeurildä cuning da kirjan präntäjäldä jacob merckellildä	22
G. L. Söderström	l söderström	21
Lillja	lillja	21
Andersin	andersin	21
K. F. Kivekäs	k f kivekäs	21
Pyhäkouluyhdistys	pyhäkouluyhdistys	21
Waseniuska bokhandeln, distr.	waseniuska bokhandeln distr	21
Finska Sjömansmissionssällskapet	finska sjömansmissionssällskapet	21
Kansainvälinen raamatuntutkijain seura	kansainvälinen raamatuntutkijain seura	21
Helsingfors universitet	helsingfors universitet	21
[apud viduam J. Höjeri]	apud höjeri	21
excusa â Petro Hansonio, Acad. typogr.	â petro hansonio acad typogr	21
prändätty Joh. Kiämpildä	joh kiämpildä	21
hoos Ignatium Meurer	hoos ignatium meurer	21
imprimebat Eschillus Matthiae	eschillus matthiae	21
impressit direct. & typogr. magn. duc. Finland. Jacob Merckell	typogr magn duc finland jacob merckell	21
[J. H. Werner]	h werner	21
Suomalainen Kirjallisuuden Seura	suomalainen kirjallisuuden seura	20
Amerikan Sanomat	amerikan sanomat	20
Brage	brage	20
Bergbom	bergbom	20
Folkupplysningssällkapet	folkupplysningssällkapet	20
Suomen kirkkohistoriallinen seura	suomen kirkkohistoriallinen seura	20
Landtbruksstyrelsen	landtbruksstyrelsen	20
