catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	Hultin, Herman	wiborgs svenska lyceums bibliotek	Wiborgs svenska lyceums bibliotek	FALSE	Vyborg	1932
Kungliga	Palmberg, Harry	gustave alphonse hosenträgers upplevelser och 	Gustave Alphonse Hosenträgers upplevelser och ändalykt i Viborg	FALSE	Vyborg	1934
Kungliga	Tamelander, Bertel Eino	suomen tullihallituksen pääphtajat 18121935	Suomen tullihallituksen pääphtajat 1812-1935	FALSE	Vyborg	1935
Kungliga	NA	viipurin kaupungin kirjasto	Viipurin kaupungin kirjasto	FALSE	Vyborg	1935
Kungliga	Borenius, Ingrid	flickskolan i wiborg 17881937 några 	Flickskolan i Wiborg 1788-1937. Några anteckningar om Nordens äldsta offentliga flickskola	FALSE	Vyborg	1937
Kungliga	Hultin, Herman	historik över handelsgillet i wiborg 	Historik över Handelsgillet i Wiborg åren 1887-1937. Utg. med anledning av gillets 50-åriga tillvaro	FALSE	Vyborg	1937
Kungliga	Käpy, Artturi Akseli	the finnish sawmilling school viborgsuomen 	The Finnish sawmilling school [Viborg,Suomen Sahateollisuuskoulu] 1921-1936. [Illustr.	FALSE	Vyborg	1938
Kungliga	Wendt, Ernst Von (1877-1939)	tidigare skeden i ålands befästningsfråga	Tidigare skeden i Ålands befästningsfråga	FALSE	Vyborg	1938
Kungliga	Hedberg, Ivar Helge	dronningavl	Dronningavl	FALSE	Vyborg	1943
Kungliga	NA	sophie brahes regnskabsbog 162740	Sophie Brahes regnskabsbog 1627-40	FALSE	Vyborg	1955
Kungliga	NA	handlingar rörande wiborgs stads räkenskaper 	Handlingar, rörande Wiborgs stads räkenskaper och bokslut för år .	FALSE	Vyborg	NA
