publication_interval	publication_time	publication_frequency	Count
1-3.	1908-1912.	NA	 1
1-4.	1910-1913.	NA	 1
1-7.	1911-1912.	NA	 1
N:o 1-n:o 2.	1915-1915.	NA	 1
1-15.	1906-1911.	NA	 1
2-6.	1908-1913.	NA	 1
N:o [1]-n:o 23.	1906-1911.	NA	 1
N:o 1-n:o 2.	1914-1915.	NA	 1
N:o 1-n:o 6.	1915-1915.	NA	 1
N:o 1-n:o 10.	1889-1912.	NA	 1
2-4.	1913-1913.	NA	 1
1-6.	1906-1912.	NA	 1
Näyten:o.	1914-1914.	NA	 1
N:o 1-n:o 5.	1904-1914.	NA	 1
1-2.	1913-1914.	NA	 1
3-4.	1917-1917.	NA	 1
1-6.	1910-1912.	NA	 1
1-24.	1893-1916.	Kerran vuodessa	 1
1-2.	1911-1911.	NA	 1
1-7.	1908-1915.	NA	 1
N:o 1-n:o 2.	1909-1912.	NA	 1
N:o 3.	1913-1913.	NA	 1
4-5.	1911-1913.	NA	 1
1-5.	1913-1914.	NA	 1
1-5.	1905-1908.	NA	 1
N:o 1.	1914-1914.	NA	 1
1.	1907.	NA	 1
8.	1917-1917.	NA	 1
1-2.	1911-1912.	NA	 1
1-3.	1912-1917.	NA	 1
N:o 3-n:o 20.	1897-1915.	NA	 1
N:o 1-n:o 4.	1909-1913.	NA	 1
1-10.	1909-1916.	NA	 1
1-5.	1911-1916.	NA	 1
N:o 1-19.	1907-1915.	NA	 1
N:o 1-n:o 8.	1910-1913.	NA	 1
5-7.	1911-1915.	NA	 1
N:o 0.	1914-1914.	NA	 1
[1]-5.	1910-1914.	NA	 1
1-7.	1908-1917.	NA	 1
1-3.	1909-1910.	NA	 1
N:o 28.	1916-1916.	NA	 1
1-5.	1910-1917.	NA	 1
N:o 2-n:o 3.	1912-1913.	NA	 1
N:o 0.	1913-1913.	NA	 1
N:o 1-n:o 7.	[1901?]-1911.	NA	 1
N:o 1-n:o 12.	1910-1915.	NA	 1
N:o 1-n:o 5 a.	1911-1915.	NA	 1
N:o 1-n:o 19.	1909-1915.	NA	 1
1-5.	1899-1914.	NA	 1
1-8.	1914-1916.	NA	 1
N:o 1-n:o 10.	1906-1906.	NA	 1
1-2.	1915-1916.	NA	 1
N:o 1-n:o 9.	1907-1909.	NA	 1
N:o 1-n:o 16.	1906-1908.	NA	 1
1.	1904-1904.	NA	 1
N:o 1-n:o 2.	1907-1907.	NA	 1
N:o 1-n:o 2.	1909-1909.	NA	 1
N:o 1-n:o 4.	1909-1910.	NA	 1
N:o 1-n:o 4.	1906-1910.	NA	 1
N:o 1-n:o 2.	1910-1913.	NA	 1
1-34.	1877-1912.	NA	 1
1.	1910-1910.	NA	 1
6.	1907-1907.	NA	 1
5.	1906-1906.	NA	 1
[1]-5.	1900-1907.	NA	 1
N:o 2-n:o 5.	1906-1910.	NA	 1
[1]-2.	1908-1909.	NA	 1
2-3.	1908-1910.	NA	 1
N:o 1-n:o 2.	1916-1916.	NA	 1
N:o 1-n:o 5.	1909-1916.	NA	 1
N:o [1]-n:o 3.	1914-1916.	NA	 1
N:o 1-n:o 5.	1913-1917.	NA	 1
1-4.	1906-1919.	NA	 1
1-15.	1911-1917.	NA	 1
N:o 1-n:o 4.	1914-1917.	NA	 1
N:o 1-2.	1912-1912.	NA	 1
N:o 1-n:o 3.	1916-1916.	NA	 1
N:o [1]-N:o 7.	1910-1916.	NA	 1
1-2.	1916-1916.	NA	 1
N:o 1-n:o 2.	1917-1917.	NA	 1
N:o 5-6.	1917-1917.	NA	 1
N:o 3.	1916-1916.	NA	 1
N:o 1-n:o 6.	1909-1917.	NA	 1
N:o 1-10.	1916-1916.	NA	 1
N:o 1-n:o 6.	1901-1916.	NA	 1
1-5.	1917-1917.	NA	 1
1-3.	1912-1916.	NA	 1
N:o 1-n:o 3.	1917-1917.	NA	 1
N:o 1-3.	1915-1917.	NA	 1
N:o 1-n:o 16.	1916-1917.	NA	 1
1-8.	1914-1917.	NA	 1
N:o 28-n:o 40.	1908-1916.	NA	 1
N:o 1-8.	1916-1916.	NA	 1
3.	1912-1912.	NA	 1
1-8.	1911-1917.	NA	 1
N:o 9.	1917-1917.	NA	 1
1-35.	1908-1917.	NA	 1
N:o [1-]2.	1909-1916.	NA	 1
N:o 1-12.	1908-1917.	NA	 1
N:o 1-2.	1916-1916.	NA	 1
1-3.	1914-1917.	NA	 1
N:o 1-2.	1917.	NA	 1
Vihko 5-vihko 6.	1917-1917.	NA	 1
2-9.	1917-1917.	NA	 1
1; uusi sarja 2-3.	[1895]-1917.	NA	 1
1-2.	1916-1917.	NA	 1
1-11.	1853-1862.	Epäsäännöllinen.	 1
N:o 1-n:o 11 ; [Uusi sarja] n:o 1-n:o 7.	1884-1887.	NA	 1
1. p.-	[1900?]-	Epäsäännöllinen.	 1
Årg. 1, n:o 1 , provnr-4:de årg., n:o 12.	1880-1884.	Kerran kuukaudessa	 1
[1. årg.], 1. häftet-5. årg., 6. häftet.	1877-1882.	Kuusi kertaa vuodessa	 1
1-13/14.	1908-1909.	NA	 1
0-56.	1879-1883.	Kerran kuukaudessa	 1
1-3.	1887-1889.	NA	 1
1. häftet-10. häftet.	1857-1864.	Epäsäännöllinen.	 1
