original	polished	Count
excusa â Petro Hansonio	Hansson, Peter	   4
Lillja :;Wilén		   4
prändätty J. C. Frenckellildä	Frenckell, Johan Christopher I	   4
[C. W. Gyldén]		   4
Maanviljelyshallitus		   4
[ s. n. ]		   4
Suomalaisen Kirjallisuuden Seuran kirjapaino		   4
[Kongl. tryckeriet]	Momma, Peter	   4
Lillja		   4
P. Tikkanen		   4
Työväen sanomalehti-o.y.		   4
Työmiehen kustannusyhtiö		   4
Sammon kp.		   4
Suomen Eläinsuojelusyhdistys		   4
Kirjoittaja		   4
Utgifvaren		   4
Osuuskunta Wäinämöinen		   4
impressit direct. & typogr. magn. duc. Finland. Jacob Merckell	Merckell, Jacob	   4
impr. apud Joh. L. Wallium, A. t.	Wall, Johan Larsson	   4
exc. apud Joh. L. Wallium, A. t.	Wall, Johan Larsson	   4
Aschan		   4
Uudenmaan Eläinsuojeluyhdistys		   4
prändätty Frenckellin kirjan prändisä	Frenckell, Johan Christopher II	   4
[s.n.]	Frölich, Samuel Lorenz	   4
Pekka Brofeldt		   4
Kansan lehti		   4
Wesander		   4
tryckt af Peter Jöransson Nyström	Nyström, Petter Jöransson	   4
[tekijä]		   4
[Wickström]		   4
tryckt hoos Niclas Wankijff, kongl. booktr.	Wankijff, Nils	   4
Tampereen työväen sanomalehti		   4
exc. Joh. Kiämpe R. Ac. typ.	Kämpe, Johan	   4
Sos.-dem. eduskuntaryhmä		   4
präntätty Kuningallisesa suomalaisesa präntisä	Carlbohm, Johan Arvid	   4
prändätty directeurildä ja cuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suuomesa, Jacob Merckellildä	Merckell, Jacob	   4
[Svenska folkskolans vänner]		   4
Sortavalan evankelinen seura		   4
Geol. kommissionen		   4
tryckt hos J. C. Frenckell	Frenckell, Johan Christopher II	   4
[Suomen luotsi- ja majakkalaitoksen ylihallitus]		   4
excud. Joh. Kiaempe, Reg. Ac. typ.	Kämpe, Johan	   4
Finska Vetenskaps-Societeten		   4
[Johan Christofer Frenckell II]	Frenckell, Johan Christopher II	   4
Helsingfors-Posten		   4
Stolpe		   4
prändätty G. W. Londicerildä	Londicer, Georg Wilhelm	   4
Nykterhetens Vänner		   4
excud. Reg. Acad. typ. Joh. Kiämpe	Kämpe, Johan	   4
tryckt hos Peter Hesselberg	Hesselberg, Peter	   4
Gos. tip		   4
Wasenius		   4
Suomen maanviljelystaloudellinen koelaitos		   4
Pietari Hannuxen pojalda Acad. typ.	Hansson, Peter	   4
Lutherilainen Evankeliumi-yhtiö		   4
[Johan Höjers encka]	Johan Höjers encka	   4
Suomen naisyhdistys		   4
Alex. Lundström		   4
excusa typis Acad. apud viduam Petri Waldz	Peder Eriksson Waldin leski	   4
F. Vetenskapssocieteten		   4
Työväen kp.		   4
excud. Joh. Kaempe, Reg. Acad. typogr.	Kämpe, Johan	   4
Fr. Vieweg & Sohn		   4
Pellervo-seura		   4
Wasa Tidning		   4
Akademiska Bokhandeln, jakaja		   4
impr. apud Jo. Laurent. Wallium	Wall, Johan Larsson	   4
Bertrand		   4
Englannin ja ulkomaan bibliaseura		   3
Suomalainen sosialistinen kustannusyhtiö		   3
[Londicer]	Londicerin leski	   3
impressit Johannes Christophorus Frenckell, Reg. Acad. typograph.	Frenckell, Johan Christopher I	   3
Palander		   3
prändätty Joh. Christoph. Frenckellildä	Frenckell, Johan Christopher I	   3
S. Hirzel		   3
Rauhan sanomat		   3
Pelastusarmeijan päämaja		   3
Tampereen kustannusyhtiö		   3
Oulun kirjapaino-osakeyhtiö		   3
[Peder Wald]	Wald, Peder Eriksson	   3
tryckt af Joh. Kämpe, Kongl. acad. boktr.	Kämpe, Johan	   3
Lång		   3
tryckt aff Johan Winter	Winter, Johan	   3
excusa â Petro Hansonio, Acad. typog.	Hansson, Peter	   3
Wickström		   3
Morskoe ministerstvo		   3
Väinämöisen kirjakauppa		   3
prändätty cun. kirj. pränt. H. C. Merckelin leskeldä	Henric Christopher Merckellin leski	   3
tryckt hos directeuren Lars Salvius	Salvius, Lars	   3
Päivälehden kirjapaino		   3
typis Joh. Christoph. Frenckell	Frenckell, Johan Christopher I	   3
Simelius :;Edlund		   3
prändätty, directeurildä ja cuningalliselda kirjan präntäjäldä, Jacob Merckellildä	Merckell, Jacob	   3
Valtion kotitaloustoimikunta		   3
impressit Joh. C. Frenckell	Frenckell, Johan Christopher I	   3
Suomen maantieteellinen yhdistys		   3
Kuopion uusi kp.		   3
Frenckell :;Granlund		   3
Hagelstam		   3
N. P. Karbasnikoff		   3
Chapman and Hall		   3
[Suomen historiallinen seura]		   3
[Andreas Gutterwitz]	Gutterwitz, Andreas	   3
Nuorten miesten kristillinen yhdistys		   3
J. Karsten		   3
Försäkringsaktiebolaget Kaleva		   3
[Svenska litteratursällskapet i Finland]		   3
impr. apud Joh. L. Wallium	Wall, Johan Larsson	   3
Suomi		   3
Sana		   3
Akad. bokh.		   3
[Länsisuomalaisten esitelmätoimikunta]		   3
Suomen Lähetys-seura		   3
Gust. Ronelius		   3
Pečatan' pri Admiraltejskoj Kollegïi v' Tipografïi morskago šlâhetnago kadetskago Korpusa		   3
G. E. Euren		   3
exc. Jo. Wallius	Wall, Johan Larsson	   3
Jyväskylän kaupunki		   3
excusa â Petro Hansonio A. t.	Hansson, Peter	   3
Muinaismuisto-yhdistys		   3
tryckt hos Carl Stolpe	Stolpe, Carl	   3
Sylviayhdistys		   3
Duncker & Humblot		   3
Frälsningsarméns högkvarter		   3
Naisasialiitto Unioni		   3
imprimebat Eschillus Matthiae	Mattsson, Eskil	   3
Alfred Lagerbom		   3
Finska missionsällskapet		   3
Olan		   3
Suomen sos.-dem. nuorisoliitto		   3
excudit Johannes Brendeken, Acad. typograph.	Brendeken, Johann	   3
Kustannusliike Minerva		   3
O. W. Backman		   3
[J. Becker]	Becker, Jacob	   3
präntätty Kuning:sesa suomalaisesa präntisä, direktörin Johan A. Carlbohmin tykönä	Carlbohm, Johan Arvid	   3
B. E. Martin		   3
tekijä		   3
tryckt hos direct. och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	Merckell, Jacob	   3
Clouberg ja kumpp.		   3
Otava, distr.		   3
[Kejserliga Alexanders Universitetet i Helsingfors]		   3
excusa typis Acad. apud viduam Petri Wald	Peder Eriksson Waldin leski	   3
prändätty Joh. C. Frenckellildä	Frenckell, Johan Christopher I	   3
Suom. sos. kustannusyhtiö		   3
[Frenckell]	Frenckell, Johan Christopher I	   3
[Kyrkomötet]		   3
impress. Joh. Christoph. Frenckell	Frenckell, Johan Christopher I	   3
Alb. Bonnier		   3
Lutherilainen Evankeliumi-yhdistys		   3
Kirjatoimi		   3
