original	polished	Count
Schöneman, Gustaf Oskar	male	13
Tucker, Charlotte.	female	13
Flodin, Karl.	male	13
Cygnaeus, Gustaf	male	13
Numers, Gustaf von	male	13
Grotenfelt, Ossian.	male	13
Snellman, Lina	female	13
Karsten, Petter Adolf.	male	13
Rudin, Erik Georg Waldemar Napoleon.	male	13
Reinilä, Edit.	female	13
Pettinen, August.	male	13
Melander, Gustaf	male	13
Bergh, John.	male	13
Mattsson, Guss.	male	13
Lindén, Georg.	male	13
Törngren, Adolf.	male	13
Rikala, Lauri.	female	13
Andrejev, Leonid.	male	13
Andersin, Hanna.	female	13
Forstén, Alma.	female	13
Lehtimäki, Konrad.	male	13
Mäkinen, Lauri	female	13
Daudet, Alphonse.	male	13
Jotuni, Alfred.	male	13
De Lacy, Peter.	male	13
Svederus, Matthias	male	13
Bergius, Petrus Andreae	male	13
Backmann, Lars Henrik	male	13
Arckenholtz, Johan	male	13
Serlachius, Carl	male	13
Hollatz, David	male	13
Gerhard, Johannes	male	13
Ervast, Isak	male	13
Krook, Jacobus Benedicti	male	13
Kraftman, Johannes	male	13
Haartman, Jacobus Johannis	male	13
Borg, Aron Gustaf	male	12
Beecher-Stowe, Harriet.	female	12
Helenius, Matti	female	12
Hipping, Anders Johan	male	12
Tiander, Karl	male	12
Wesley, John.	male	12
France, Anatole.	male	12
Sheldon, Charles M.	male	12
Pätiälä, Fredrik Joel.	male	12
Neovius, Arvid.	male	12
Pallin, Johan Rudolf.	male	12
Calonius, Allan.	male	12
Långfors, Arthur.	male	12
Witting, Rolf.	male	12
Hultin, Tekla.	female	12
Sucksdorff, Julia.	female	12
Leinberg, Georg.	male	12
Eerola, Eero.	male	12
Cajander, Ellen.	female	12
Blanche, August.	male	12
Aarnisalo, Otto.	male	12
Janson, Kristofer.	male	12
Agricola, Mikael	male	12
Wallenius, Gabriel Andreae	male	12
Reuter, Samuel Laurentii	male	12
Thunberg, Carolus Petrus.	male	12
Brenner, Sophia Elisabeth	female	12
Lang, Jacobus Jacobi	male	12
Calamnius, Gabriel Petri	male	12
Ehrensvärd, Augustin	male	12
Tersteegen, Gerhard.	male	12
