gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	55	78	55 x 78 cm.	1to	78	55	0	4290	1
NA	55.5	82	55.5 x 82 cm.	1to	82	55.5	0	4551	1
NA	56	73	56 x 73 cm.	1to	73	56	0	4088	1
NA	56	74	74 x 56 cm.	1to	74	56	0	4144	1
NA	56.5	101	56.5 x 101 cm.	1to	101	56.5	0	5706.5	1
NA	55.5	72	55.5 x 72 cm.	NA	72	55.5	0	3996	1
NA	51	72	51 x 72 cm.	NA	72	51	0	3672	1
NA	58.5	81	58.5 x 81 cm.	1to	81	58.5	0	4738.5	1
NA	56	73	73 x 56 cm.	1to	73	56	0	4088	1
NA	53.5	62.5	62.5 x 53.5 cm.	NA	62.5	53.5	0	3343.75	1
NA	55.5	72.5	72.5 x 55.5 cm.	1to	72.5	55.5	0	4023.75	1
NA	53	61.5	53 x 61.5 cm.	NA	61.5	53	0	3259.5	1
NA	53	60.5	53 x 60.5 cm.	NA	60.5	53	0	3206.5	1
NA	53	58	53 x 58 cm.	NA	58	53	0	3074	1
NA	37.5	54	37.5 x 54 cm.	2long	54	37.5	0	2025	1
NA	65	95	65 x 95 cm.	1to	95	65	0	6175	1
NA	58.5	106	58.5 x 106 cm.	1to	106	58.5	0	6201	1
NA	58	77	77 x 58 cm.	1to	77	58	0	4466	1
NA	58.5	76	58.5 x 76 cm.	1to	76	58.5	0	4446	1
NA	45.5	60.5	45.5 x 60.5 cm. plate 52 x 64 cm.	NA	60.5	45.5	0	2752.75	1
NA	41	61	41 x 61 cm.	2long	61	41	0	2501	1
NA	46	60.3	60.3 x 46 cm.	NA	60.3	46	0	2773.8	1
NA	61	83	61 x 83 cm.	1to	83	61	0	5063	1
NA	49	64	49 x 64 cm.	NA	64	49	0	3136	1
NA	57	82	57 x 82 cm.	1to	82	57	0	4674	1
NA	60	100	60 x 100 cm.	1to	100	60	0	6000	1
NA	47.8	58.5	47.8 x 58.5 cm. plate 50.5 x 62.7 cm.	NA	58.5	47.8	0	2796.3	1
NA	50	57.8	50 x 57.8 cm. plate 52.5 x 63.3 cm.	NA	57.8	50	0	2890	1
NA	44	53.2	44 x 53.2 cm. plate 51 x 62 cm.	NA	53.2	44	0	2340.8	1
NA	49	57.8	49 x 57.8 cm. plate 53.5 x 64.3 cm.	NA	57.8	49	0	2832.2	1
NA	48.5	56.7	48.5 x 56.7 cm. plate 50.2 x 58.5 cm.	NA	56.7	48.5	0	2749.95	1
NA	63	71	63 x 71 cm.	NA	71	63	0	4473	1
NA	64	69	64 x 69 cm.	NA	69	64	0	4416	1
NA	55	57.5	55 x 57.5 cm. plate 63 x 67.5 cm.	NA	57.5	55	0	3162.5	1
NA	55.2	62	55.2 x 62 cm. plate 62 x 70 cm.	NA	62	55.2	0	3422.4	1
NA	55.3	62	55.3 x 62 cm. plate 62 x 70 cm.	NA	62	55.3	0	3428.6	1
NA	57.3	62.5	57.3 x 62.5 cm. plate 61.5 x 70 cm.	NA	62.5	57.3	0	3581.25	1
NA	57.5	62.5	57.5 x 62.5 cm. plate 62 x 70 cm.	NA	62.5	57.5	0	3593.75	1
NA	54	58	54 x 58 cm. plate 61.5 x 69.5 cm.	NA	58	54	0	3132	1
NA	58	61	58 x 61 cm. plate 61.5 x 69.5 cm.	NA	61	58	0	3538	1
NA	14.5	21.4	21.4 x 14.5 cm. plate 23 x 16.7 cm.	NA	21.4	14.5	0	310.3	1
NA	15	21.4	21.4 x 15 cm. plate 27.6 x 39.7 cm.	NA	21.4	15	0	321	1
NA	18	21.8	18 x 21.8 cm.	4to	21.8	18	0	392.4	1
NA	49	57.2	57.2 x 49 cm. plate 64.5 x 52 cm.	NA	57.2	49	0	2802.8	1
NA	43.8	54.8	43.8 x 54.8 cm. plate 46 x 56.7 cm.	2long	54.8	43.8	0	2400.24	1
NA	43.7	58	43.7 x 58 cm. plate 45.6 x 60 cm.	2long	58	43.7	0	2534.6	1
NA	46.7	55	46.7 x 55 cm. plate 48.5 x 59.3 cm.	NA	55	46.7	0	2568.5	1
NA	42.5	57	42.5 x 57 cm. plate 44.5 x 60.8 cm	2long	57	42.5	0	2422.5	1
NA	28	43	43 x 28 c. plate 44 x 29 cm.	2fo	43	28	0	1204	1
NA	137	194	194 x 137 cm.	NA	194	137	0	26578	1
NA	48.3	65.8	65.8 x 48.3 cm.	NA	65.8	48.3	0	3178.14	1
NA	83.2	117	83.2 x 117 cm. plate 92.5 x 127 cm.	NA	117	83.2	0	9734.4	1
NA	77.5	108	108 x 77.5 cm. plate 114 x 87 cm.	NA	108	77.5	0	8370	1
NA	54.2	66.4	54.2 x 66.4 cm. plate 56.7 x 69.7 cm.	NA	66.4	54.2	0	3598.88	1
NA	50.3	56.4	50.3 x 56.4 cm.	NA	56.4	50.3	0	2836.92	1
NA	44	45.5	45.5 x 44 cm. plate 47.5 x 47 cm.	NA	45.5	44	0	2002	1
NA	19	24.8	24.8 x 19 cm. plate 30 x 22.5 cm.	4to	24.8	19	0	471.2	1
NA	NA	NA	2to(4to)	NA	NA	NA	0	NA	1
4to	NA	NA	s. [28] tyhjä ;;4to	4to	28	22	0	616	1
4to	NA	NA	s. [32] tyhjä ;;4to	4to	28	22	0	616	1
8vo	NA	NA	[8to].	8vo	19	13	0	247	1
12mo	NA	NA	12to.	12mo	19	12.5	0	237.5	1
2fo	NA	NA	[poikittais-2to.	2fo	45	30	1	1350	1
1to	NA	NA	[poikittais-1to.	1to	90	60	1	5400	1
32mo	NA	NA	[32to.	32mo	12	7	0	84	1
8long	NA	NA	[8to +	8long	22	13	0	286	1
1to	NA	NA	[poikittais-1to].	1to	90	60	1	5400	1
8vo	NA	NA	[[8to].	8vo	19	13	0	247	1
16mo	NA	NA	[16to].	16mo	15	12	0	180	1
NA	NA	NA	poikittais-1to1/2to].	NA	NA	NA	1	NA	1
NA	NA	NA	poikittais-1to[1/2to.	NA	NA	NA	1	NA	1
NA	30	40	40 x 30 cm.	2fo	40	30	0	1200	1
NA	18.8	32.8	32.8 x 18.8 cm. plate 38 x 24 cm.	2fo	32.8	18.8	0	616.64	1
2fo	NA	NA	2to[1/2to].	2fo	45	30	0	1350	1
NA	NA	NA	4to2 [4?] kuvaliitettä.	NA	NA	NA	0	NA	1
NA	NA	NA	1/2to[1to].	NA	NA	NA	0	NA	1
2fo	NA	NA	poikittais-1/2to	2fo	45	30	1	1350	1
NA	NA	NA	8to[16to].	NA	NA	NA	0	NA	1
16mo	5.5	7.5	16to[7.5x5.5 cm].	16mo	7.5	5.5	0	41.25	1
2fo	NA	NA	2.o.	2fo	45	30	0	1350	1
