gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	47	69.2	69.2 x 47 cm. plate 79.5 x 54.5 cm.	NA	69.2	47	0	3252.4	1
NA	66.7	93	93 x 66.7 cm. plate 101.5 x 73.5 cm.	1to	93	66.7	0	6203.1	1
NA	13.6	18.5	18.5 x 13.6 cm. plate 23 x 18.3 cm.	16long	18.5	13.6	0	251.6	1
NA	25.4	30.5	30.5 x 25.4 cm.	NA	30.5	25.4	0	774.7	1
NA	50.5	71.3	50.5 x 71.3 cm.	NA	71.3	50.5	0	3600.65	1
NA	36.5	49.9	49.9 x 36.5 cm. plate 65.5 x 50.5 cm.	2fo	49.9	36.5	0	1821.35	1
NA	52	66.7	66.7 x 52 cm. plate 72.7 x 58.2 cm.	NA	66.7	52	0	3468.4	1
NA	31	43	43 x 31 cm. plate 50.3 x 38.5 cm.	2fo	43	31	0	1333	1
NA	57.4	60	60 x 57.4 cm. plate 62.5 x 59.7 cm.	NA	60	57.4	0	3444	1
NA	32.3	35.3	32.3 x 35.3 cm. plate 35.5 x 38.5 cm.	NA	35.3	32.3	0	1140.19	1
NA	30	39.8	30 x 39.8 cm. plate 34.7 x 44.4 cm.	2fo	39.8	30	0	1194	1
2fo	NA	NA	poikittais-fol.	2fo	45	30	1	1350	1
NA	32.5	42.5	32.5 x 42.5 cm. plate 37 x 45.7 cm.	2fo	42.5	32.5	0	1381.25	1
NA	32.5	42.5	32.5 x 42.5 cm. plate 37.2 x 45.8 cm.	2fo	42.5	32.5	0	1381.25	1
NA	32.3	42.4	42.4 x 32.3 cm. plate 45.7 x 36.5 cm.	2fo	42.4	32.3	0	1369.52	1
NA	37.8	39.5	39.5 x 37.8 cm. plate 44 x 40.7 cm.	NA	39.5	37.8	0	1493.1	1
NA	37.8	39.5	39.5 x 37.8 cm. plate 44 x 41 cm.	NA	39.5	37.8	0	1493.1	1
NA	32.2	42	42 x 32.2 cm. plate 45 x 35 cm.	2fo	42	32.2	0	1352.4	1
NA	32.3	42.2	42.2 x 32.3 cm. plate 45.9 x 36.7 cm.	2fo	42.2	32.3	0	1363.06	1
NA	41.5	46.7	46.7 x 41.5 cm. plate 51.4 x 44 cm.	NA	46.7	41.5	0	1938.05	1
NA	32.3	42.2	42.2 x 32.3 cm. plate 45.5 x 35.3 cm.	2fo	42.2	32.3	0	1363.06	1
NA	33.2	40.3	40.3 x 33.2 cm. plate 48.7 x 40.3 cm.	NA	40.3	33.2	0	1337.96	1
NA	39.5	123.5	39.5 x 123.5 cm. plate 44 x 126.5 cm.	1to	123.5	39.5	0	4878.25	1
NA	38.2	105.3	38.2 x 105.3 cm. plate 41 x 108 cm.	1to	105.3	38.2	0	4022.46	1
