author_name	Count
Parus Ater	 17
Tegengren, Jacob.	 17
Soini, Lauri	 17
Slotte, K. F.	 17
Roos, Mathilda.	 17
Reuter, Enzio.	 17
Kallio, Aukusti Herman	 17
Hellens, O. von.	 17
Ilkka, Mikko.	 17
Spyri, Johanna.	 17
Hurtig, Karl.	 17
Schauman, Georg	 17
Rosendal, Mauno.	 17
Ojansuu, Heikki.	 17
Enroth, Karolina.	 17
Danielson-Kalmari, J. R.	 17
Collan, Anni.	 17
Kannisto, Artturi	 17
Aarne, Antti.	 17
Rapola, F. O.	 17
Twain, Mark.	 17
Lagervall, Jakob Fredrik	 16
Jännes, Arvi	 16
Grönhagen, K. B.	 16
Svensson, Joh.	 16
Neovius, L.	 16
Willgren, Karl.	 16
Waldenström, Peter Paul.	 16
Procope, Hjalmar.	 16
Tanner, K. O.	 16
Wainio, Edvard August.	 16
Ramstedt, G. J.	 16
Relander, Konrad.	 16
Sohlberg, Hedvig.	 16
Chydenius, Jakob Wilhelm.	 16
Moody, D. L.	 16
Yrjö-Koskinen, Y. K.	 16
Hytönen, Viljo.	 16
Wilkuna, Kyösti.	 16
Ruuth, J. W.	 16
Helander, A. Benjamin.	 16
Sick, Ingeborg Maria.	 16
Gripenberg, R.	 16
Hirn, Yrjö.	 16
Niinivaara, Huugo.	 16
Hainari, O. A.	 16
Lundén, Ossian.	 16
Favorin, Hanna	 16
Koskenniemi, V. A.	 16
Kipling, Rudyard.	 16
Kahilus, J.	 16
Axelson, Väinö.	 16
Sankey, Ira D.	 16
Fraser, Georg	 16
Tšehov, Anton.	 16
Dannholm, Oskar	 16
Rancken, J. Oskar I.	 15
Laurell, Axelius Adolphus	 15
Europaeus, D. E. D.	 15
Schultén, Nathanael Gerhard af	 15
Stenbäck, Josef.	 15
Vakaa, Gustaf Adolf.	 15
Palander, Edvard Wilhelm.	 15
Donner, Arno.	 15
Ramsay, Anders.	 15
Litzell, Karl Emil.	 15
Hausen, Reinhold.	 15
Bolin, Wilhelm.	 15
Ervast, Karl.	 15
Allardt, Anders	 15
Hornborg, Eirik.	 15
Pärssinen, Hilja	 15
Palmgren, Rolf.	 15
Komppa, Gust.	 15
Kallio, O. A.	 15
Hyvärinen, Eero	 15
Thesleff, L.	 15
Tarkiainen, Viljo.	 15
Melander, K. R.	 15
Reuter, Fritz.	 15
Relander, O.	 15
Noponen, Alpo.	 15
Beskow, Nils.	 15
Walakorpi, U. W.	 15
Granfelt, Amanda Lydia	 15
Goethe, Johann Wolfgang von.	 15
Kovero, Ilmari.	 15
Kivirikko, K. E.	 15
Torrey, R. A.	 15
Mäkinen, Antti	 15
Cajander, K. A.	 15
Drummond, Henry.	 15
Renqvist, Henrik	 15
Lönneström, K.	 14
Tuomas	 14
Laitinen, Aatu	 14
Juuti, Kustaa Jonatan	 14
Arrhenius, Johan.	 14
Berg, Carl Oskar.	 14
Elmgren, Sven Gabriel	 14
Kiljander, Ludvig Gabriel.	 14
Oksanen, A.	 14
Rydberg, Viktor.	 14
Hultin, Arvid.	 14
Lagus, Wilhelm.	 14
Lassinen, Emil.	 14
Vuoritsalo, Nuutti.	 14
Vollmar, Agnes.	 14
Serlachius, Julian.	 14
Veijola, Yrjö.	 14
Söderhjelm, Alma.	 14
Biaudet, Henry.	 14
Sandell, Lina.	 14
Skutnabb, Akseli.	 14
Karsten, Petter Adolf.	 14
Hernberg, Alarik.	 14
Löfman, O. W.	 14
Tarkkanen, Antti	 14
Törngren, Adolf.	 14
Ivalo, Santeri	 14
Salmela, Marja	 14
Heyse, Paul.	 14
Ehrnrooth, Leo.	 14
Colliander, O. I.	 14
Oksanen, Kaarlo.	 14
Niemi, Aukusti Robert	 14
Benedix, Julius Roderich.	 14
Onerva, L.	 14
Ekman, Oskar.	 14
Dostojevski, F. M.	 14
Mäkinen, Lauri	 14
Suonio.	 14
Kilpeläinen, E.	 14
Kallio, Elin Oihonna	 14
Järvi, T. H.	 14
Kares, K. R.	 14
Runa.	 14
Alho, August.	 14
Palomaa, Veikko.	 14
Sucksdorff, Vilh.	 14
Strukel, M.	 14
Thomasson, Pehr.	 14
Lydecken, Arvid	 14
Schöneman, Gustaf Oskar	 13
Päivärinta, Jaakko Haniel	 13
Wiklund, K. B.	 13
Sundman, Gösta.	 13
Levänen, S.	 13
Tucker, Charlotte.	 13
Flodin, Karl.	 13
Starbäck, C. Georg.	 13
Cygnaeus, Gustaf	 13
Hällstén, K.	 13
Sirola, Yrjö.	 13
Numers, Gustaf von	 13
Tanner, V.	 13
Yrjö-Koskinen, E. S.	 13
Grotenfelt, Ossian.	 13
Boldt, Robert.	 13
Homén, E. A.	 13
Snellman, Lina	 13
Rudin, Erik Georg Waldemar Napoleon.	 13
Reinilä, Edit.	 13
Pettinen, August.	 13
Brotherus, V. F.	 13
Melander, Gustaf	 13
Bergh, John.	 13
Macduff, J. R.	 13
Mattsson, Guss.	 13
Lindén, K. E.	 13
Lindén, Georg.	 13
Hultin, Tekla.	 13
Vennola, J. H.	 13
Hästesko, F. A.	 13
Granfelt, O. Hj.	 13
Savola, Alb.	 13
Ruuth, Martti.	 13
Rikala, Lauri.	 13
Rantakari, K. N.	 13
Paunu, U.	 13
Andrejev, Leonid.	 13
Andersin, Hanna.	 13
Forstén, Alma.	 13
Louhivuori, O. W.	 13
Lehtimäki, Konrad.	 13
Daudet, Alphonse.	 13
Kajava, Yrjö	 13
Jotuni, Alfred.	 13
Talmage, T. De Witt.	 13
Neovius, E. R.	 13
Keinänen, S. A.	 13
Schefferus, Johannes Johannis	 13
Tengström, Johan Jakob	 12
Borg, Aron Gustaf	 12
Reijonen, Juho.	 12
A-ï-a.	 12
Beecher-Stowe, Harriet.	 12
Helenius, Matti	 12
Hipping, Anders Johan	 12
Pärnänen, Aapo.	 12
Pajula, J. S.	 12
Fagerlund, L. W.	 12
Uschakoff, I.	 12
Tiander, Karl	 12
Hannikainen, K. O. G.	 12
Westerlund, F. W.	 12
Wesley, John.	 12
France, Anatole.	 12
Sheldon, Charles M.	 12
Poppius, B.	 12
Hagfors, K. J.	 12
Hagelstam, Wentzel.	 12
Pätiälä, Fredrik Joel.	 12
Neovius, Arvid.	 12
Pallin, Johan Rudolf.	 12
Calonius, Allan.	 12
Långfors, Arthur.	 12
Korhos-Heikki.	 12
Wrede, K. A.	 12
Witting, Rolf.	 12
K. H. T.	 12
Samuli S.	 12
Sucksdorff, Julia.	 12
Runeberg, J. W.	 12
Relander, H. M. J.	 12
Miller, J. R.	 12
E. L-n.	 12
Leinberg, Georg.	 12
Lavonius, W. A.	 12
Eerola, Eero.	 12
Krohn, Ilmari.	 12
Kilpi, Volter	 12
Cajander, Ellen.	 12
Kekkonen, Jalmari	 12
Blanche, August.	 12
Aarnisalo, Otto.	 12
Palomaa, M. H.	 12
Gripenberg, G. A.	 12
Maunu, J. A.	 12
Kalke, Kosti	 12
Wells, H. G.	 12
Janson, Kristofer.	 12
Jahnsson, Evald Ferdinand	 12
Hahl, Jalmari.	 12
Du Chaillu, Paul B.	 11
Alopaeus, Carl Henrik	 11
Akiander, Matthias	 11
Lillqvist, Otto.	 11
Freudenthal, Edla.	 11
