publisher	Count
[Maanviljelys- ja talousseurain sihteerit]	   1
Suomen viides yleinen kirkolliskokous	   1
Haminan raittiusyhdistys	   1
Kansan Kuvalehden kustannusyhtiö	   1
Tyäväen kp.	   1
Suomen merimieslähetys	   1
Pohjantähden kp.	   1
A. E. Sundberg	   1
E. Moilanen	   1
Åbo Tidning'in kp.	   1
Suomen evank.- luth. pyhäkouluyhdistys	   1
Kansan kuvalehden kp.	   1
I. Lattu	   1
A. Mäkinen	   1
Kauppias J. Kerminen	   1
E. Wirkin kp.	   1
Etelä-Suomi	   1
[Jordbrukarenes i Finland Central-Andelslag]	   1
Tampereen evank.- luth. nuorukais-yhdistys	   1
Vapaamielisten ylioppilaiden raittiusliitto	   1
S. S. Nuorisoliiton Turun osasto	   1
Nuorisoyhdistys Vasama	   1
F. Heinonen	   1
Viipurin sosialidemokratinen agitationipiiri	   1
Evangeliska Tryckeriets förlag	   1
Siipikarjanhoidon ystävät Turussa	   1
Gust. Ekholm	   1
Nya Svenska Läroverkets i Helsingfors	   1
Salems sjömanskyrkas förlag	   1
Frenckellska Tryckeri Aktiebolaget	   1
S. Lagerstam	   1
O. Wennberg	   1
Turun läänin etel. vaalipiiri	   1
Turun lehden toimitus	   1
Työkansan kustannus	   1
Uudenmaan vaalipiiri	   1
Edw. Koskinen	   1
Finska Jaktföreningen	   1
G. A. Koskinen ja kumpp.	   1
Otto Hendel	   1
Förlagsaktiebolaget Valistus	   1
Brødrene Salmonsen (J. Salmonsen)	   1
Akademiska Bokhandel, jakaja	   1
[Hufvudstadbladet]	   1
Lammin Eläinsuojeluyhdistys	   1
A. Halonen	   1
Gröönroos ja K.	   1
SVR	   1
Suomen sähkötyöntekijäinliitto	   1
Suomen sähkötyöntekijät	   1
Tampereen työläisnaisten agitatsionikomitea	   1
[Tampereen sanomat]	   1
Vihtori Alava	   1
[Industriskolans i Helsingfors]	   1
Hipposyhdistys	   1
Yhdistys siipikarjahoidon ystävät	   1
Utgifvarne	   1
K. Palmros	   1
Utgifv.	   1
[Helsingfors utskänkningsaktiebolag]	   1
Kp.-'Kotka'	   1
Suomen metsänhoito-ammattiyhdistys	   1
Axel Rindell	   1
Kansanvalistuseura	   1
Suomen satamatyöntekijäinliitto	   1
Suomen Postisäästöpankki	   1
[Svenska lyceets i Uleåborg konvent]	   1
Wasa Svenska Lycei konvent	   1
Keisarillisen Suomen talousseura	   1
Keisarillinen Suomen talousseura	   1
Suomen polyteknillinen opisto	   1
H. Simonis Empis	   1
A. Wuorinen	   1
Emil Suvainto	   1
Kokkolan kirjapaino	   1
Elementarskolan i Gamlakarleby	   1
Suomen eduskunta	   1
Fredrikshamns stads svenska samskola	   1
Suomen foxterrieriklubi	   1
Luukkonen	   1
Privata svenska fruntimmersskolan i Borgå	   1
Suomen sahanomistaja-yhdistyksen maanviljelysjohtokunta	   1
Joensuun W. P. K.	   1
Helsingin V. P. K.	   1
Suomen Panimoteollisuus Yhdistys	   1
Savonlinnan tyttökoulu	   1
Kalevan kirjapaino	   1
Suomen spiritualistinen seura	   1
Spiritistin toimitus	   1
[sos.dem. eduskuntaryhmän lentokirjakomitea]	   1
Viipurin läänin läntisen vaalipiirin sos. dem. vaalipiiritoimikunta	   1
Vaasan läänin pohjoinen vaalipiiri	   1
J. H. Rosenqvist	   1
Porin maanviljelysseura	   1
Pyhäin Sergein ja Hermanin veljeyskunta	   1
Sampo-seura	   1
Emil Österman	   1
Alfred Lagerbomin jaett.	   1
Föreningen för arbetareskydd och Socialförsäkring i Finland	   1
Åsvikin kp.	   1
Helsingin Sentr. kirjapaino	   1
[Kvinnosaksförbund i Finland]	   1
Kristliga Föreningen av Unga Kvinnor	   1
A. B. Novella	   1
Konstitutionella Arbetareförbundet i Finland	   1
Hämeenläänin metsästysseura	   1
Suomen luth. evank-yhdistys	   1
A. G. Väänäsen kp.	   1
Edw. Helin	   1
Review of Review's Office	   1
Nordiske Forlag	   1
Bröderna Palmgren	   1
Alb. Gammermeyers Boghandel	   1
C. Bertelsmann	   1
[Filosofiska fakultetens Historisk-filologiska sektion]	   1
[Filosofiska fakultetens Historisk-filologiska  sektion]	   1
Suomen merimieslähetys-seura	   1
Sortavalan evankelinen  seura	   1
Hälsovännens expedition, distr.	   1
Frenckellska Tryckeri-Aktiebolagets förlag	   1
Fruntimmersbibelföreningen i Åbo	   1
Institut für innere und gerichtliche Tiermedizin	   1
G. Rosenberg	   1
Hämeen Voima	   1
I. Lindblad	   1
P. Nikolay	   1
[Hästafvelsföreningen Nylands Hippos]	   1
Georg Bondi	   1
J. Oksanen	   1
R. Friese	   1
[Pohjois-Karjalan maanviljelysseura]	   1
Pohjois-Hämeen nuorisoseurain liitto	   1
[Närpes folkhögskolas elevförbund]	   1
[Wasa Segelföreningen]	   1
Tampereen Reaalilyseo	   1
Georg	   1
Varias boktryckeri	   1
[Svenska Lyceets i Uleåborg]	   1
V. Petterson & C:os tryckeriaktiebolag, distr.	   1
Jyväskylän teknillinen yhdistys	   1
Ny jaktklubben	   1
[Tidningen Åland]	   1
S. Monten	   1
Franckellska bokh.	   1
A. Hirchwald	   1
F. Hey'l	   1
Kvinnosaksförb. Unionen	   1
Oulun l. etel. vaalipiiri	   1
O. Lindeman	   1
Oulun Kristillisen työväenyhdistys	   1
Luth. evangeliifören.	   1
Västra Nylands folkhögskola	   1
[Suomen osuuskauppojen keskuskunta r.l.]	   1
Osuuskunta Oma Apu	   1
Sylvia-yhdistys	   1
Industriskolan i Åbo	   1
Helsingin kustannus-oy	   1
Lindstedts antikvar.	   1
Suomen nahanjalostustyöntekiäin liitto	   1
Naantalin kaupunki	   1
Kristl. föreningen af unge män	   1
Förf. :;W. Hagelstam (för landsorten)	   1
G. W. Edlunds bokhn., distr.	   1
Lindstedts antikv. bokh.	   1
Evert Böcker	   1
[Åbo stads Historiska museum]	   1
Otto Ekroos, distr.	   1
Svenska fruntimmersskolan	   1
Folkskoland Vänner	   1
FÖrfattare	   1
[Folkhögskolan i Borgå]	   1
Sen. kirjapaino	   1
Laihian nuorisoseura	   1
Kuopion maalaiskunta	   1
Koitto-lehden toimisto	   1
Alfred  Lagerbom	   1
Stenografiska fören.	   1
Joensuun kirjapaino	   1
[Svenska litteratursälskapet i Finland]	   1
Finlands Vetenskaps-societeten	   1
Suomen ev.luth.pyhäkouluyhdistys	   1
Teknikern	   1
Tullstyrelsens statistiska kontor	   1
Ömsesidiga försäkringsanstalten Sampos försäkringsbibliotek	   1
Lindstedts antiqvariska bokhandel	   1
V. Pettersson & C:o	   1
Pyhien  Sergein ja Hermanin veljeyskunta	   1
Clouberg ja K. [W. Hoving]	   1
G. O. Holmberg	   1
Bäckman	   1
Friedrich Andreas Perthes	   1
Aktiebolaget 'Finlands djurskydd o. djurvårds' förlag, n:o 3	   1
Svenska kvinnoförbundet i Finland	   1
F. Vieweg & Sohn	   1
Viborgsbladet	   1
Tidn. Aftonposten	   1
Helsingin käsityö- ja tehdasyhdistys	   1
Jyväskylän pitäjä	   1
Suomen kaakeli-, fajanssi-  ja uunintekijäin liitto	   1
Kajaanin kihlakunnan maanviljelysseura	   1
Neva	   1
[Hoppets-Härs-kommittén]	   1
[Åbo Tryckeri och Tidnings Aktiebolag]	   1
Itä-Hämeen maanviljelysseura	   1
HTYL	   1
Suomen hevossiitosliittojen edustajat	   1
Hevoskasvatusyhdistys Hippos	   1
Hämeenläänin pohjoisen vaalipiirin sosialidemokratinen piiritoimikunta	   1
Suomen käsityön ystävät	   1
Vaasanläänin hätäapukomitea	   1
Iisalmen yhteiskoulu	   1
Aktiengesellschaftsdruckerei	   1
Kuopion teollisuuskoulu	   1
Minervas bokhandel	   1
C. A. Heinze	   1
Björneborgs stad	   1
Leonhard Simion	   1
P. A. Norstedt & Söner, distr.	   1
Författare :;W. Hagelstam, distr.	   1
Unitas	   1
Käkisalmen työväen sanomalehti-o.y.	   1
Fredrik Mandellöf	   1
Tidnings & tryckeri-aktiebolaget	   1
A. Töpelmann	   1
[Nordisk kirurgisk föreningen]	   1
A. Deichert	   1
Kansan Kuvalehti	   1
Gummerus, distr.	   1
Kadettkåren	   1
Missionsällskapet	   1
[Järnbrukens olycksfallförsäkringbolag]	   1
[Landtbruks- och hushållningssällskapen]	   1
[s.n.].	   1
[Nionde allmänna finska köpmannamötet]	   1
L. Hagan, jakaja	   1
G. Smidt, jakaja	   1
A. V. Havela	   1
Tidning för mjölkhushållning	   1
Suomen muurarien liitto	   1
Akademiska Bokhandeln, jakaja :;[Tekijä]	   1
[C. E. Fritzes hofbokhandeln i komm.]	   1
V. Pettersson & C:os tryckeriaktiebol.	   1
Helsingfors Stadsfullmäktige	   1
Frenckellska Tryckeri-Aktiebolag	   1
Kristliga Föreningen af Unga Kvinnor, jakaja	   1
Eyre & Spottiswoode	   1
M. Lyytinen & K:i	   1
Heinäveden kunta	   1
Söndagsskoleföreningen	   1
Salomo Pirilä	   1
[Kokkolan Suomalaisen yhteiskoulun 'Toverikunta']	   1
Frenckellska bokhandeln	   1
Lindstedts antikv. bokhandel	   1
[Ylioppilaskunta]	   1
Suomalaisten osakuntien yhteinen kansanvalistustoimikunta	   1
Almqvist & Wiksell, jakaja	   1
Jurid. studentfakultetens förlag	   1
K. Silander	   1
K. Vanamo	   1
Exp. af Käsiteollisuus	   1
Fornminnesfören.	   1
tidn. 'Vårt Land'	   1
[Juvan säästöpankki]	   1
Joh. Gust. Wikeström, jakaja	   1
G. de Malherbe	   1
C. & E. Germandts förlagsaktiebl.	   1
Industristyrelsen	   1
[Societas pro fauna et flora fennica]	   1
Viipurin kauppa- ja tehdasyhdistys	   1
Viipurin läntisen vaalipiirin sosialidemokratinen vaalipiiritoimikunta	   1
Viipurin l. länt. vaalipiirin sos.-dem. piiritoimikunta	   1
Yläneen kunta	   1
Tullihallituksen tilastollinen konttori	   1
[Helsingfors Yrkes- och Industriidkareförbund]	   1
Trädgårdsodlingens Vänner	   1
[Länsi-Suomen piirin yksityisoppikoulunopettajat]	   1
[Lappfjärds ungdomsförening]	   1
Tidn. 'Vårt Landt'	   1
Anton Wakkuri	   1
Förbundet	   1
J. A. Falk i distr	   1
Turun ev. luth. seura	   1
V. Humble	   1
Suomen räätälintyöntekijäin liitto	   1
[Svenska Normallyceum]	   1
[Valkealan kunta]	   1
F. Berger	   1
Milo	   1
'Nya Pressen'	   1
M. Lindman	   1
Tekijä :;J. F. Olàn'in kirjakauppa, jakaja	   1
J. F. Olàn'in kirjakauppa, jakaja	   1
Länsi-Suomen kp.	   1
[Viipurin työväenteatteri]	   1
[Viipurin raittiusseura]	   1
Metodistförsaml:s förlagsexp.	   1
Methodist Book-Room	   1
[Postparbanksstyrelsen]	   1
Akademiska  bokhandeln	   1
[Kuopion kauppakoulu]	   1
Exportverein in Finland	   1
'Titulus'	   1
Adolf Gumerus, distr.	   1
[Uleåborgs stads sparbank]	   1
[Kp. Polytypos]	   1
[Svenska samskolans i Kuopio konvent]	   1
Prometheus	   1
Aug. Eklöf	   1
Kaakkois-Karjalan Kirjapaino	   1
[Sparbanken i Åbo]	   1
Luth. Evang.- fören.	   1
[M. Hanemann]	   1
Herman Edgrens bokhandel	   1
Sundhedsbladets Forlag	   1
Vennu Kari	   1
'Julhälsnings' redaktion	   1
Ad. Bergman	   1
Internationella T. o. M.-föreningens förlagsexp.	   1
Tampereen kp.-oy.	   1
Kronoby folkhögskola	   1
[Kuopion suomalainen yhteiskoulu]	   1
Viipurin antikvaarinen kirjakauppa	   1
Kustannusliike Elo	   1
'Aakkoset'	   1
[Kejserliga Finska Hushållningssällskapet]	   1
K. J. Nilsson	   1
J. Hollt	   1
Iv. Iverus	   1
Raumo tryckeri	   1
Missionsbokh.	   1
Aakkos yhdistys	   1
[Nykterhetsföreningen Balder]	   1
Yhteiskuntataloudellinen aikakauskirja	   1
Framtiden	   1
G. A. Hidén	   1
Steiger & C:o	   1
Uudenmaan läänin vaalipiirin sos.-dem piirijärjestö	   1
Ljus' förlag	   1
Folkupplysningssällsk.	   1
'Oma Avu'	   1
Söderström & C:o i distr.	   1
G. Svanljung	   1
Tidn. f. mjölkhushålln.	   1
Mustiala Landtbruksinstitut	   1
Uudenmaan hevosjalostajain liitto	   1
[Finska Statsjärnvägarna]	   1
[Oulun diakonissakoti]	   1
Oulun Kristillinen työväenyhdistys	   1
Veit & Comp.	   1
Pohjois-Hämeen Nuorisoseurain liitto	   1
Unionen	   1
Työväen kirjapaino- ja sanomalehtiliikkeet	   1
N. Kymmel's Sortiment	   1
Juridiska studentfakulteten förlagsrörelse :;Akad. bokh., distr.	   1
[Fornminnesföreningen]	   1
Finsk-ugriska sällsk.	   1
[Lutherska evangeliiföreningen]	   1
Suomen työväen apukassojen keskustoimikunta	   1
G. W. Edlunds förlagsaktibolag	   1
Svenska literatursällsk.	   1
[Nuorsuomalaiset]	   1
Vestra Nyland	   1
Folkupplysnings-sällskapet	   1
[VSY]	   1
Loimaan nuorisoseura	   1
[Vapaa sana]	   1
Viipurin työväen sanomalehti-o.y.	   1
Söderströmm	   1
Tuusulan pitäjä	   1
Ilmari Kiianlinna	   1
Teknillinen aikakauslehti konemies	   1
Suomen terveydenhoitoyhdistys	   1
O. Harrassovitz	   1
Valtion vointutkimuslaboratoorio	   1
[Tilattoman väestön alakomitea]	   1
[Hengellinen totuusliitto]	   1
Svenska Inhemska teatern	   1
Nuorsuomalaisen puolueen kanslia, julkaisija	   1
[Valtion Historiallinen museo]	   1
[Komitén för 13-maj-festen (A. Fabritius)]	   1
Pastor Troitskij, distr.	   1
Ylioppilaiden lähetysyhdistys	   1
[Svenska klassiska lyceum i Åbo]	   1
[Finska kyrkohistoriska samfundet]	   1
Hushållningssällsk	   1
F. kadettkårens kansli	   1
Jac Ahrenberg	   1
John Svanljung	   1
Rud. Kolster	   1
C. E. Frtizes hofbokh. i distr	   1
Finska ångfartygsaktiebol.	   1
W. Hagelstam o. U. Wasastjerna	   1
Euterpe	   1
Hälsovårdsnämden	   1
Björneborgs tidning	   1
Helsingfors accidenstryckeri, distr.	   1
Export Association of Finland	   1
[utgivare]	   1
Gunnar F. Kahlson, distr.	   1
Suomen Kirkkohistoriallinen seura	   1
Tullstorps antikvariat, distr.	   1
Tampereen Antikv. kirjakauppa, jakaja	   1
Luth. Evangeliifören.	   1
Nourrit & C:o	   1
S. Wetterhoff-Asp	   1
Georg Wigand	   1
Ph. Reclam	   1
Sv. Folkskolans Vänner	   1
Suomen allianssilähetyksen toimisto, jakaja	   1
Suomen vaatetustyöntekijäin liiton toimisto	   1
Suomalainen ylioppilas-kirjasto	   1
H. Hillger	   1
Suomen Postisäästöpankinhallitus	   1
Tampereen työväen kp.	   1
Herman Edgrens bokh	   1
Fr. C. Mechelin i distr	   1
Wilh. Billes bokförlagsaktiebol.	   1
Suomen kirkon sisälähetysseura, jakaja	   1
K.F.U.K.	   1
[Finska Bryggeriiindustriföreningen]]	   1
Suomen ylioppilaskirjasto	   1
[Sydvästra Finlands svenska folkhögskola]	   1
V. Castegren	   1
[Svenska Folkskolans Vänners]	   1
Uusfilolooginen yhdistys	   1
Minerva, distr.	   1
Edlundska bokh., distr.	   1
Uusi kp.	   1
Sv. Literatursällsk.	   1
Viipurin Työväen sanomalehti-osuuskunta	   1
'Östra Finland'in kirjapaino	   1
Kustannus-yhtiö Osmo	   1
V. Petterssons & C:os tryckeriaktiebol.	   1
Snmky	   1
K. F. Wasenius	   1
Finska missionsskpt	   1
[E. Lagus i distr.]	   1
Tamp. Kaupunkilähetys	   1
[Suomen sos.-dem. puoluetoimikunta]	   1
Työmiehen kirjapaino	   1
[Työttömyysvakuutuskomitea]	   1
Librairie universelle	   1
Forlagskonsortiet	   1
Domkapitlet	   1
La España Moderna	   1
Lotsstyrelsen	   1
Missionsbokhandeln i komm	   1
H. Barsdorf	   1
Viipurin työläisnaisten liittohallinto	   1
Suom. sos. kust.-yht.	   1
[Porvoon suomalaisen yhteiskoulun toverikunta]	   1
Severi Savonen, jakaja	   1
Suomen Sos. dem. puoluetoimikunta	   1
[Sosialidemokratinen eduskuntaryhmä]	   1
[Polytekniska Institutet]	   1
[Finska Sågverksegareföreningen]	   1
Raittiuskansan kirjapaino-o.y., jakaja	   1
Åbo Underrättelser	   1
Seminarium	   1
Tidn. f. mjölkhushålln	   1
A. Måsbäck	   1
J. Engelhorn	   1
[Konstmuseum i Helsingfors]	   1
Conr. Freeses bokhandel i distr	   1
Alston Rivers	   1
Helsingfors Roddklubb	   1
Boktryckeriet Sana	   1
Centrallaget för Handelslagen i Finlnd	   1
Rütten & Loening	   1
Finsk Militär Tidskrift	   1
Osuuskunta Kehityksen kp.	   1
Hämeen kustannusliike	   1
Suomen Eduskunnan kirjasto	   1
[Lappeenrannan työväenyhdistys]	   1
Öfvers.	   1
[Axel Söderlund, utg.]	   1
Helsingfors gymnastikklubb	   1
Alex. F. Lindberg, distr.	   1
[G. Långhjelm, M. von Nandelstadh, utg.]	   1
N. M. K. Y:n rautatieläisten haaraosasto	   1
Isak Julin, jakaja	   1
Suomalainen Sanomalehtimiesliitto	   1
Suom. sosialist. kustannusyhtiö	   1
Kvinnliga studenters kristliga förening	   1
M. Wuolukka	   1
[Unionen, Kvinnosaksförbund i Finland]	   1
Prior	   1
[Rauman rautatie]	   1
Työväenyhdistys	   1
V. B. Meinander, distr.	   1
Pääsiäis-uutisten toimitus	   1
[Öflund & Pettersson]	   1
P. Sergein ja Hermanin veljeskunta	   1
Charles Emil Boldt	   1
Pohj.työv.osuuskirjap.	   1
Tie- ja vesirakennusinsinöörit	   1
Helsingfors Djurskyddsförening	   1
S:t Katarina sv. församlings kyrkoskola i Petrograd	   1
Labor	   1
Jarrold & Sons	   1
Teaterns förlag	   1
[Porin kaupunki]	   1
Collection Legène et Oudin	   1
Fröléen & C:o	   1
Pirkkalan kunta	   1
R. Saxén, distr.	   1
F. Wunder	   1
Tryckeri- & tidnings-aktiebolaget	   1
Luzac & C:o	   1
Eva Ljungberg	   1
Pedagogiska hushållskolan i Helsingfors	   1
Maskinistföreningens i Finland utlåtande	   1
[Från utskottet n:o 2]	   1
Lägre hantvärksskolan	   1
Replot, utg.	   1
Ida Rosqvist	   1
J. H. Ed. Hertz	   1
Sveriges Allmänna Konstförening	   1
Varia	   1
Husmoderförbundet i Helsingfors	   1
Paul Wahl & C:o, Elektr. Abth.	   1
[Oulun piirin hevosjalostusliitto]	   1
[Åbo Branch of the Touring Club in Finland]	   1
Ekenäs Pappers- och Missionsbokhandel	   1
[Juridiska föreningen i Finland]	   1
Suomen osuuskauppojen palvelushenkilöiden liitto	   1
[Helsingfors sparbank]	   1
[Tekniska Föreningen i Finland]	   1
C. E. Fritze i komm	   1
P. A. Norstedt & Söners förlag	   1
Folkskollärarinneseminarium i Ekenäs	   1
Suomen Osuuskauppojen keskusosuuskunta	   1
E. Pfeiffer	   1
Minervas bokhandel, distr.	   1
[Svenska Landtbrukssällskapens i Finland]	   1
De Blindas Vänner	   1
Sordavala Evangeliska Förening	   1
Osuuskassojen keskuslainarahasto	   1
Finska industrimagasinet	   1
A. Lundström	   1
[Joutsenon 'Tenho']	   1
[Suomen tehdastyöväki]	   1
Finska-ugriska Sällskapet	   1
Finnish Publishing Company	   1
Nauru-Jussi	   1
Nakkilan kunta	   1
Fjäderfäskötselns Vänner	   1
Svenska Landtbrukssällskapens i Finland Förbund	   1
Finska kemistsamfundet	   1
Keski-Suomen työväen kirjakauppa	   1
[Naantalin kaupunki]	   1
Keski-Suomen Työwäen Sanomalehti-, Kirjapaino- ja Kirjakauppa Osuuskunta	   1
[Vihdin kansanopisto]	   1
Miesylioppilaiden krist. yhdist.	   1
Karl Roine	   1
Nylands svenska ungdomsförbund	   1
Nya bokhandeln	   1
[Finska statsjärnvägarna]	   1
I. Hæggström	   1
Lentolehtikomitea	   1
[Åbo stads folkskolor]	   1
Meijeriliitto Muurahainen	   1
J. Frimodt	   1
[Tampereen osuuskauppapiiri]	   1
Waseniuska bokhandel, distr.	   1
Alex. Lundström :;Centraltryckeriet, jakaja	   1
Hjalmar Lax	   1
Sortavan Evankelinen Seura	   1
Porin kotiseutuyhdistys	   1
Länsi-Suomen karjanmyynti-osuuskunta	   1
Viipurin läänin hevosjalostusyhdistysten liitto	   1
Suomen yleinen lääkäriliitto	   1
A. Pichler's Witwe & Sohn	   1
Suomen maakauppiaat	   1
Pohjan Leimu	   1
The National Council of the Women of Finland	   1
Wilhelm Bille	   1
Maatalouskoulujen opettajayhdistys	   1
[Komiténs för undervisning i huslig ekonomi]	   1
[Västra Nylands folkhögskola]	   1
Maarian kunta	   1
Helsingin kaiu	   1
Schulthess & C:o	   1
[Suomen Säästöpankkimiehet]	   1
Lotti Sandström bokhandel, distr.	   1
Effingham Wilson	   1
Turun kaupunki	   1
Iduna	   1
Frenckellska tryckeriaktiebolaget, distr.	   1
Sigrid Heinricius, jakaja	   1
[Tammela-Hipposförening]	   1
[A. Tavaststjerna, jakaja]	   1
Det Nordiske Forlag	   1
Handtverks- och fabriksföreningen :;J. F. Wiemark, distr.	   1
K. Iwar Nordlund	   1
Kirjapainoyhtiö Valo	   1
[Leppävirran kunta]	   1
[Suomen suutarit]	   1
Lempäälän kunta	   1
Alfred  Janssen	   1
K. Kekoni	   1
A.F. Tanner	   1
A. Janssen	   1
Ekenäs tryckeriaktiebolag, i distr.	   1
R. Friedländer & Sohn in Komm	   1
Laulunopettajayhdistys	   1
Société Finno-ougrienne	   1
Helsingfors Gårdsägareförening	   1
Forssan työväen keskuskomitea	   1
F. Enke	   1
Föreningsbanken	   1
Helsingfors Centraltryckeri :;Akademiska Bokhandeln, jakaja	   1
Suomi-yhtiön ystäväin keskustoimikunta	   1
Suomalais-Luteerilainen Kustannusliikkeen Kirjapaino	   1
[Svenska folkskolan i Temmerfors]	   1
[Svenska samskolan]	   1
Red.	   1
J. K. Lindstedt i distr	   1
A. Deichert'sche Verlagsbuchhandlung Nachf.	   1
A. Deichert Nachf.	   1
[Svenska Syföreningen i S:t Petersburg]	   1
[Ungdomsklubben inom Svenska arbetarföreningen i Vasa]	   1
K. Fazer	   1
A. Söderlund	   1
Tampereen sanomain o.y.	   1
Lahden lehden kp.	   1
[Kuopion läänin läntisen vaalipiirin sosialidemokraattinen piirijärjestö]	   1
[Suomen yleinen vanginvartijayhdistys]	   1
Juridiska studentfakultetens förlagsrörelse	   1
Lindstedts antikv. bokhandel, distr.	   1
K. G. Alkman	   1
[Suomen uimaliitto]	   1
Kuopion läänin itäisen vaalipiirin sosialidemokraattinen piirijärjestö	   1
Kuopion kaupunginvaltuusto	   1
Suomen kulta- ja hopeatyöntekijäin liitto	   1
Kullaan kunta	   1
Ota o.y.	   1
Helios [i distr]	   1
J. L. Boehm	   1
Osuuskunta Elämä	   1
[Suomen sosialidemokratinen puolue]	   1
G. W. Edlund [jakaja]	   1
Raumo boktryckeriaktiebolag	   1
[Postivirkamiehet]	   1
Ruuki, utg.	   1
Mikkelin kauppa-apulaisyhdistys	   1
Finlands soc-dem ungdomsförbund	   1
Kosken kunta	   1
Aug. Rietz	   1
[Suomen palloliitto]	   1
Vyborgskïj komitet' Partïi socïalistov'-revolûcïonerov'	   1
Antellska delegationen	   1
Izdanïe 'Věstnika vyborgskoj krěpostnoj artillerïi'	   1
[Suomen muinaismuisto-yhdistys]	   1
[Suomen metsästysyhdistys]	   1
[Helsingfors musikförening och musikinstitut]	   1
[Suomen metalliteollisuuden harjoittajain liitto]	   1
[Izdanïe Literaturnago otděla Gel'singforskago Matrosskago Kluba]	   1
G. E. C. Gad i komm.	   1
N. Öhrnberg, distr.	   1
Fredrikshamns Sparbank	   1
[Vasa handelsskola]	   1
Etelä-Savon Kirjapaino	   1
Keski-Pohjanmaan hevosjalostusliitto	   1
O. Dannholm	   1
Ekenäs tryckeriaktiebolag	   1
Industriidkarenas i Finland Ömsesidiga Brandstodsförening	   1
Kuopion Teollisuuskoulu	   1
[Suomen lähetysseura]	   1
Henry Paulin & C:ie	   1
[Liittohallinto]	   1
[Suomen Kristillinen Työväenliitto]	   1
A.-B. Ekmans förlagsexpedition	   1
[Redakcïâ žurnala 'Truženik' morâ']	   1
A. Helenius förlag	   1
[Helsingfors Elektriska Belysnings Aktiebolag]	   1
[Sällskapet Pellervo]	   1
[Kauvatsan kunta]	   1
Lovisa Sparbank	   1
[Osuuskassojen Keskuslainarahasto]	   1
W. Junk	   1
The Electrician	   1
Keskushallitus	   1
[Gamlakarleby Svenska Förening]	   1
Kimito Ungdomsförening	   1
[Gamlakarleby Segel Förening]	   1
Öfversättare	   1
[Reinhold Hausen]	   1
Ekenäs absoluta nykterhetsförening	   1
Suomen liikemiesten kauppaopiston oy	   1
Mantsinsaari	   1
Tuberkulosin vastustamisyhdistys :;Akateeminen kirjakauppa, jakaja	   1
Fröleen & C:o	   1
Tipografïja 'Zadruga'	   1
Stadsfullmäktige i Jakobstad	   1
Juridiska fakulteten	   1
[Industristyrelse]	   1
Suomen Merimieslähetysseura	   1
[Hälsovårdsnämnden i Övermark]	   1
Försäkringsinspektören	   1
Minerva, distr.]	   1
Nya bokhandeln, distr.	   1
Kajaanin hevosjalostusliitto	   1
Suomen kaakeli- ja uunintekijäin liitto	   1
[Jakobstads kommunala reglementen]	   1
[Finska Statsjärnvägarnes]	   1
[Nordiska Kirurgiska Föreningen]	   1
Jyväskylän kesäyliopisto	   1
Izdanïe Individa	   1
Izdanïe Gel'singforskago sověta	   1
[Helsingfors stads folkskolor]	   1
Sosialistin kp.-osuuskunta	   1
Itä-Hämeen kustannustoimisto	   1
Turun l. etel. vaalipiiritoimikunta	   1
[Suomalaisuuden liitto]	   1
Suomalaisen työväenliitto	   1
[Suomalainen työväenliitto]	   1
[Finska Ångfartygs Aktiebolaget]	   1
G. Reimer i komm.	   1
Fabrica de Regina	   1
Izdanïe V. V. Vasil'evoj	   1
[Suomalaisen puolueen naisvaliokunta]	   1
Sortavalan Suomalainen Nuija	   1
Izdanïe Finlândskago ob^̌sestva turistov'	   1
Tuusulan kansanopisto	   1
Izdanïe Respublikanskago Soûza oficerov', vračej i činovnikov' armïi i flota Sveaborgskago rajona	   1
[Sociala Centralbyrån] :;Akademiska Bokhandeln, jakaja	   1
[Åbo stads svenskspråkiga folkskolor]	   1
Trewendt & Granier	   1
[Suomalainen maaseututeatteri]	   1
Tidskriften Koti ja Yhteiskunta	   1
[Tekniska högskolan i Finland]	   1
Finska Sparbanksdelegationen	   1
Philipp Kosack	   1
[Svenska partiet]	   1
Kristliga Föreningen af unga kvinnor i Helsingfors	   1
[Helsingfors' kommunala sjukhus]	   1
[Svenska Folkpartiets organisation i Helsingfors]	   1
Nordiska Samfundet för bekämpande af det vetenskapliga djurplågeriet	   1
Finska Bryggeri-industriföreningen	   1
P. J. Bögelund	   1
[Meth's barnförening]	   1
Edlundska bokhandel i distr	   1
Kotka stads förlag	   1
Nutid	   1
Liitohallinto	   1
[Suolahden nuorisoseura]	   1
Suojelukasvatusyhdistys	   1
[Finska Sågverksägareföreningen]	   1
[Drätselkammaren i Wasa]	   1
Finska Typografförbundet	   1
Allmänna Brandkårsförbundet	   1
[Hämeen läänin maanviljelysseura]	   1
Kronoby kommun	   1
[Folkhögskolan i Kronoby]	   1
Aikain Vartija Förlags A.-B.	   1
Ervast	   1
[Förlagsaktiebolaget Otava]	   1
N. F. Höjer	   1
[Finska Forstförening]	   1
G. E. Edlund	   1
Merimieskoulu [jakaja]	   1
A. Haapanen	   1
Partïâ soc.-revolûcïonerov'	   1
Fr. Forsberg	   1
F. G. Petersons bokhandel i distr	   1
Uudenkirkon V.l. kunta	   1
[Postsparbanksstyrelsen]	   1
[Poststyrelsen]	   1
Nuorsuom.puol.kanslia	   1
O. W. M:s förlag	   1
