publisher	Count
Helsingin Eläinsuojeluyhdistys	   9
Viipurin Eläinsuojelusyhdistys	   9
Hämeenlinnan Eläinsuojelusseura	   9
Suomen Pyöräilyliitto	   9
Gos. tip	   9
Abr. Hirsch	   9
Fedotov'	   9
Norstedt	   9
Nordstedt	   9
Gyldendal	   9
Simelius :;Edlund	   9
[Viipurin suomalaisen kirjallisuuden seura]	   9
Imperatorskìj senat'	   9
Werkko	   9
Pihl	   9
Luth. Evankeliumi-yhtiö	   9
Suomen Historiallinen Seura	   9
Åbo Tidning	   9
Sen. kp.	   9
Åbo stad	   9
[Oulun läänin talousseura]	   9
Helsingin Sentr.-kp.	   9
Sammon kp.	   9
[Uusmaalainen ylioppilas-yhdistys]	   9
GEJ. ja K.	   9
Fr. Vieweg & Sohn	   9
F. & G. Beijer	   9
Rauhan Sanomat	   9
[Finska Mosskulturförening]	   9
Finsk-ugriska Sällskapet	   9
[Författare]	   9
Helios, distr.	   9
Nyländska afdelningen	   9
Etelä-Savon kp.	   9
Edlundska Bokhandeln	   9
G. W. Edlundin kustannus-o.y.	   9
Waseniuksen kirjakauppa	   9
Kustannus-o.y. Helios	   9
J. Länkelä	   9
Universitetet	   9
Suomalainen Kansa	   9
Suomen maatalousseurojen keskusliitto	   9
Salama	   9
[Otava]	   9
Helsingin kaupungin sähkölaitos	   9
Gutenberg	   9
Georg Müller	   9
S. O. K.	   9
Kustannus-oy Kirja	   9
Turun lähetysyhdistys	   9
G. W. Edlundin kustannusoy.	   9
Työkansan kustannusyhtiö	   9
Suomen ammattijärjestö	   9
Helsingin suomalainen kirjakauppa	   9
Sosialistin kirjapaino-osuuskunta	   9
Suomalainen puolue	   9
[J. F. Hellman]	   9
Lankinen	   9
Teollisuushallitus	   9
Aikain vartija	   9
P. Widerholm	   9
[J. Nordenankar]	   9
[A. Björkman]	   9
[Cölln]	   9
[H. C. Merckell]	   9
[Henrik Christofer Merckell?]	   9
tryckt i Frenckellska tryckeriet	   9
excud. Joh. Kiämpe Reg. Acad. typogr.	   9
Tampereen Eläinsuojelusyhdistys	   8
[Pohjalainen osakunta]	   8
Nya teatern i Helsingfors	   8
Hufvudstadsblad'in kirjapaino :;Holm	   8
