original		Count
[4], 147, [1] p., [2] leaves of plates	156	   1
[14], 378 p., [2] p., [2] leaves of plates	398	   1
119 p.	119	   1
[8], 260 p.	268	   1
[10], 340 (i.e. 370) p., 16 leaves of plates (fold.)	42	   1
[8], 238, [2] p., 16 leaves of plates (fold.)	280	   1
[8], 335, [1] p.	344	   1
[4], 20 p.	24	   1
107 p.	107	   1
xxiv, [4], 68 p., [1] folded leaf of plates	96	   1
vii, [1], 232 p., [10] folded leaves of plates	260	   1
xxiv, [4], 216 p., [10] folded leaves of plates	264	   1
xxiv, [4], 184 p., [10] folded leaves of plates	232	   1
[4], 6 p.	10	   1
[2], 18 p.	20	   1
[2], 40 p.	42	   1
[4], lx, 537, [3] p.	604	   1
[14], 15, [5], 544 ; [2], 82, [2] p., [101] leaves of plates	851	   1
[20], 271, [12] p.	303	   1
P. [273-]360	88	   1
[15] p., [1] leaf of plates	17	   1
[4], [53-]84 p.	36	   1
[2], [33-]52 p.	22	   1
[2], 32 p.	34	   1
[8], 72, [2] p., [1] leaf of plates	84	   1
126 p.	126	   1
[4], 57 p.	61	   1
P. 103-114, [2] (fold.)	14	   1
144 p., [1] leaf of plates	146	   1
88 p.	88	   1
[10], 116 p., [4] leaves of plates	134	   1
[4], 44, [4] p.	52	   1
[4], 36 p.	40	   1
[2], 78 p.	80	   1
viii, 184 p.	192	   1
[20], 112, [36] p., [2] leaves of plates	172	   1
[20], 111, [36] p., [2] leaves of plates	171	   1
[16], 120 p.	136	   1
[4], 59, [1] p.	64	   1
[4], [39-]93, [1] p.	60	   1
[8], 35, [1] p.	44	   1
1 kartasto ([4] s., 28 kartta-aukeamaa, osa taitettuina)	58	   1
[24], [1] 2-408, [1] 2-216, [12] s.	446	   1
1 kartasto (7 lehteä)	2	   1
1 kartasto (8 lehteä)	2	   1
[2], [1] 2-391 [392-412] s.	415	   1
[32], 1-259, 1-62, 1-22 [23], 1-112, [1-3] 4-52, [1-2] 3-213 192 [po.214], [1] 2-41 [42], [1] 2-131 [132-140], [1] 2-48 s.	359	   1
[14], 51, [3] s.	68	   1
1 kartasto ([31] lehteä)	2	   1
IV, XXII, [6] s.	28	   1
212 s.	212	   1
[1-3] 4-12 15 [po. 13] 14-22 25 [po. 23] 24-38 59 [po. 39] 40-54 58 [po. 55] 56-96 s.	96	   1
[2], [1]-150 s.	152	   1
[4], [1] 2-372 s.	376	   1
[20-?] s.	20	   1
viii, 184 s.	192	   1
x, 130 s.	140	   1
[24], [1] 2-424 s.	448	   1
[22], 923, [21] s., kuparikaiverrusnimiösivu	966	   1
[?], [8], 1-32, 1-72, 1-116, 1-99 [100], 1-104, 1-119 [120], 1-64, 1-116, 1-24, [1] 2-92, 1-48, 1-172, 1-111 113 [po. 112], 1-126 [127-128] s.	401	   1
[4], [20], [24], [24], [16], [24], [24], [24], [20], [16], [20], [20], [20], [12], [16], [16] s.	300	   1
[16], 1-440 s.	456	   1
267 numeroimatonta lehteä	534	   1
[80] s	80	   1
[40] s.; s. [39-40] tyhjät	80	   1
[32] s. (s. [32] tyhjä	32	   1
[12], 1-228	240	   1
[24], 1-322	346	   1
[24], 1-239 [240] s.	264	   1
[180] s.	180	   1
[16], [1] 2-38 [39-40] s.	57	   1
[8], 484, [4] s., [16] kuvas.	496	   1
[8] s.  (s. [2] tyhjä)	8	   1
[4] s.  (s. [2] tyhjä)	4	   1
[8 s.	8	   1
[?:o]	60	   1
[1-3] 4-14 [15-16] (s. [2] ja [15-16] tyhjät	16	   1
[1-3] 4-31 [32]	32	   1
[1-3] 4-17 [18] s.	18	   1
[1-3] 4-15 [16] s. (s. [2] ja [16] tyhjät	16	   1
[1-12] 13-36 s.	36	   1
[1-3] 4-11 [12]	12	   1
[4] s. (s. [2] tyhjä	4	   1
[10] s. (s. [2] tyhjä)	10	   1
[8] s. (s. [2] ja [8] tyhjät	10	   1
s. 7-19 [20]	20	   1
[6-?] s.	6	   1
[8] s. (s. [2] ja [8] tyhjät	50	   1
[3-?] s.	3	   1
NA	10	   1
[i-iii] iv-xv [xvi], [1] 2-370 s.	387	   1
[12], [1] 2-379 [380] s.	771	   1
[4], 1-237 [128] s.	241	   1
[8], 1-132 s.	140	   1
[8], 1-424 s.	432	   1
[1-7] 8-166, [1-3] 4-126 [127-130] s. (s. [130] tyhjä)  s.	166	   1
[20], [1] 2-214 [215-226] s.	247	   1
[6], [1] 2-101 [102] s.	209	   1
[8], [1] 2-390 [391-414] s.	423	   1
[22], [1] 2-474 [475-504] s.	527	   1
[22], 1-594 [595-642] s.	664	   1
[1-2] 3-112 s.	112	   1
[1-4] 5-126 s., kuparipiirrosnimiö	126	   1
[4] , 104 s.	108	   1
[4] s., s. [35]-54, [4] s.	28	   1
[10], 34, [2] s.	46	   1
[1-3] 4-257 [258] s.	258	   1
[1-3] 4-856 [2] 857-1714 [1715-1716] s.	1718	   1
[1] 2-7 [8] s. (s. [8] tyhjä)	23	   1
[1] 2-15 [16] s.	31	   1
[2], 1-244 s. (s. [2] tyhjä)	246	   1
[1-2] 3-192 s. (s. [2] tyhjä)	192	   1
382, [2] s.	384	   1
[1] 2-19 [20] (s. [20] tyhjä)	59	   1
[1-5] 6-456 s.	456	   1
[1-2] 3-144 s.	144	   1
[2], [1] 2-52 s. (s. [2] tyhjä)	56	   1
52, XXXVIII s.	90	   1
[10] s. (s. [9-10] tyhjät	10	   1
[12] s. (s. [11-12] tyhjät)	12	   1
[2] s. (verso tyhjä)	2	   1
[8] s. (s. [2], [7-8] tyhjät	8	   1
1 lehti.	2	   1
[12] s. (s. [2] ja [12] tyhjät)	10	   1
[1-3] 4-143 [144] s (s. [144] tyhjä)	144	   1
[40] s; s. [40] tyhjä	80	   1
[72] lehteä	144	   1
2[-?] s.	2	   1
4 l.	50	   1
6 l.	10	   1
S. [259]-308	50	   1
32, [2] s.	34	   1
[12], 336 s.	348	   1
[56], 1582, [216] s.	1854	   1
[68] s. +	68	   1
[107] s.	107	   1
VI, 44 s.	50	   1
[14], 128 s.	142	   1
38, [2] s.	40	   1
A-C8 D2. [52] s.	52	   1
A-B8 C4. [40] s.	40	   1
[8], 151 [17] s.	8	   1
21 [po. 43] s.	43	   1
[4], 58 s.	62	   1
[4], 368 s.	372	   1
[40], 916, [82] s., [1] kuval.	1040	   1
[40], 861, [21] s.	922	   1
[2], 139 s.	141	   1
31 s.	31	   1
[2], 111 s.	113	   1
[4], 51, [8] s.	63	   1
124 s.	124	   1
[1] s., s. 546-551	7	   1
[12 s.]	12	   1
[22], [1] s.	23	   1
[2], 77 s.	79	   1
[1] 2-148[-?] s.	149	   1
[16], 1-72 s. (s. [4] tyhjä) : 3 kuvaa	16	   1
[16], 1-64 [65-196] s.	212	   1
[1-2] 3-179 140 [po. 180] [181-182] s. (s. [2] ja [182] tyhjät)	182	   1
[20] s. (s. [2] ja [4] tyhjät)	10	   1
[12], 262 [po. 264], [40] s.	316	   1
[8], [1] 2-59 [60] s.	127	   1
[306] s.	306	   1
[2] 3-31 [32] s.	63	   1
[1-2] 3-46 s. (s. [2] tyhjä)	46	   1
[4], [1] 2-128 s.	132	   1
[1-2] 3-56 s. (s. [2] tyhjä)	56	   1
[1-3] 4-40 s. (s. [2] tyhjä)	40	   1
[4], 104 s.	108	   1
[2], 1-52 s.	54	   1
[1-3] 4-46 s. (s. [2] tyhjä)	46	   1
[1-3] 4-32 s. (s. [2] tyhjä)	32	   1
[2], [1] 2-56, [1] 2-21 [22-30], [1] 2-40 [41-52] s.	61	   1
[8], [1] 2-42 [43-80] s.	89	   1
[4], [1] 2-14 s. (s. [2] ja [4] tyhjät)	24	   1
47, [3] s.	50	   1
[1-3] 4-6 s. (s. [2] tyhjä)	6	   1
[4] s., s. 113-231, [1] s.	124	   1
1[-?] lehteä	10	   1
[5] lehteä	10	   1
[6] lehteä	12	   1
[18] lehteä	36	   1
[7] lehteä	14	   1
19 lehteä	38	   1
11 lehteä	22	   1
9 lehteä	18	   1
8 lehteä, s. [1] 2-16	21	   1
[2], 1-21 [22] s. (s. [2] tyhjä)	24	   1
[4], 1-31 [32] s.	36	   1
[2], [1] 2-16 s. (s. [2] tyhjä)	20	   1
[2] s., s. [25]-33, [1] s.	12	   1
[3] s., s. [16]-24	12	   1
[2], [11] 12-18 s. (s. [2] tyhjä)	22	   1
[2], [1] 2-10 s. (s. [2] tyhjä)	14	   1
[2], [13] 14-21 [22] s. (s. [2] ja [22] tyhjät)	69	   1
[2], [19] 20-28 s. (s. [2] tyhjä)	32	   1
[1-3] 4-17 [18] s. (s. [2] ja [18] tyhjät)	18	   1
[2], [15] 16-32 s.	34	   1
[1-3] 4-13 [14] s. (s. [2] ja [14] tyhjät)	14	   1
[1-3] 4-10 s. (s. [2] tyhjä)	10	   1
[1-3] 4-13 [14] s. (s. [2] [14] tyhjät)	14	   1
[2], [1] 2-13 [14] s. (s. [2] tyhjä)	31	   1
[2], 13-24 s.	14	   1
[4], 25-38 s.	18	   1
[2], [1] 2-13 [14] s. (s. [2] ja [14] tyhjät)	45	   1
[4], [1] 2-11 [12-18] s. (s. [2] tyhjä)	25	   1
[2], [1] 2-10 s. (s. [2] ja [10] tyhjät)	24	   1
[4], [1] 2-10 [11-16] s.	21	   1
[4], [1] 2-20 s. (s. [2] tyhjä)	26	   1
[4], [1] 2-14 s. (s. [2] tyhjä)	20	   1
[1-5] 6-16 s. (s. [2] tyhjä)	16	   1
[2], [1] 2-18 s. (s. [2] ja [18] tyhjät)	40	   1
[2], [1] 2-19 [20] s. (s. [2] tyhjä)	43	   1
[1-3] 4-8 [9-16] s. (s. [2] tyhjä)	16	   1
[2], [21] 22-34 s. (s. [2] tyhjä)	38	   1
[4], [1] 2-11 [12] s. (s. [2] ja [12] tyhjät	41	   1
[2], 21-36 s. (s. [2] tyhjä)	38	   1
[4], [13] 14-22 s.	26	   1
[2], 101-116 s.	18	   1
[4], 85-100 s.	20	   1
[12], 30, [2] s.	44	   1
[12], 72 s.	84	   1
[4], [1] 2-27 [28-32] s.	37	   1
[12], [1] 2-51 [52-56] s.	69	   1
[6] s., s. [45]-82	44	   1
[6], [1] 2-22 [23-24]  s.	31	   1
[8], 78, [2] s.	88	   1
[6], 61, [1] s.	68	   1
[10], [1] 2-45 [46] s.	101	   1
[2] s., s. 25-56 s.	34	   1
[2] s., s. [17-19] 20-48	50	   1
[2], 29, [3]	34	   1
[8], 24	32	   1
[36?] s.	36	   1
S. [17]-30, [2] s.	16	   1
[6], 35 [po. 36] s.	42	   1
[10], 10 s.	20	   1
[1-2] 3-12	12	   1
[8], [1] 2-23 [24]  s.	55	   1
[4], 59, [1] s.	64	   1
[4], 8  s.	12	   1
[6], [1] 2-20 [21-22]  s.	29	   1
[15-16] 17-28 s.	28	   1
[6], [1] 2-33 [34]  s.	73	   1
[6], [1] 2-18  s.	24	   1
[4], 19, [1]  s.	24	   1
[8], [1] 2-12 s.	20	   1
[4], [1] 2-9 [10] s.	23	   1
[6], [1] 2-10 [11-12]  s.	19	   1
[6], [1] 2-23 [24]  s.	53	   1
14, [4] s.	18	   1
[1-5] 6-14 [15-16] s.	16	   1
[8], [1] 2-8 s.	16	   1
[1-6] 7-12 s.	12	   1
[4], [1] 2-16  s.	20	   1
[8] s., s. [55]-85, [1] s.	40	   1
[2], [1] 2-23 [24]  s.	49	   1
[1-2], 3-12 s.	12	   1
[4], [1] 2-26  s.	30	   1
[4], [1] 2-15 [16-18]  s.	23	   1
[2], [1] 2-8  s.	10	   1
[8], [1] 2-56  s.	64	   1
[6], [1] 2-22 s.	28	   1
[4], 33, [1] s.	38	   1
[2], [1] 2-20  s.	22	   1
[2], [1] 2-19 [20]  s. (s. [20] tyhjä)	61	   1
[4], [1] 2-8	12	   1
[1-2] 3-16  s.	16	   1
[2], [1] 2-13 [14]  s. (s. [14] tyhjä)	43	   1
[1-2] 3-25 [26] s. (s. [26] tyhjä)	26	   1
[4], [1] 2-30	34	   1
[2], [1] 2-22 s. (s. [2] tyhjä)	26	   1
[9], 53 [po. 55] s.	64	   1
[6], 48, [4] s.	58	   1
[8], 78 [po. 80], [2] s.	90	   1
[8], 55, [1]  s.	64	   1
[6], 44 s.	50	   1
[8], 22, [10] s.	40	   1
[8], 42, [2] s.	52	   1
[2], 69-84 s.	18	   1
[2], 53-68 s.	18	   1
[2], 37-52 s.	18	   1
[4], 17-36 s.	24	   1
[4], 121-138 s.	22	   1
[2], 105-120 s.	18	   1
[2], 89-104 s. (s. [2] tyhjä)	106	   1
[2], 57-88	34	   1
[6], [1] 2-60 [61-66] s.	73	   1
[2], [1] 2-192 s.	194	   1
[4], 38, [2] s.	44	   1
[2], 1-28 s. (s. [2] tyhjä)	30	   1
[12], 1-59 [60] s. (s. [60] tyhjä)	72	   1
[2], 1-33, [34] s.	69	   1
[2], 1-42 s.	44	   1
[4], 1-23 [24] s.	28	   1
[6], 1-23 [24] s. (s. [24] tyhjä)	30	   1
[6], [1] 2-139 [140-146] s.	153	   1
[8], 1-38 [39-40] s.	48	   1
[6], [1-2] 3-22 s.	28	   1
[8], [1] 2-47 [48] s.	103	   1
[12], 84 s.	96	   1
8	8	   1
[8], 29, [1] s.	38	   1
[8], 14, [2]	24	   1
[2], [1] 2-15 [16-18] s.	21	   1
[4], [1] 2-45 [46] s.	95	   1
[10], 32 [po. 34], [2] s.	46	   1
[2], [1] 2-13 [14] s. ; 4:o.	29	   1
[4], [1] 2-13 [14] s. ; 4:o.	31	   1
[10], 36 s.	46	   1
[1-3] 4-40	40	   1
[8], 1-45 [46-48] s.	56	   1
280 s.	280	   1
70 s.	70	   1
[4], 179, [2] s.	185	   1
VIII, [6], 365 s.	379	   1
[4], 381 s.	385	   1
1 s.	1	   1
[10?] s.	10	   1
[4], 1-15 [16-2] s. (s. [20] tyhjä) ; 4:o.	24	   1
[4] s., s. 129-160	36	   1
[2], [1] 2-25 [26] s.	53	   1
[6], 90 s.	96	   1
[4], 49, [3] s.	56	   1
[2], [1] 2-18 [19-20] s.	23	   1
[4], 46, [6] s.	56	   1
[12], 102, [4] s., [1] kuvalehti taitettuna	120	   1
[10], 70, [2] s.	82	   1
[6], [1] 2-38 s.	44	   1
[8], 93, [1] s. ; 8:o.	102	   1
[6], 25, [1] s. ; 8:o.	32	   1
[36], [1] 2-506[507-912] s.	949	   1
[116] s.	116	   1
[2], 1-515 [516-538] s.	540	   1
[4], [1] 2-168 [169-192] s.	197	   1
[16], 1-20, 1-449 [450-488], [173] 174-398 [po. 314] s.	677	   1
[8], 1-47 [48] s.	56	   1
[14], 144, [2] s.	160	   1
[8], [1] 2-153 [154-156] s.	165	   1
[8], 171 [po. 172], [32] s.	212	   1
[16], 1-449 [450-488] s. (s. [488] tyhjä)	504	   1
[8], 368, [16] s.	392	   1
[9], 575 s.	584	   1
[8] s., s. 665-848	192	   1
[8] s., s. 401-664	272	   1
[8], 400 s.	408	   1
[8], 240 s.	248	   1
[2], [1] 2-39 [40] s. (s. [2] tyhjä)	83	   1
[2], [1] 2-280 [281-310] s. (s. [2] tyhjä]	315	   1
[16], [1] 2-440, [1] 2-392, [1] 2-296 [297-336] s.	459	   1
[8], [1-3] 4-368 [369-424] s. (lehden ):(1 versopuoli ja s. [422-424] tyhjät)	432	   1
[1-2] 3-80 s. (s. [2] tyhjä)	80	   1
[16], [1] 2-134 [135-144] s.	161	   1
[132] s.	132	   1
[84], [1] 2-144 s.	228	   1
[8], [1] 2-133 [134-136] s.	145	   1
[4], 208, [2] s.	214	   1
[24], 424 [po. 414], [2] s.	440	   1
[170] s.	170	   1
[14], [1] 2-144 [145-146] s. (s. [146] tyhjä)	307	   1
[16], 1-304 [305-312]  s.	328	   1
[8], 1-35 [36-40]  s.	48	   1
[16], 1-400 s.	416	   1
[8], [1] 2-54 [55-56] s. (s. [56] tyhjä)	121	   1
[6], 1-46 s.	52	   1
S. 134-145	12	   1
[8], 24, [6] s.	38	   1
[8], 1-55 [56-58] s.	66	   1
[8], 1-96 [97-106] s.	114	   1
[12], 1-132 s. (s. [2] tyhjä)	144	   1
[12], [1] 2-49 33 [po. 50] [51-52] s.	65	   1
S. 137-144	8	   1
[8], 1-41 [42] s.	50	   1
[16], [1] 2-53 [54-56] s.	73	   1
[10], [1] 2-44 s.	54	   1
[4], 41, [1] s.	46	   1
S. 65-80	16	   1
S. [17-19] 20-40 [-?]	40	   1
[8], [1] 2-66 s.	74	   1
[4], [1] 2-20 20 [po. 21] [22-24] s. (s. [22-24] tyhjät)	29	   1
[8], [1] 2-23 [24-28] s.	37	   1
[6], 1-14 [15-16] s.	22	   1
[6], 29, [1] s.	36	   1
S. [4], 1-32 [33-36]	40	   1
[8], 1-17 [18-20] s.	28	   1
[6], 45-94 s.	56	   1
[6], [1] 2-50 s.	56	   1
1[16] s.	10	   1
[8], [1] 2-32 [33-40] s.	49	   1
[2], 1-37 8 [po. 38] [39-40] s. (s. [2] tyhjä)	42	   1
[16]	16	   1
[12], 858, [18] s.	888	   1
[312] l.	68	   1
[15 arkkia].	30	   1
[408] s.	408	   1
[?] s.	48	   1
[48 s.]	48	   1
[?] s.	94	   1
[8], 1-142 142-175 [po. 143-176] s.	42	   1
[3], 41, [3]	47	   1
[21], [1-209] [210-215] l.	236	   1
[14], [1-296] [297-298] l.	312	   1
[21], [1-210] [211-219] lehteä	231	   1
[9], [1-232] [233-240] lehteä	241	   1
[16], [1-341] [342-368] (s. [342] ja [344] tyhjät)	384	   1
S. [56], 1-375 [376] s. (useita sivunumerointivirheitä)	432	   1
[1] [2-20], [1-168] s.	169	   1
[8], [1] 2-272 275-282 [po. 273-280], [1] [2-304] s.	313	   1
[2], [4-84] s.	83	   1
[1] [2-311] [312] (s. [312 tyhjä)	311	   1
[8], 1-152 [153-156] s.	164	   1
[1-2] [3-48] s.	48	   1
[16], 171, [1] s.	188	   1
[46] lehteä	92	   1
[6], [24], [100] s.	130	   1
[-12-?] s.	-12	   1
[2], [1] 2-24 s. (s. [2] tyhjä)	28	   1
[2], [1] 2-44 [45-46] s.	49	   1
[10], 31 [po. 28], [4] s.	42	   1
[16], [1-2] 3-100 s.	116	   1
S. [1121-1152]	32	   1
[2] s., s. 1089-1120, [4] s.	38	   1
[8] s., s. 1057-1088, [?] s.	40	   1
S. [1025-1056]	32	   1
S. [993-1024]	32	   1
S. [961-992]	32	   1
S. [4], 929-960	36	   1
S. [897-928]	32	   1
S. [865-896]	32	   1
S. [833-864]	32	   1
S. [4], 801-832, [4]	40	   1
S. [769-800]	32	   1
S. [4], 737-768, [4]	40	   1
S. [705-736]	32	   1
[4] s., s. 673-704, [4] s.	40	   1
[4] s., s. 641-672, [4] s.	40	   1
S. [8], 609-640, [4]	44	   1
S. [4], 577-608, [4]	40	   1
[4] s., s. 545-576, [4] s.	40	   1
[8] s., s. 481-544, [4] s.	76	   1
[4] s., s. 417-448, [4] s.	40	   1
S. [4], 385-416, [4]	40	   1
S. [373-384]	12	   1
S. [2], 321-372, [2]	56	   1
[4] s., s. 225-256, [4] s.	40	   1
[4] s., s. 193-224, [4] s.	40	   1
S. [4], 161-192, [4]	40	   1
S. 97-128, [4]	36	   1
[4], [1] 2-32, [4] s.	40	   1
[8] s., s. 97-128	40	   1
S. [8], 65-96, [6]	46	   1
[6] s., s. 33-64	38	   1
[8], [1] 2-32 [33-38] s.	47	   1
[8], 30, [10] s.	48	   1
[4], 1-40 [41-48] s.	52	   1
[8], 44, [12] s.	64	   1
[2] s., s. 97-144, [2] s.	52	   1
S. [65-?]	65	   1
[4] s., s. 33-64, [4] s.	40	   1
[4], 1-32, [4] s.	40	   1
[12], 65 [po. 67], [1] s.	80	   1
[8], 17, [1] s.	26	   1
[8], [1-2] 3-30 s.	38	   1
S. [271-286]	16	   1
[?] s., s. [225-270]	46	   1
S. [239-254]	16	   1
S. [223-238]	16	   1
S. [207-222]	16	   1
S. [2], [191-206], [6]	24	   1
S. [175-190]	16	   1
S. [?-174]	-174	   1
S. [6], 97-112, [2]	24	   1
S. [6], 81-96, [2]	24	   1
[2] s., s. 33-64, [4] s.	38	   1
[1] s., s. 17-32, [4] s.	21	   1
[6], [1] 2-20 [21-24] s.	31	   1
[4], [1-3] 4-45 [46-48] s.	52	   1
[2], [1] 2-22 [23-26]	29	   1
[10], 48, [6] s.	64	   1
[8], 28, [4] s.	40	   1
[10], [1] 2-29 [30] s.	69	   1
[10], 22, [4] s.	36	   1
[8], [1] 2-87 [88] s.	183	   1
[2], 40, [2] s.	44	   1
[2], 1-48, [2] s.	52	   1
[4], 1-16[-?] s.	20	   1
[2] s., s. 791-854, [2] s.	68	   1
[2] s., s. 699-742, [2] s.	48	   1
S. [2], 383-430, [2]	52	   1
[2] s., s. 127-158, [2] s.	36	   1
[72?] s.	72	   1
[1-48]	48	   1
[8], 29, [3] s.	40	   1
[2], 1-16 s.	18	   1
[16] s. (s. [2] ja [16] tyhjät)	10	   1
[2] s., s. 291-320, [2] s.	34	   1
S. [2], 129-160	34	   1
S. [2], 97-128, [2]	36	   1
S. [2], 33-64, [2]	36	   1
[24] s., s. [8], [1] 2-16	48	   1
[18] s. (s. [18] tyhjä)	18	   1
[18] s. (s. [2] tyhjä)	18	   1
[26] s. (s. [6] tyhjä)	26	   1
[14], 1-37 [38-40] s. (s. [40] tyhjä)	54	   1
[42] s. (s. [42] tyhjä)	42	   1
[1], 134-163 [164] s.	165	   1
[40], [1] 2-456 451-1181 [po. 457-1187] 1812 [po. 1188] 1182-1186 [po. 1188-1192] [1193-1206] s.	1247	   1
[4], [24], 1-286, [279], 1-105, [116 tai 122]	593	   1
[20], 1011, [9] s.	1040	   1
Kollaatio avoin	10	   1
[16], [1] 2-248 [249-608] s.	625	   1
[4], [12], [1] 2-1148 [1149-1160]	1177	   1
[16], 216, [8], [354] s.	594	   1
[18], 418, [16] s., [192] lehteä, 95, [11], 135, [7] s.	854	   1
[4], 1-181 [183-188] s. (useita sivunumerointivirheitä)	192	   1
[5], 1-181 [182-187] l.	192	   1
[4], I-CXLIII, [5] l.	147	   1
[8], 1-214 [po. 216] [217-224] l.	232	   1
[8], I-LXXXVI [-XCII?] l.	94	   1
[4], [1] 2-27 [28] s. (s. [28] tyhjä)	87	   1
[4], [1] 2-30 32 [po. 31] [32] s.	67	   1
[4] s., s. 353-368, [4] s.	24	   1
S. [4], 337-352, [4]	24	   1
[4] s., s. 305-320, [4] s.	24	   1
S. [4], 273-288, [4]	24	   1
S. [4], 257-272, [4]	24	   1
S. [2], 225-240, [4]	22	   1
[2] s., s. 109-224, [4] s.	122	   1
[4] s., s. 193-208, [4] s.	24	   1
[4] s., s. 177-192, [4] s.	24	   1
[4] s., s. 129-144, [4] s.	24	   1
S. [?], [113-128], [?]	16	   1
S. [2], 97-112, [4]	22	   1
S. [8], 81-96	24	   1
[4] s., s. 65-80, [4] s.	24	   1
S. [4], 49-64, [4]	24	   1
[4] s., s. 33-48, [4] s.	24	   1
[4] s., s. 544-575, [4] s.	40	   1
[4] s., s. 480-511, [4] s.	40	   1
[6] s., s. 448-459 [po. 479], [4] s.	42	   1
S. [2], 416-447, [4]	38	   1
S. [?], [384-415], [?]	32	   1
S. [4], 352-383, [4]	40	   1
[4] s., s. 320-351, [4] s.	40	   1
[4] s., s. 288-319, [4] s.	40	   1
[2] s., s. 256-287, [2] s.	36	   1
[2] s., s. 160-191, [2] s.	36	   1
[4] s., s. 128-159, [2] s.	38	   1
[2] s., s. 96-127, [2] s.	36	   1
S. [2], 64-95, [2]	36	   1
[2] s., s. 32-63, [2] s.	36	   1
[3], 1-31, [2] s.	36	   1
[8], 1-96 s.	104	   1
S. [?], [33-48], [?]	16	   1
[4], 1-16, [4] s.	24	   1
[2] s., s. 841-848, [2] s.	12	   1
[2] s., s. 809-824, [2] s.	20	   1
[2] s., s. 793-808, [2] s.	20	   1
[2] s., s. 777-793, [2] s.	21	   1
S. [2], 761-776, [2]	20	   1
[4] s., s. 745-760, [2] s.	22	   1
[2] s., s. 729-744, [2] s.	20	   1
[2] s., s. 713-728, [4] s.	22	   1
[2] s., s. 697-712, [2] s.	20	   1
[2] s., s. 681-696, [2] s.	20	   1
S. [2], 665-680, [2]	20	   1
S. [?], [649-664], [?]	16	   1
S. [2], 633-648, [2]	20	   1
[2] s., s. 617-632, [2] s.	20	   1
S. [2], 585-600, [2]	20	   1
S. [2], 569-584, [2]	20	   1
S. [4], 545-568, [4]	32	   1
[2] s., s. 529-544, [2] s.	20	   1
S. [2], 513-528	18	   1
S. [2], 497-512, [2]	20	   1
S. [2], 481-496	18	   1
S. [?], [467-480], [?]	14	   1
S. [?], [449-466], [?]	18	   1
S. [2], 433-448, [2]	20	   1
[?] s., s. [417-432], [?] s.	16	   1
S. [2], 401-416, [2]	20	   1
S. [?], [393-400], [?]	8	   1
[2] s., s. 377-392	18	   1
S. [2], 361-376, [2]	20	   1
S. [2], 345-360, [2]	20	   1
[?] s., s. [329-344], [?] s.	16	   1
[?] s., s. [313-328], [?] s.	16	   1
S. [?], [297-312], [?]	16	   1
S. [2], 281-296, [2]	20	   1
S. [2], 265-280, [2]	20	   1
S. [?], [249-264], [?]	16	   1
S. [2], 233-248, [2]	20	   1
S. [?], [201-216], [?]	16	   1
S. [?], [185-200], [?]	16	   1
[2] s., s. 169-184, [2] s.	20	   1
S. [2], 137-152, [2]	20	   1
S. [2], 89-104, [2]	20	   1
[2] s., s. 73-88, [2] s.	20	   1
S. [4], 49-72, [4]	32	   1
S. [2], 25-48, [2]	28	   1
[2], 1-26 s.	28	   1
S. [?], [233-240], [?]	8	   1
[2] s., s. 225-232, [2] s.	12	   1
S. [?], [217-224], [?]	8	   1
[2] s, s. 209-216, [2] s.	12	   1
[2] s., s. 201-208, [2] s.	12	   1
[2] s., s. 193-200, [2] s.	12	   1
S. [?], 185-192, [?]	8	   1
S. [2], 169-176, [2]	12	   1
S. [2], 161-168, [2]	12	   1
S. [2], 153-160, [2]	12	   1
[2] s., s. 145-152, [2] s.	12	   1
S. [2], 137-144, [2]	12	   1
S. [2], 129-136, [2]	12	   1
S. [2], 121-128, [2]	12	   1
S. [2], 113-120, [2]	12	   1
S. [2], 97-104, [2]	12	   1
S. [?], [81-88], [?]	8	   1
S. [?], [73-80], [?]	8	   1
S. [?], [65-72], [?]	8	   1
S. [2], 57-64, [2]	12	   1
[2] s., s. 49-56, [2] s.	12	   1
[2] s., s. 33-40, [2] s.	12	   1
S. [?], [17-24], [?]	8	   1
S. 9-16	8	   1
[?], [1-8], [?] s.	8	   1
S. [2], 328-343, [2]	20	   1
[2] s., s. 312-327, [2] s.	20	   1
[2] s., s. 296-311, [2] s.	20	   1
[2] s., s. 281-296, [2] s.	20	   1
S. [?], [265-280], [?]	16	   1
S. [2], 249-264, [2]	20	   1
S. [?], [233-248], [?]	16	   1
S. [2], 193-216, [2]	28	   1
S. [?], [169-192], [?]	24	   1
S. [?], [137-152], [?]	16	   1
S. [?], 121-136, [?]	16	   1
[2] s., s. 89-104, [2] s.	20	   1
S. [2], 65-88, [2]	28	   1
[2] s., s. 49-64, [2] s.	20	   1
S. [2], 33-48	18	   1
[2] s., s. 17-32, [2] s.	20	   1
[16], [1] 2-82 s., [1] lehti taitettuna	101	   1
[1-4] 5-83 [84] s.	84	   1
[4], 13, [5] s.	22	   1
[8], 14, [2] s.	24	   1
[14], 22, [2] s.	38	   1
[10], [1] 2-18 s.	28	   1
[6], 14, [2] s., [1] kuvalehti taitettuna	24	   1
[4], [1] 2-13 16-18 [po. 14-16] s.	7	   1
[6], 58 s.	64	   1
[10], 24, [2] s.	36	   1
[8], 62 s., [1] kuvalehti	72	   1
[6], [1-2] 3-6 9-28 [po. 7-26] s.	26	   1
[2], 4, [2] s.	8	   1
[18-?] s.	18	   1
[20], [1] 2-864 s.	884	   1
