original		Count
[50] s.	50	   4
5 lehteä	10	   4
10 lehteä	20	   4
[2], [1] 2-12 s. (s. [2] tyhjä)	16	   4
[4], 16, [4] s.	24	   4
[24] s. (s. [2] tyhjä)	24	   4
[2], 192 s.	194	   4
[84] s.	84	   4
[40] s. (s. [40] tyhjä)	40	   4
44 s.	44	   4
[8] s	8	   4
[144] s.	144	   4
19 s.	19	   4
[1-5] 6-20 s.	20	   4
[4] s	4	   4
[1-3] 4-28 s.	28	   4
[14-?] s.	14	   4
[1-3] 4-38 [39-40] s. (s. [39-40] tyhjät)	40	   4
30 s.	30	   4
[1-3] 4-100 s.	100	   4
[1-3] 4-112 s.	112	   4
[1-2] 3-84 s.	84	   4
[1-2] 3-32 s.	32	   4
[1] 2-16 s.	16	   4
[1-3] 4-72 s.	72	   4
[1-3] 4-60 s.	60	   4
[1-9], 10-193 [194-200] s.	200	   4
[4], [1] 2-108 s.	112	   4
[1] 2-8 s.	8	   4
[1-3] 4-31 [32] s.	32	   4
[2], [1] 2-194 s.	196	   4
[2], [1] 2-195 [196] s. (s. [196] tyhjä)	589	   4
[88] s.	88	   4
[2] s., s. 65-80	18	   4
31, [1] s.	32	   4
[4], [1] 2-44 s.	48	   4
[2], 9, [1] s.	12	   4
[6], [1] 2-26 s.	32	   4
[2] s., s. 105-120	18	   4
[1-3] 4-22 s.	22	   4
[1-3] 4-23 [24] s.	24	   4
[4], [1] 2-29 [30-32] s.	37	   4
[4], [1] 2-52 s.	56	   4
[4], [1] 2-22 s.	26	   4
[4], [1] 2-8 s.	12	   4
[6], [1] 2-20 s.	26	   4
[1-3] 4-11 [12] s.	12	   4
[4], 42, [2] s.	48	   4
[8], 31, [1] s.	40	   4
[2], [1] 2-46 s.	48	   4
[8], [1] 2-52 s.	60	   4
[2], [1] 2-17 [18] s. (s. [18] tyhjä)	55	   4
[6], [1] 2-16 [17-18] s.	25	   4
[6], [1] 2-34 s.	40	   4
[4], 22, [2] s.	28	   4
[4], 21, [1] s.	26	   4
[4], 26 s.	30	   4
[6], 13, [1] s.	20	   4
7, [1] s.	8	   4
[8], 28 s.	36	   4
[2], 42 s.	44	   4
[4], 39, [1] s.	44	   4
[6], 23, [1] s.	30	   4
[2], 16, [2] s.	20	   4
[8], 40, [4] s.	52	   4
[6], 32 s.	38	   4
[8], 44, [4] s.	56	   4
[8], 48, [4] s.	60	   4
21, [1] s.	22	   4
[4], 48 s.	52	   4
[6], 20 s.	26	   4
[6], 33, [1] s.	40	   4
1 s., 5 kuval., 1 s.	11	   3
[1-5] 6-39 [40] s. (s. [40] tyhjä)	40	   3
[30], [1] 2-88 [89-108] s.	139	   3
[1-3] 4-132 s.	132	   3
38 s.	38	   3
[2], [1] 2-9 [10] s. (s. [10] tyhjä)	31	   3
[2] s., s. 13-22	12	   3
[2] s., s. 15-22	10	   3
