author	author_gender
Mesterton, Carolus (1715-1773)	male
Meyer, F B	NA
Miltopaeus, Martinus Aeschilli (1631-1679)	male
Möller, Johan	male
Mollin, Jonas (1734-1734)	male
Moring, K A	male
Munster, Johannes Bernhardi (1714-1714)	male
Murén, Emil (1854-1912)	male
Murros, Kaapo	male
Narrey, Ch	ambiguous
Naryschkin, D	NA
Nelson, Axel	male
Nenonen, Wilfred	male
Neovius, L (1850-1916)	NA
Neuhaus, Johannes	male
Nevanlinna, E	NA
Niemi, Herman	male
Nordblad, Carl	male
Nordenankar, Johann (1722-1804)	male
Nordlund, Carl Ferdinand	male
Nordman, E Aug	male
Nordmann, Petrus (1858-1923)	male
Nyberg, Mikael	male
Nykopp, Carolus Gustavus (1785-1849)	male
Nylander, John William	male
Nyman, Severi	male
Nyström, Bruno	male
Ohls, P E	NA
öholm, Lars W	male
Ojala, Nestor	male
Oker-blom, Max (1863-1917)	male
Ollinen, J F	male
Orrman, H L	NA
österviking, 	NA
Päivänsalo, B H	NA
Päivärinta, Pietari	male
Pajula, J S	male
Palander, Edvard Wilhelm	male
Palander, Gabriel (1730-1800)	male
Palander, Gabriel (1776-1821)	male
Palander, Hugo	male
Palmén, John	male
Paloheimo, F A	male
Palomaa, M H	male
Paysen, Petersen Georg	male
Pellikka, Johan	male
Pesonen, E J	male
Petraeus, Aeschillus Olai (1593-1657)	male
Piipponen, Henrik (1843-NA)	male
Pissemsky, A Th	male
Planman, Andreas (1724-1803)	male
Ploetz, Carl	male
Porthan, Henrik Gabriel (1739-1804)	male
Pöyhönen, Maiju	female
Pratt, Ambrose	NA
Radloff, Fredrik Wilhelm (1765-1838)	male
Ragvaldinpoika, Thomas (1724-1804)	male
Rahunen, Petter	male
Rainio, R	NA
Ramsay, August	male
Rapola, F O (1862-1910)	NA
Rappe, Christopher Johan (1719-1776)	male
Reich, C	NA
Reijo-waara, Konr	male
Rein, Gabriel (1800-1867)	male
Relander, H M J (1865-1947)	male
Relander, Lauri Kristian	male
Rentola, A (1881-1919)	male
Renvall, Thorsten	male
Reuter, O M (1850-1913)	male
Reuter, Samuel Laurentii (1679-1679)	male
Reuterholm, Gustaf Adolf	male
Rikala, Lauri	male
