original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
[poikittais-1:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
[4:o[.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    1
[[8:o]].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
[16:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
poikittais-1:o 1/2:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
poikittais-1:o [1/2:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
32,8 x 18,8 cm, lehti 38 x 24 cm.	NA	 18.8	 32.8	FALSE	NA	 18.8	 32.8	NA	  616.64	    1
2:o2.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
2:o [1/2:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
4:o 2 [4?] kuvaliitettä.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	    1
1/2:o [1:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
poikittais-1/2:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
8:o [16:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
16:o?.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
16:o [7,5x5,5 cm].	NA	  5.5	  7.5	FALSE	NA	  5.5	  7.5	NA	   41.25	    1
poikittais-4:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
2.o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
