original	polished	Count
Ramsay, Anders.	Ramsay, Anders	15
Hornborg, Eirik.	Hornborg, Eirik	15
Bolin, Wilhelm.	Bolin, Wilhelm	15
Torrey, R. A.	Torrey, R. A	15
Beskow, Nils.	Beskow, Nils	15
Sundell, A. F.	Sundell, A. F	15
Stenbäck, Josef.	Stenbäck, Josef	15
Reuter, Fritz.	Reuter, Fritz	15
Litzell, Karl Emil.	Litzell, Karl Emil	15
Goethe, Johann Wolfgang von.	Goethe, Johann Wolfgang Von	15
Ervast, Karl.	Ervast, Karl	15
Melander, K. R.	Melander, K. R	15
Hersleb, Peder.	Hersleb, Peder	15
Vakaa, Gustaf Adolf.	Vakaa, Gustaf Adolf	15
Drummond, Henry.	Drummond, Henry	15
Relander, O.	Relander, O	15
Noponen, Alpo.	Noponen, Alpo	15
Komppa, Gust.	Komppa, Gust	15
Tarkiainen, Viljo.	Tarkiainen, Viljo	15
Kallio, O. A.	Kallio, O. A	15
Kovero, Ilmari.	Kovero, Ilmari	15
Thesleff, L.	Thesleff, L	15
Walakorpi, U. W.	Walakorpi, U. W	15
Oksanen, A.	Oksanen, A	14
Alan, Henric Michelsson.	Alan, Henric Michelsson	14
Hultin, Arvid.	Hultin, Arvid	14
Lagus, Wilhelm.	Lagus, Wilhelm	14
Biaudet, Henry.	Biaudet, Henry	14
Lönneström, K.	Lönneström, K	14
Lagus, Ernst.	Lagus, Ernst	14
Boldt, Robert.	Boldt, Robert	14
Palander, Edvard Wilhelm.	Palander, Edvard Wilhelm	14
Thomasson, Pehr.	Thomasson, Pehr	14
Sandell, Lina.	Sandell, Lina	14
Vollmar, Agnes.	Vollmar, Agnes	14
Ekman, Oskar.	Ekman, Oskar	14
Strukel, M.	Strukel, M	14
Rydberg, Viktor.	Rydberg, Viktor	14
Heyse, Paul.	Heyse, Paul	14
Berg, Carl Oskar.	Berg, Carl Oskar	14
Arrhenius, Johan.	Arrhenius, Johan	14
Benedix, Julius Roderich.	Benedix, Julius Roderich	14
Oksanen, Kaarlo.	Oksanen, Kaarlo	14
Lassinen, Emil.	Lassinen, Emil	14
