original	polished	Count
Yrjö-Koskinen, Y. K.	Yrjö-koskinen, Y. K	16
Hytönen, Viljo.	Hytönen, Viljo	16
Wilkuna, Kyösti.	Wilkuna, Kyösti	16
Ruuth, J. W.	Ruuth, J. W	16
Helander, A. Benjamin.	Helander, A. Benjamin	16
Sick, Ingeborg Maria.	Sick, Ingeborg Maria	16
Gripenberg, R.	Gripenberg, R	16
Granfelt, A. A.	Granfelt, A. A	16
Hirn, Yrjö.	Hirn, Yrjö	16
Niinivaara, Huugo.	Niinivaara, Huugo	16
Hainari, O. A.	Hainari, O. A	16
Lundén, Ossian.	Lundén, Ossian	16
Koskenniemi, V. A.	Koskenniemi, V. A	16
Kipling, Rudyard.	Kipling, Rudyard	16
Kahilus, J.	Kahilus, J	16
Axelson, Väinö.	Axelson, Väinö	16
Sankey, Ira D.	Sankey, Ira D	16
Twain, Mark.	Twain, Mark	16
Tšehov, Anton.	Tšehov, Anton	16
Rancken, J. Oskar I.	Rancken, J. Oskar I	15
Stenbäck, Josef.	Stenbäck, Josef	15
Vakaa, Gustaf Adolf.	Vakaa, Gustaf Adolf	15
Ramsay, Anders.	Ramsay, Anders	15
Litzell, Karl Emil.	Litzell, Karl Emil	15
Hausen, Reinhold.	Hausen, Reinhold	15
Bolin, Wilhelm.	Bolin, Wilhelm	15
Ervast, Karl.	Ervast, Karl	15
Sundell, A. F.	Sundell, A. F	15
Hornborg, Eirik.	Hornborg, Eirik	15
Palmgren, Rolf.	Palmgren, Rolf	15
Komppa, Gust.	Komppa, Gust	15
Kallio, O. A.	Kallio, O. A	15
Thesleff, L.	Thesleff, L	15
Tarkiainen, Viljo.	Tarkiainen, Viljo	15
Melander, K. R.	Melander, K. R	15
Reuter, Fritz.	Reuter, Fritz	15
Relander, O.	Relander, O	15
Drummond, Henry.	Drummond, Henry	15
Noponen, Alpo.	Noponen, Alpo	15
Beskow, Nils.	Beskow, Nils	15
Walakorpi, U. W.	Walakorpi, U. W	15
Goethe, Johann Wolfgang von.	Goethe, Johann Wolfgang Von	15
Enroth, Karolina.	Enroth, Karolina	15
Kovero, Ilmari.	Kovero, Ilmari	15
Kivirikko, K. E.	Kivirikko, K. E	15
Torrey, R. A.	Torrey, R. A	15
Cajander, K. A.	Cajander, K. A	15
Hersleb, Peder.	Hersleb, Peder	15
Lönneström, K.	Lönneström, K	14
Palander, Edvard Wilhelm.	Palander, Edvard Wilhelm	14
Arrhenius, Johan.	Arrhenius, Johan	14
Berg, Carl Oskar.	Berg, Carl Oskar	14
Kiljander, Ludvig Gabriel.	Kiljander, Ludvig Gabriel	14
Oksanen, A.	Oksanen, A	14
Rydberg, Viktor.	Rydberg, Viktor	14
Hultin, Arvid.	Hultin, Arvid	14
Lagus, Wilhelm.	Lagus, Wilhelm	14
Lagus, Ernst.	Lagus, Ernst	14
Lassinen, Emil.	Lassinen, Emil	14
Vuoritsalo, Nuutti.	Vuoritsalo, Nuutti	14
Vollmar, Agnes.	Vollmar, Agnes	14
Serlachius, Julian.	Serlachius, Julian	14
Veijola, Yrjö.	Veijola, Yrjö	14
Söderhjelm, Alma.	Söderhjelm, Alma	14
Boldt, Robert.	Boldt, Robert	14
Biaudet, Henry.	Biaudet, Henry	14
Sandell, Lina.	Sandell, Lina	14
Skutnabb, Akseli.	Skutnabb, Akseli	14
Hernberg, Alarik.	Hernberg, Alarik	14
Löfman, O. W.	Löfman, O. W	14
Heyse, Paul.	Heyse, Paul	14
Ehrnrooth, Leo.	Ehrnrooth, Leo	14
Colliander, O. I.	Colliander, O. I	14
Oksanen, Kaarlo.	Oksanen, Kaarlo	14
Benedix, Julius Roderich.	Benedix, Julius Roderich	14
Onerva, L.	Onerva, L	14
Ekman, Oskar.	Ekman, Oskar	14
Dostojevski, F. M.	Dostojevski, F. M	14
Suonio.	Suonio	14
Kilpeläinen, E.	Kilpeläinen, E	14
Järvi, T. H.	Järvi, T. H	14
Kares, K. R.	Kares, K. R	14
Runa.	Runa	14
Palomaa, Veikko.	Palomaa, Veikko	14
Strukel, M.	Strukel, M	14
Thomasson, Pehr.	Thomasson, Pehr	14
Alan, Henric Michelsson.	Alan, Henric Michelsson	14
Europaeus, D. E. D.	Europaeus, D. E. D	13
Wiklund, K. B.	Wiklund, K. B	13
Sundman, Gösta.	Sundman, Gösta	13
Tucker, Charlotte.	Tucker, Charlotte	13
Flodin, Karl.	Flodin, Karl	13
Starbäck, C. Georg.	Starbäck, C. Georg	13
Sirola, Yrjö.	Sirola, Yrjö	13
Tanner, V.	Tanner, V	13
Yrjö-Koskinen, E. S.	Yrjö-koskinen, E. S	13
Grotenfelt, Ossian.	Grotenfelt, Ossian	13
Karsten, Petter Adolf.	Karsten, Petter Adolf	13
Rudin, Erik Georg Waldemar Napoleon.	Rudin, Erik Georg Waldemar Napoleon	13
Reinilä, Edit.	Reinilä, Edit	13
Pettinen, August.	Pettinen, August	13
Bergh, John.	Bergh, John	13
Macduff, J. R.	Macduff, J. R	13
Mattsson, Guss.	Mattsson, Guss	13
Lindén, K. E.	Lindén, K. E	13
Lindén, Georg.	Lindén, Georg	13
Vennola, J. H.	Vennola, J. H	13
Törngren, Adolf.	Törngren, Adolf	13
Hästesko, F. A.	Hästesko, F. A	13
Granfelt, O. Hj.	Granfelt, O. Hj	13
Savola, Alb.	Savola, Alb	13
Ruuth, Martti.	Ruuth, Martti	13
Rikala, Lauri.	Rikala, Lauri	13
Rantakari, K. N.	Rantakari, K. N	13
Andrejev, Leonid.	Andrejev, Leonid	13
Andersin, Hanna.	Andersin, Hanna	13
Forstén, Alma.	Forstén, Alma	13
Louhivuori, O. W.	Louhivuori, O. W	13
Lehtimäki, Konrad.	Lehtimäki, Konrad	13
Daudet, Alphonse.	Daudet, Alphonse	13
Jotuni, Alfred.	Jotuni, Alfred	13
Talmage, T. De Witt.	Talmage, T. De Witt	13
Sucksdorff, Vilh.	Sucksdorff, Vilh	13
Keinänen, S. A.	Keinänen, S. A	13
De Lacy, Peter.	De Lacy, Peter	13
Reijonen, Juho.	Reijonen, Juho	12
A-ï-a.	A-ï-a	12
Beecher-Stowe, Harriet.	Beecher-stowe, Harriet	12
Levänen, S.	Levänen, S	12
Pärnänen, Aapo.	Pärnänen, Aapo	12
Hällstén, K.	Hällstén, K	12
Pajula, J. S.	Pajula, J. S	12
Uschakoff, I.	Uschakoff, I	12
Hannikainen, K. O. G.	Hannikainen, K. O. G	12
Westerlund, F. W.	Westerlund, F. W	12
Wesley, John.	Wesley, John	12
France, Anatole.	France, Anatole	12
Sheldon, Charles M.	Sheldon, Charles M	12
