original	polished	Count
[Stokholmisa]	Stockholm	4
Kuortane	Kuortane	4
Laitila	Laitila	4
Giessen	Giessen	4
Turenki	Turenki	4
Utrecht	Utrecht	4
[Savonlinna]	Savonlinna	4
Kouvola	Kouvola	4
Lahtis	Lahti	4
Parainen	Parainen	4
Piotrogród	St Petersburg	4
Duluth (MN)	Duluth MN	4
Upsaliae impressum	Uppsala	4
Upsalas	Uppsala	4
Strengnäs	Strängnäs	4
Greifswald	Greifswald	4
[Dorpati Livonorum]	Tartu	4
[Stockholmiae]	Stockholm	4
I Upsala	Uppsala	4
[Präntätty Turusa]	Turku	4
[Wiburgi]	Vyborg	4
Göttingen	Göttingen	4
Stockholmissa	Stockholm	4
Scarae	Skara	4
Gefle	Gefle	3
Helsingforsiæ	Helsinki	3
Satakunta	Pori	3
Kainuu	Kainuu	3
Berliini	Berlin	3
Kööpenhamina	Copenhagen	3
Loviisa	Loviisa	3
Juva	Juva	3
[Petrograd']	St Petersburg	3
Oulusa	Oulu	3
Port Arthur (Ont., Can.)	Port Arthur ON	3
Vaasassa	Vaasa	3
Leeuwarden	Leeuwarden	3
A Stockholm	Stockholm	3
Har'kov'	Kharkiv	3
Gel'singfors	Helsinki	3
Pietarissa	St Petersburg	3
S. Peterburg'	St Petersburg	3
Sankt-Peterburg'	St Petersburg	3
Borgo	Porvoo	3
Arhangel'sk'	Archangelsk	3
Waasassa	Vaasa	3
Bruxelles	Brussels	3
[Stockholm	Stockholm	3
Chicago (Ill.)	Chicago IL	3
Fitchburgissa (Mass.)	Fitchburg MA	3
Mitau	Jelgava	3
Helsinkai	Helsinki	3
Dorpat	Tartu	3
[Rauma]	Rauma	3
[Pori]	Pori	3
Anvers	Antwerpen	3
Basel	Basel	3
[Riga]	Riga	3
[Moskva]	Moscow	3
[New York]	New York NY	3
Hancock	Hancock MI	3
Fitchburg, Mass.	Fitchburg MA	3
Hfors	Helsinki	3
Kiel	Kiel	3
Tallinna	Tallinn	3
Berlin'	Berlin	3
Gelsingfors	Helsinki	3
