name;synonyme
Janakkala;Janakkala
Ja toisen kerran Turusa;Turku
ja turusa;Turku
Ja Turusa;Turku
J Cedervaller poikineen;Viipuri
Jelgawa_;Jelgava
Jena;Jena
Jetzo auffs newe Stade;NA
Joensuu;Joensuu
joensuussa;Joensuu
Joensuussa;Joensuu
Jönkiöping;Jönköping
Jönköping;Jönköping
jönköping;Jönnköping
Junecopiae;Uppsala
Junekopiae;Uppsala
Jurjew;Jurjew
juva;Juva
Juva;Juva
jyvaeskylae;Jyväskylä
Jyvaeskylae;Jyväskylä
jyvæskylæssæ;Jyväskylä
Jyväskylä;Jyväskylä
jyväskylän kaupunnissa;Jyväskylä
Jyväskylän kaupunnissa;Jyväskylä
Jyväskylässä;Jyväskylä
kainuu;Kainuu
Kainuu;Kainuu
Kajaani;Kajaani
kajana;Kajaani
Kajana;Kajaani
Käkisalmi;Käkisalmi
Kaleva MI;Kaleva MI
kalevassa mich;Kaleva
Kaliningrad;Kaliningrad
kallislahti;Kallislahti
Kallislahti;Kallislahti
kangasala;Kangasala
Kangasala;Kangasala
kaprio;Kaprio
Kaprio;Kaprio
karhula;Karhula
Karhula;Karhula
Karjaa;Karjaa
karjalohja;Karjalohja
Karjalohja;Karjalohja
Karkku;Karkku
Karlskrona;Karlskrona
karlstad;Karlstad
Karlstad;Karlstad
karstula;Karstula
Karstula;Karstula
Kaskinen;Kaskinen
kauhajoki;Kauhajoki
Kauhajoki;Kauhajoki
kaukaa;Kaukaa
Kaukaa;Kaukaa
kausala;Kausala
Kausala;Kausala
Kauvatsa;Kauvatsa
Kazan';Kazan
keltto;Keltto
Keltto;Keltto
Kemi;Kemi
kemissä;Kemi
Kemissä;Kemi
kettuvaara;Kettuvaara
Kettuvaara;Kettuvaara
keyserligh frij rijkzstad lybeck;Lybeck
keyserligh frij Rijkzstad Lybeck;Lybeck
Kiel;Kiel
kiiminki;Kiiminki
Kiiminki;Kiiminki
Kirchhain;Kirchhain
Kirvu;Kirvu
kivennapa;Kivennapa
Kivennapa;Kivennapa
Kjöbnehavn;Copenhagen
kjøbnehavn;Copenhagen
kodisjoki;Kodisjoki
Kodisjoki;Kodisjoki
koivisto;Koivisto
Koivisto;Koivisto
Kokemäki;Kokemäki
Kokkola;Kokkola
Köln;Köln
Kolozsva_r;Cluj-Napoca
Koningsberg;Koningsberg
Kööpenhamina;Copenhagen
Köping;Köping
korsholm;Korsholm
Korsholm;Mustasaari
korsnäs;Korsnäs
Korsnäs;Korsnäs
Kotka;Kotka
Kouvola;Kouvola
