"","publisher","n"
"7261","Kniz<U+030C>nyj magazin' S<U+030C>tura",1
"7262","Kniz<U+030C>nyj magazin' i sklad' izdani`j O. N. Popovoj",1
"7263","Kniz<U+030C>nyj magazin'' P. Kras<U+030C>eninnikova i komp",1
"7264","Kniz<U+030C>nyj sklad' B. I. Gubinskago",1
"7265","Knoll Ka´roly",1
"7266","Knut Hallberg",1
"7267","Koarle Gottlund",1
"7268","Kock- och Stuertskolans i Åbo",1
"7269","Kodin lehti",1
"7270","Koheliinin kustannustoimisto",1
"7271","Koito",1
"7272","Koitto lehti",1
"7273","Koitto-lehden toimisto",1
"7274","Koiviston Eläinsuojelusyhdistys",1
"7275","Kojonjoen osuusmeijeri",1
"7276","Kokemäen kunta",1
"7277","Kokkolan Suomalaisen yhteiskoulun 'Toverikunta",1
"7278","Kokkolan kaupungin rautatiekomitea",1
"7279","Kokkolan kirjapaino",1
"7280","Kokkolan uutisten oy",1
"7281","Kokkolan' toimitus",1
"7282","Kokoilia",1
"7283","Kokooja",1
"7284","Kokoomuspuolueen piiritoimikunta",1
"7285","Kokouksen sihteeri",1
"7286","Kokouksen toimikunta",1
"7287","Koleso",1
"7288","Kolminaisuuden Pipliaseura",1
"7289","Kolminaisuuden pipliaseura",1
"7290","Komissi`a^ po zave<U+030C>dyvani`u^ kapitalom' im. gr. S. A. Stroganova",1
"7291","Komite´n för 13-maj-festen (A. Fabritius",1
"7292","Komite´ns för undervisning i huslig ekonomi",1
"7293","Kommandiittiyhtiö O. Räisänen ja Kumpp",1
"7294","Kommunala Sjukhuset i Åbo",1
"7295","Kommunala sjukhuset i Åbo",1
"7296","Kommunalnämnden i Helsinge",1
"7297","Konduktööri Erikson",1
"7298","Konekauppa Aatra",1
"7299","Kongl. Acad. bokt. J. C. Frenckells encka",1
"7300","Kongl. Acad. bokt. Joh. C. Frenckell",1
"7301","Kongl. Acad. boktr. Joh. Kiämpe",1
"7302","Kongl. Acad. boktryckare Johan Christoph. Frenckell",1
"7303","Kongl. Acad. boktryckaren Joh. C. Frenckells enka",1
"7304","Kongl. Acad. boktryckaren Joh. Christopher Frenckell",1
"7305","Kongl. Acad. boktryckaren Johan Chr. Frenckell",1
"7306","Kongl. Academiae boktryckeriet",1
"7307","Kongl. Academie boktryckeriet",1
"7308","Kongl. Antiq. arch. boktr. Joh. Laur. Horrn",1
"7309","Kongl. Antiq. arch. boktr.J. L. Horrn",1
"7310","Kongl. Antiq. arch. boktryckaren Julius Georg Matthiae",1
"7311","Kongl. Antiqvitaets archivi boktr. Johann Laur. Horrn",1
"7312","Kongl. Antiqvitets archivi boktryckare, Johann Laur. Horrn",1
"7313","Kongl. Finska Boktryckeriet, hos Joh. Arvid Carlbohm",1
"7314","Kongl. Finska Boktryckeriet, hos Johan A. Carlbohm, den 4 feb",1
"7315","Kongl. Finska boktryckeriet",1
"7316","Kongl. Finska boktryckeriet hos Joh. Arvid Carlbohm",1
"7317","Kongl. Finska boktryckeriet, hos Joh. A. Carlbohm",1
"7318","Kongl. Landtmät. Contoiret",1
"7319","Kongl. May:ts Antiq. archiv. boktr. Joh. L. Horrn",1
"7320","Kongl. Ordens-tryckeriet",1
"7321","Kongl. Tryckeriet",1
"7322","Kongl. acad. bokt. J. C. Frenckell",1
"7323","Kongl. acad. bokt. sal. Joh. Höjers enckia",1
"7324","Kongl. acad. boktr. Frenckells enka",1
"7325","Kongl. acad. boktr. Joh. C. Frenckell",1
"7326","Kongl. acad. boktr. Joh. C. Frenckells enka",1
"7327","Kongl. acad. boktr. Joh. C. Frenckells enka, på Kongl. academiens bekostnad",1
"7328","Kongl. acad. boktr. Joh. C. Frenckells änka",1
"7329","Kongl. acad. boktr. Johan Wall",1
"7330","Kongl. acad. boktr. i Åbo, Andr. Biörkman",1
"7331","Kongl. acad. boktryckaren Joh. C. Frenckells enka",1
"7332","Kongl. acad. boktryckaren Joh. Christopher Frenckell. För auctorens räkning",1
"7333","Kongl. acad. boktryckaren, Eric Flodstrom",1
"7334","Kongl. academiae boktryckeriet",1
"7335","Kongl. boktr. J. C. Frenckells enka",1
"7336","Kongl. boktr. hos sal. Wankijfs enckia",1
"7337","Kongl. boktryckeriet",1
"7338","Kongl. finska boktryckeriet, hos Joh. A. Carlbohm",1
"7339","Kongl. finska boktryckeriet, på Johan Arv. Carlbohms bekostnad",1
"7340","Kongl. landmäteri kontoret",1
"7341","Kongl. sjökarta kont",1
"7342","Kongl. tryckeriet hos Henr. Fougt, Stora Nygatan, huset n:o 104",1
"7343","Kongl. tryckeriet hos Henr. Fougt, på des förlag",1
"7344","Kongl. tryckeriet, hos Henr. Fougt",1
"7345","Kongl. tryckeriet, hos Henrik Fougt, på des förlag",1
"7346","Kongliga tryckeriet",1
"7347","Konst- och Konstindustriföreningens i Björneborg",1
"7348","Konstantin Elgh",1
"7349","Konstantin Ivanoff",1
"7350","Konstflitföreningen i Finland",1
"7351","Konsthistoriska sällskapet",1
"7352","Konstitutionella Arbetareförbundet i Finland",1
"7353","Konstitutionella ungdomsklubben",1
"7354","Konstmuseum i Helsingfors",1
"7355","Konstnärliga förlagssammanslutningen, Lappalainen, Blomqvist, Malin",1
"7356","Konstnärsklubben",1
"7357","Korian osuuskauppa",1
"7358","Korkeakosken kauppa",1
"7359","Kosken kunta",1
"7360","Kostitutionella Arbetareförbundet i Finland",1
"7361","Kostnaðarmaður Oddur Björnsson",1
"7362","Kotikielen Seuran asettama komitea",1
"7363","Kotikielen seura",1
"7364","Kotikirjaston kirjapaino",1
"7365","Kotimaa",1
"7366","Kotimainen teollisuuden edistämiskomitea",1
"7367","Kotimaisen työn kustannus-osakeyhtiö",1
"7368","Kotka",1
"7369","Kotka Tryckeri ab",1
"7370","Kotka folkbibliotek",1
"7371","Kotka stads förlag",1
"7372","Kotkan Eläinsuojelusseura",1
"7373","Kotkan Eläinsuojelusyhdistys",1
"7374","Kotkan Työväenyhdistys",1
"7375","Kotkan ajuriyhdistys",1
"7376","Kotkan kaupungin valtuusto",1
"7377","Kotkan kuoro",1
"7378","Kotkan liikeapulaisyhditys",1
"7379","Kotkan seurak. nuorisopiiri",1
"7380","Kotkan suomalainen sanomalehti",1
"7381","Kotkan suomalainen sanomalehti-osakeyhtiö",1
"7382","Kotkan työväen sanomalehti",1
"7383","Kotkan työväenasuntovaliokunta",1
"7384","Koulutarpeiden keskusliike-oy",1
"7385","Koulutoimen ylihallitus",1
"7386","Kp-yhtiö Valo",1
"7387","Kp. 'Sanoma",1
"7388","Kp. Suomi",1
"7389","Kp.- ja sanomal. oy",1
"7390","Kp.-'Kotka",1
"7391","Kp.-o.y. 'Sanoma",1
"7392","Kp.-o.y. Sanoma",1
"7393","Kp.-osakeyhtiö",1
"7394","Kp.-oy 'Sanoma",1
"7395","Kp.-oy. Toivo",1
"7396","Kreatursförsäkringsbolaget",1
"7397","Kreatursförsäkringsbolaget i Finland",1
"7398","Krist. naisyhdistys",1
"7399","Kristian Gustaf Sucksdorff",1
"7400","Kristillinen kustannustoimisto",1
"7401","Kristillinen työkansa",1
"7402","Kristillinen ylioppilasliitto",1
"7403","Kristillisen Työväenliiton valtuuskunta",1
"7404","Kristillisen työkansan äänestäjiä Karjalassa",1
"7405","Kristl. föreningen af unge män",1
"7406","Kristliga Föreningen af Unga Kvinnor, jakaja",1
"7407","Kristliga Föreningen af unga kvinnor i Helsingfors",1
"7408","Kristliga Föreningen av Unga Kvinnor",1
"7409","Kristliga arbetarförbundet",1
"7410","Kristliga föreningen af unga kvinnor",1
"7411","Kristliga föreningen af unge män i Helsingfors",1
"7412","Kristliga föreningen av unga kvinnor i Sörnäs",1
"7413","Kristliga föreningen för unga kvinnor",1
"7414","Kronen-Verlag",1
"7415","Kronoborgs landtbruksinstitut",1
"7416","Kronoby andelsmejeri",1
"7417","Kronoby folkhögskola",1
"7418","Kronoby hushålls- och trädgårdsskola",1
"7419","Kronoby kommun",1
"7420","Ks",1
"7421","Ksiazka",1
"7422","Kulhanen",1
"7423","Kullaan kunta",1
"7424","Kumblins enka",1
"7425","Kumpuniemi",1
"7426","Kun. suomalaisesa kirja-präntisä",1
"7427","Kungliga tryckeriet",1
"7428","Kuning. acad. kirjan pränttäjän Joh. C. Frenckellin lesken tykönä",1
"7429","Kuning. acad. kirjan-präntäjäldä Johan Christopher Frenckellildä",1
"7430","Kuning. akad. kirjan präntäjäldä Joh. Christ. Frenckellildä",1
"7431","Kuning. suomalainen prändi",1
"7432","Kuning.sa prändisä",1
"7433","Kuning:sa suomalaisesa prändisä",1
"7434","Kuning:sen Acad. kirjan präntt. J. C. Frenckellildä",1
"7435","Kuning:sen Acad. kirjan-präntäjän J. C. Frenckellin lesken tykönä",1
"7436","Kuning:sen acad. kirj. pränttäj. Johan Christoph. Frenckellildä",1
"7437","Kuning:sen acad. kirjan-präntäjäldä Joh. Christ. Frenckellildä",1
"7438","Kuning:sen acad. kirjan-präntäjän Johan Christ. Frenckellin leskeldä",1
"7439","Kuning:sen acad. kirjanpräntäjäldä J. C. Frenckellildä",1
"7440","Kuning:sen acad. kirjanpräntäjän J. C. Frenckellin lesken tykönä",1
"7441","Kuning:sen acad. kirjanpräntäjän J. C. Frenckellin tykönä. Omalla kustannuxella",1
"7442","Kuning:sen academ. kirjan-präntäjän Joh. C. Frenckellin lesken tykönä, wuonna",1
"7443","Kuning:sesa suolamaisesa [sic] prändisä, Joh. Arv. Carlbohmilda :;Carlbohm, Johan Arvid",1
"7444","Kuning:sesa suomalaisesa prändisä, Johan Arvid Carlpohmin [sic",1
"7445","Kuning:sesa suomalaisesa präntisä, direktörin Johan A. Carlbohmin tykönä",1
"7446","Kuning:sesa suomalaisessa prändisä, Johan A. Carlbohmilda",1
"7447","Kuningalisesa Suomen kirjan prändisä, Johan Arvid Carlbohmin tykönä",1
"7448","Kuningall. acad. kirjan-präntäjäldä Joh. Christoph. Frenckellildä",1
"7449","Kuningall. academian alla olewasa präntisä",1
"7450","Kuningallisen acad. kirjan präntt. J. C. Frenckellildä",1
"7451","Kuningallisen acad. kirjan präntt. J. C. Frenkellildä",1
"7452","Kuningallisen acad. kirjan pränttäjäld. J. C. Frenckellildä",1
"7453","Kuningallisen acad. kirjan pränttäjäldä, J. C. Frenckellildä",1
"7454","Kuningallisen acad. kirjan pränttäjän, J. C. Frenckellin lesken tykönä",1
"7455","Kuningallisen acad. kirjapräntäjän Johan Christopher Frenckellin lesken tykönä",1
"7456","Kuningallisesa präntisä",1
"7457","Kuningallisesa suomalaisesa prändisä, Joh. A. Carlbohmin omalla kulutuxella",1
"7458","Kuningallisesa suomalaisesa prändisä, Joh. Arv. Carlbohmilda",1
"7459","Kuningallisesa suomalaisesa prändisä, Joh. Arv. Carlbohmin omalla kulutuksella",1
"7460","Kuningallisesa suomalaisesa prändisä, Johan A. Carlbohmilda",1
"7461","Kuningallisesa suomalaisesa prändisä, Johan A. Carlbohmin omalla kulutuxella",1
"7462","Kuningallisesa suomalaisesa prändisä, John. A. Carlbohmilda",1
"7463","Kuningallisesa suomalaisesa prändisä, directörin Johan A. Carlbohmin omalla kulutuxella",1
"7464","Kuningallisesa suomalaisesa prändisä, direktorin Joh. Arv. Carlbohmin tykönä",1
"7465","Kunningallisesa [!] suomalaisesa prändisä",1
"7466","Kunningallisesa suomalaisesa präntisä, direktörin Joh. A. Carlbohmin tykönä",1
"7467","Kuokkalan rukoushuoneyhdistys",1
"7468","Kuopio uusi kp",1
"7469","Kuopion Asioimistoimisto, kustannusosasto",1
"7470","Kuopion Eläinsuojelusyhdistys",1
"7471","Kuopion N. M. K. Y",1
"7472","Kuopion Polkupyöräseura",1
"7473","Kuopion Puutarhayhdistys",1
"7474","Kuopion Teollisuuskoulu",1
"7475","Kuopion Uusi sanomalehti",1
"7476","Kuopion diakonaattitoimikunta",1
"7477","Kuopion kauppakoulu",1
"7478","Kuopion kaupunginvaltuusto",1
"7479","Kuopion kuuromykkäinkoulu",1
"7480","Kuopion l. läntisen vaalipiirin maalaisliitto",1
"7481","Kuopion luonnon ystäväin yhdistys",1
"7482","Kuopion läänin hevosystäväin-seura",1
"7483","Kuopion läänin itäinen vaalipiiri",1
"7484","Kuopion läänin itäisen vaalipiirin sosialidemokraattinen piirijärjestö",1
"7485","Kuopion läänin läntisen vaalipiirin sosialidemokraattinen piirijärjestö",1
"7486","Kuopion läänin maamiesseura",1
"7487","Kuopion läänin maanviljelysseurat",1
"7488","Kuopion maalaiskunta",1
"7489","Kuopion maanviljelysnäyttely",1
"7490","Kuopion maanviljelysnäyttely v. 1906",1
"7491","Kuopion maanviljelysseuran johtokunta",1
"7492","Kuopion nuorten kristittyjen C. E. yhdistys",1
"7493","Kuopion nuorten naisten kristillinen yhdistys",1
"7494","Kuopion pyhäkouluyhdistys",1
"7495","Kuopion sos.-dem. nuorisopiirijärjestö",1
"7496","Kuopion suomalainen yhteiskoulu",1
"7497","Kuopion teollisuuskoulu",1
"7498","Kuopion työväen osuuskauppayhdistys",1
"7499","Kuopion uimaseura",1
"7500","Kuopion uusi kirjapaino [Jakaja",1
"7501","Kurikan kunta",1
"7502","Kuriren",1
"7503","Kustaa Wiklund",1
"7504","Kustannus Valonvalta",1
"7505","Kustannus ja kirjapaino osakeyhtiö Sampo",1
"7506","Kustannus ja kirjapaino-osakeyhtiö Sampo",1
"7507","Kustannus o. y. Kansa",1
"7508","Kustannus o.y. Helios",1
"7509","Kustannus o.y. Kansa",1
"7510","Kustannus oy Herättäjä",1
"7511","Kustannus- ja kp.-osakeyhtiö Sampo",1
"7512","Kustannus-o.y",1
"7513","Kustannus-o.y. Helios [jakaja",1
"7514","Kustannus-osakeyhtiö Kansa",1
"7515","Kustannus-oy Sampo",1
"7516","Kustannus-oy. Aikain Wartija",1
"7517","Kustannus-oy. Herättäjä",1
"7518","Kustannus-oy. Kansa",1
"7519","Kustannus-oy. Valonvalta",1
"7520","Kustannus-yhtiö Osmo",1
"7521","Kustannusliike 'Tarmo",1
"7522","Kustannusliike Arkki",1
"7523","Kustannusliike Aura o.y",1
"7524","Kustannusliike Elo",1
"7525","Kustannusliike Erio",1
"7526","Kustannusliike Kansanvalta",1
"7527","Kustannusliike Sana",1
"7528","Kustannusliike Suomi",1
"7529","Kustannusliike Tuulikki",1
"7530","Kustannusliike Työkansa",1
"7531","Kustannusosakeyhtiö Otava",1
"7532","Kustannusoy Kansa",1
"7533","Kustannusoy. Aikain Vartija",1
"7534","Kustannustoimisto Hermes",1
"7535","Kustannustoimisto Widell' ja Kumpp",1
"7536","Kustannusyhtiö Kirja",1
"7537","Kustannusyhtiö Osmo (Ventola ja kumpp",1
"7538","Kustantamo Salama",1
"7539","Kutoma- ja paperiteollisuuslehti",1
"7540","Kuulijakunta",1
"7541","Kuusamon työväenyhdistys",1
"7542","Kuusankosken työväenyhdistys",1
"7543","Kuvallinen aikakauslehti Lukutupa",1
"7544","Kvevlaks hembygdsförening",1
"7545","Kvinnliga studenters kristliga förening",1
"7546","Kvinnoorganisationerna tillsatt kommitte",1
"7547","Kvinnosaksförb. Unionen",1
"7548","Kvinnosaksförbund i Finland",1
"7549","Kyläkirjasto",1
"7550","Kyläkirjaston kuvalehden B-sarjan toimitus",1
"7551","Kyläkirjaston toimitus",1
"7552","Kymi-yhtiö",1
"7553","Kymiläisten osuuskauppa",1
"7554","Kyminlaakson sanomalehti-osuuskunta",1
"7555","Kyminlaakson sähkö",1
"7556","Kyminlaakson työväen kirjapaino",1
"7557","Kyminlaakson työväen kp",1
"7558","Kyminlaakson työväen sanomalehti-osuuskunta",1
"7559","Kymintehtaalaisten osuuskaupan i. l. hallitus, julkaisija",1
"7560","Kymmene Aktiebolag",1
"7561","Kymmene Interimsflottningsförening",1
"7562","Kymmene aktiebolag",1
"7563","Kyrkolagskomite",1
"7564","Kyrkolagskommitte´n",1
"7565","Kyrkslätt Skärgårds Ungdomsförening",1
"7566","Kytäjän osuuskauppa",1
"7567","Käki",1
"7568","Käkisalmen Eläinsuojelus-Yhdistys",1
"7569","Käkisalmen kirjapaino",1
"7570","Käkisalmen suomalainen kirjapaino",1
"7571","Käkisalmen säästöpankki",1
"7572","Käkisalmen työväen sanomalehti-o.y",1
"7573","Käsiteollisuuskirjasto",1
"7574","Käsiteollisuuslehti",1
"7575","Käysarill. wapautetusa präntisä",1
"7576","Kääntäjä",1
"7577","Königl. Buchdruckerei",1
"7578","Königl. Druckerei",1
"7579","L'Art",1
"7580","L'Humanite´ Nouvelle",1
"7581","L'Universite´ Impe´riale Alexandre",1
"7582","L. Enroth",1
"7583","L. Fisk",1
"7584","L. H. Lillie",1
"7585","L. Hagan, jakaja",1
"7586","L. J. Hierta",1
"7587","L. J. Hjerta",1
"7588","L. L. Lauren",1
"7589","L. L. Laure´n",1
"7590","L. M. Höjer, Kongl. acad. boktr",1
"7591","L. M. Höjer, Reg. Acad. typ",1
"7592","L. M. Höjer, Reg. Acad. typog",1
"7593","L. M. Partanen",1
"7594","L. Sesemann",1
"7595","L. Wahlström",1
"7596","L:rannan tuberkulosinvastustamisyhdist",1
"7597","LTY",1
"7598","La Espan~a Moderna",1
"7599","La Espan~a editorial",1
"7600","La Plume",1
"7601","La Popular",1
"7602","La Revue du Notariat",1
"7603","Laatokka",1
"7604","Labor",1
"7605","Lagerlund",1
"7606","Lagermann",1
"7607","Lagerstedt",1
"7608","Lahden Polkupyörä-Yhdistys",1
"7609","Lahden Puutarhaseura",1
"7610","Lahden kansanopisto",1
"7611","Lahden kauppalan Eläinsuojelus Yhdistys",1
"7612","Lahden kirjakauppa",1
"7613","Lahden kirjapaino- ja sanomalehti-o.-y",1
"7614","Lahden kp.-o.y",1
"7615","Lahden lehden kp",1
"7616","Lahden osuuskauppa r.l",1
"7617","Lahden seudun nuorisoseura",1
"7618","Lahden sosialidemokraattinen kunnallisjärjestö",1
"7619","Lahden uusi kp",1
"7620","Lahden, Tampereen ja Viipurin puutarhaseurat",1
"7621","Lahja Leppänen",1
"7622","Laihian nuorisoseura",1
"7623","Lammin Eläinsuojeluyhdistys",1
"7624","Lampel R. Könyvkereskede´se",1
"7625","Landins bokhandel",1
"7626","Landtbruks-, fiskeri- och slöjdutställningen",1
"7627","Landtbruksmötet och -utställningen i Kuopio",1
"7628","Landtbruksmötet å Malm",1
"7629","Landtbruksutställning i Ekenäs",1
"7630","Landtbruksutställningen i Åbo",1
"7631","Landtmannabanken",1
"7632","Landtmätareföreningen",1
"7633","Langiska boktryckeriet",1
"7634","Lantbrukssällskap utställning",1
"7635","Lapin Maatalousseura",1
"7636","Lapin kunta",1
"7637","Lapin maatalousseura",1
"7638","Lapinlahden kunta",1
"7639","Lapinlahden maamiesseura",1
"7640","Lapinlahden osuusmeijeri",1
"7641","Lappeen maanmiesseura",1
"7642","Lappeenrannan Kaupungin ja Lappeen Pitäjän Eläinsuojelus- ja Hevosystäväin Yhdistys",1
"7643","Lappeenrannan ja Lapveden Eläinsuojelus- ja Hevosystäväin Yhdistys",1
"7644","Lappeenrannan kaupunki",1
"7645","Lappeenrannan kirjapaino",1
"7646","Lappeenrannan käsityöläis- ja tehtailijayhdistys",1
"7647","Lappeenrannan työväenyhdistys",1
"7648","Lappeenrannan vapaaehtoinen palosammutuskunta",1
"7649","Lappeenrannan vpaaehtoinen palosammutuskunta",1
"7650","Lappfjärds folkhögskola",1
"7651","Lappfjärds ungdomsförening",1
"7652","Larose",1
"7653","Lars A. Collin",1
"7654","Lars Kumlinilda",1
"7655","Lars Salvius, på egen kostnad",1
"7656","Lars Stenbäck",1
"7657","Lars Unge",1
"7658","Lars Wahlström",1
"7659","Lars Wallilda",1
"7660","Lars Wennberg, på egen bekostnad",1
"7661","Laukaan kunnallislautakunta",1
"7662","Laukaan kunta",1
"7663","Laulunopettajayhdistys",1
"7664","Laur. Laurin pojalda Wallilda",1
"7665","Laur. Leonh. Lindelöf",1
"7666","Laur. M. Höjer, Kongl. Acad. boktr",1
"7667","Laur. M. Höjer, Reg. Acad. typogr",1
"7668","Laurent. Ludov. Grefingii",1
"7669","Laurent. Reinhold. Malmsten",1
"7670","Laurentii Ludov. Grefingii",1
"7671","Laurentii Wallii",1
"7672","Laurentius Henricus Törnroth",1
"7673","Laurentius Jacobus Stenbäck",1
"7674","Laurentius Stenbäck",1
"7675","Laurentius Stuchs",1
"7676","Laurentius Wall",1
"7677","Lauri Itkonen",1
"7678","Lauri Mäkinen",1
"7679","Le Monnier",1
"7680","Leander & Sandberg",1
"7681","Leffler och Sebell",1
"7682","Leikas and C:o",1
"7683","Lemin julkaisutoimikunta",1
"7684","Lempäälän kunta",1
"7685","Lentolehtikomitea",1
"7686","Leon Dekroz",1
"7687","Leonard Lund",1
"7688","Leonhard Simion",1
"7689","Leppävirran kunta",1
"7690","Leppävirran sos.-dem. kunnallistoimikunta",1
"7691","Levittäjä: O.-Y. Waseniuksen kirjakauppa",1
"7692","Libraire de la cour d'Appel et de l'ordre des avocats",1
"7693","Librairie Armand Colin",1
"7694","Librairie C. Klincksieck",1
"7695","Librairie E. Champion",1
"7696","Librairie Fischbacher",1
"7697","Librairie Guillaumin et Cie",1
"7698","Librairie H. Welter",1
"7699","Librairie Honore´ Champion",1
"7700","Librairie Paul Geuthner",1
"7701","Librairie de A. Courcier",1
"7702","Librairie ge´ne´rale de droit et de jurisprudence",1
"7703","Librairie universelle",1
"7704","Lidstedts antikv. bokh., distr",1
"7705","Lievendal",1
"7706","Liewendal",1
"7707","Lifförsäkringbolaget Suomi",1
"7708","Lifförsäkrings-Aktiebolaget Thule",1
"7709","Liikemiesherätystyö Suomessa",1
"7710","Liitohallinto",1
"7711","Liittotoimikunta",1
"7712","Lilius & Hertsberg",1
"7713","Lilius & Hertzberg (Schildt",1
"7714","Lilius & Hertzberg :;Akateeminen kirjakauppa [jakaja",1
"7715","Lilius & Hertzberg i distr",1
"7716","Lilius & Hertzberg o.y",1
"7717","Lilius i Gercberg",1
"7718","Lilius ja Herzberg",1
"7719","Lilius' i Gertcberg",1
"7720","Lilja",1
"7721","Lilja ja Kumpp",1
"7722","Liljestrand",1
"7723","Lilkus' i Gercberg",1
"7724","Lillja & Kumpp",1
"7725","Limingan Nuorisoseura",1
"7726","Limingan kunta",1
"7727","Limingan osuuskauppa",1
"7728","Lindbergs Tryckeri Aktiebolag",1
"7729","Lindborg",1
"7730","Lindebergin kirjakauppa",1
"7731","Lindgren :;Holm",1
"7732","Lindgren :;Lutherilainen evankeliumi-yhtiö",1
"7733","Lindgren ja Kumpp. kustannusliike",1
"7734","Lindqvist",1
"7735","Lindstedt'in antikavaarinen kirjakauppa",1
"7736","Lindstedtin aktikvaarinen kirjakauppa",1
"7737","Lindstedtin antikvaarinen kirjak",1
"7738","Lindstedts antikv. bokh",1
"7739","Lindstedts antikv. bokhandel",1
"7740","Lindstedts antikv. bokhandel, distr",1
"7741","Lindstedts antikvar",1
"7742","Lindstedts antiqv. bokh",1
"7743","Lindstedts antiqvariska bokhandel",1
"7744","Linnström",1
"7745","Linodlingskommitte",1
"7746","Lit. Anstalt",1
"7747","Lith. F. Liewendal",1
"7748","Lith.hos F. Liewendal",1
"7749","Litografiska tryckeribolaget",1
"7750","Litografi`a^ E`. Arigol'da",1
"7751","Litografi`a^ F. Livendal",1
"7752","Litteraturförlaget",1
"7753","Ljus ;;Nordiska forlag",1
"7754","Ljus' förlag",1
"7755","Loimaan ja Pöytyän säästöpankki",1
"7756","Loimaan lähetysyhdistys",1
"7757","Loimaan nuorisoseura",1
"7758","Londicerildä",1
"7759","Londicerin kirjan prändisä",1
"7760","Londicerin lesken tykönä",1
"7761","Longmans, Green",1
"7762","Lontoo, Englannin ja ulkomaan bibliaseura",1
"7763","Looström",1
"7764","Looström & Komp",1
"7765","Looström & komp",1
"7766","Lor. Lud. Grefing",1
"7767","Lor. Ludv. Grefing, å egit förlag",1
"7768","Lor. M. Höjer kongl. Ac. boktr",1
"7769","Lorck",1
"7770","Lorents Ludvig Grefing",1
"7771","Lorentz L. Grefing",1
"7772","Lorentz Ludwig Grefing, på des egen bekostnad",1
"7773","Lorentz Ludwig Grefingildä",1
"7774","Lorenzo Sonzogno",1
"7775","Lotsstyrelsen",1
"7776","Lotti Sandström bokhandel, distr",1
"7777","Lounais-Hämeen sanomalehti-o.y",1
"7778","Lounais-Karjalan kansanopisto",1
"7779","Lounas Osuuskunta",1
"7780","Lounas oy:n kp",1
"7781","Lounasosuuskunnan kirjapaino",1
"7782","Lovisa Sparbank",1
"7783","Ludovici Decreaux directoris officinae typographicae",1
"7784","Ludvig Dannholm",1
"7785","Ludvig Decreaux, directeur öfwer Kongl. academiens priviligerade tryckerij i Lund",1
"7786","Lundberg :;Suomentaja",1
"7787","Lundberg :;Vaasan evankeliumiseura",1
"7788","Lundequistska bokhandeln",1
"7789","Lundsbergs skola",1
"7790","Luonnonparannus- ja terveydenhoitoyhdistys",1
"7791","Luontainen terveyskunta",1
"7792","Luotsi- ja majakkalaitoksen ylihallitus",1
"7793","Lut. kustannus-o.y",1
"7794","Luteerilainen kirjainkustannus",1
"7795","Luterilainen Evankeliumi-Yhdistys",1
"7796","Luterilainen Ewankeilumi-yhdistys",1
"7797","Luth.  Evangeliföreningen",1
"7798","Luth. Evang. föreningen",1
"7799","Luth. Evang.- fören",1
"7800","Luth. Evangeliföreningen",1
"7801","Luth. Evangeliifören",1
"7802","Luth. Evankeliumi        -yhdistys",1
"7803","Luth. Evankeliumiyhtiö",1
"7804","Luth. Ewankeliumi-yhtiö",1
"7805","Luth. evangeliföreningen i Finland",1
"7806","Luth. evangeliifören",1
"7807","Luth. evank. yhtiö",1
"7808","Luth. evank.-yhtiö",1
"7809","Luth.evankeliumiyhdistys",1
"7810","Lutherilainen evankeliumi-yhtiö",1
"7811","Lutherska Evangelii föreningen",1
"7812","Lutherska Söndagsskoleföreningen i Finland",1
"7813","Lutherska evangeliföreningens i Finland förlag",1
"7814","Lutherska evangelii föreningen i Finland",1
"7815","Lutherska evangeliiföreningen",1
"7816","Luukkonen",1
"7817","Luvian osuuskauppa r.l",1
"7818","Luzac & C:o",1
"7819","Lydecken",1
"7820","Lägre handtverksskolan i Helsingfors",1
"7821","Lägre hantvärksskolan",1
"7822","Lähde",1
"7823","Lähetys-seura",1
"7824","Lähetysyhdistys",1
"7825","Längelmäen säästöpankki",1
"7826","Lännen Co-op. kustannusyhtiö",1
"7827","Lännen Työväen Kustannusyhtiö",1
"7828","Lännen Tähti",1
"7829","Lännen työväen ko-op. kustannus",1
"7830","Länsi-Suomen Karjanjalostusyhdistys",1
"7831","Länsi-Suomen karjanmyynti osuuskunta",1
"7832","Länsi-Suomen karjanmyynti-osuuskunta",1
"7833","Länsi-Suomen kp",1
"7834","Länsi-Suomen kristilliset sanomat",1
"7835","Länsi-Suomen piirin yksityisoppikoulunopettajat",1
"7836","Länsi-Uudenmaan kansanopisto",1
"7837","Länsi-piirin piirikomitea",1
"7838","Länsi-pohjan osuuskauppa",1
"7839","Länsi-suom. osakunta",1
"7840","Länsisuomalainen osakunta,;Västfinska afdelningen",1
"7841","Länsisuomalainen ylioppilas-osakunta",1
"7842","Läntisen Viipurin läänin maanviljelysseura",1
"7843","Läröverkets för gossar och flickor konvent",1
"7844","Lääkintähallitus",1
"7845","Lääkintölaitos",1
"7846","Lönnroth",1
"7847","Lördagsqvällen",1
"7848","Löwegren",1
"7849","M. C. Iversen",1
"7850","M. F. Huhtin :;J. Länkelä",1
"7851","M. Hanemann",1
"7852","M. Heinonen",1
"7853","M. I. Semenovski`j",1
"7854","M. Knutzon",1
"7855","M. Lankinen, jakaja",1
"7856","M. Latva",1
"7857","M. Lindman",1
"7858","M. Lyytinen",1
"7859","M. Lyytinen & K:i",1
"7860","M. Merian",1
"7861","M. N. Kasanskij",1
