"","publisher","n"
"424","Akateeminen kirjakauppa, jakaja",15
"425","Etelä-Savon kirjapaino",15
"426","Frenckellin kirjan prändisä",15
"427","Geologiska Kommissionen :;Akademiska Bokhandeln, jakaja",15
"428","Helsingfors stad",15
"429","Joh. Edman",15
"430","Joh. Kiämpe Reg. Acad. typ",15
"431","K. Kaatra",15
"432","Kaiserlichen Akademie der Wissenschaften",15
"433","Kirjoittaja",15
"434","Kuning:sesa suomalaisesa präntisä",15
"435","Petrus Hansonius Acad. typ",15
"436","Savon työväen sanomalehti-osuuskunta",15
"437","Sos.-dem. eduskuntaryhmä",15
"438","Suomalaisen puolueen naisvaliokunta",15
"439","Suomen geologinen toimisto",15
"440","Suomen muinaismuisto-yhdistys",15
"441","Suomen muinaismuistoyhdistys",15
"442","Tuberkulosin vastustamisyhdistys",15
"443","aff Iohan Winter",15
"444","sa Acad. apud Petri Waldz",15
"445","Öhman",15
"446","Backman",14
"447","Carl Dele´n",14
"448","Centraltryckeriet",14
"449","Finska Metallindustrins Arbetsgifvareförbund",14
"450","Finska vetenskapssocieteten",14
"451","J. Simelii arfvingar",14
"452","Keisarillinen Suomen senaatti",14
"453","Kuopion uusi kp",14
"454","Kyrkomötet",14
"455","Ljus",14
"456","Länsisuomalaisten esitelmätoimikunta",14
"457","Osuuskunta Väinämöinen",14
"458","Peder Wald",14
"459","Päivälehden kirjapaino",14
"460","Suomen Keisarillinen Aleksanterin yliopisto",14
"461","Suomen suoviljelysyhdistys",14
"462","Työväen sanomalehti-osakeyhtiö",14
"463","Wernerianis",14
"464","apud Reg. Acad. typogr. J. C. Frenckell",14
"465","tryckt på Lars Salvii kostnad",14
"466","Arvi A. Karisto",13
"467","B. E. Martin",13
"468","Bibel-sällskapets boktryckeri",13
"469","Carl Stolpe",13
"470","Cuningallisesa suomalaisesa präntisä",13
"471","Edlundin kirjakauppa",13
"472","F. Tilgmann",13
"473","Finska Historiska Samfundet",13
"474","Frenckell :;Granlund",13
"475","Föreningen Martha] :;Akademiska Bokhandeln, jakaja",13
"476","Föreningen för bekämpandet af tuberkulosen",13
"477","G. A. Ekholm",13
"478","Geologiska Kommissionen :;Akademiska bokhandeln, jakaja",13
"479","H. W. Marjamaa",13
"480","Hemma och Utes redaktion",13
"481","J. Karsten",13
"482","Joh. Kiaempe, Kongl. acad. boktr",13
"483","Karjalan kirjakauppa- ja kustannusliike",13
"484","Kewät-yhtiö",13
"485","Konkordia-liitto",13
"486","Kurikka",13
"487","Lindstedt'in antikvaarinen kirjakauppa",13
"488","Länsisuomalais-osakunta",13
"489","Ola´n",13
"490","Oulun läänin talousseura",13
"491","Raivaajan kirjapaino",13
"492","Statsrådet",13
"493","Suomen maantieteellinen yhdistys",13
"494","Terveydenhoitoyhdistys",13
"495","Toimittajan kustannuksella",13
"496","Unggren",13
"497","Väinämöisen kirjakauppa",13
"498","W. Söderström",13
"499","aff Peder Wald",13
"500","debat Johannes Winter",13
"501","sa  Johanne Winter",13
"502","sa a^ Petro Hansonio, Acad. typ",13
"503","tryckt hoos Niclas Wankijff, kongl. booktr",13
"504","tryckte i Frenckellska boktryckeriet",13
"505","Åbo stad",13
"506"," apud Jo. Laur. Wallium",12
"507"," apud Joh. L. Wallium",12
"508"," apud Johannem L. Wallium, A. t",12
"509","Anders Zetterberg",12
"510","Andreas Gutterwitz",12
"511","C. A. Gottlund",12
"512","Etelä-Pohjanmaan nuorisoseura",12
"513","Finlands Svenska Arbetareförbund",12
"514","Finska Forstsamfundet",12
"515","Finska Sparbanksföreningen",12
"516","Frenckell & Son",12
"517","Författarens förlag",12
"518","G. W. Edlund, distr",12
