"","publisher","n"
"2354","Prändätty J. C. Frenckellin tykönä",1
"2355","Präntätty Kuning:sa suomalaisesa präntisä, direktörin Joh. A. Carlbohmin tykönä",1
"2356","R. A. typ. E. Flodström",1
"2357","R. Acad. typ. J. Kiämpe",1
"2358","R. Acad. typ. Joh. Kiampe",1
"2359","Reg. Ac. typ. Joh. Kiämpe",1
"2360","Reg. Acad. typ. Joh. C. Frenckell",1
"2361","Reg. acad. tyogogr. [sic] Joh. Kiämpe",1
"2362","Reinhold von Becker",1
"2363","Revsnerianis",1
"2364","Robert Hindmarsh",1
"2365","Robert de Vaugondy] :;[Ches Boudet Ingenieur du Roi",1
"2366","S. Mu¨nster",1
"2367","S.n",1
"2368","Samuel Heil",1
"2369","Samuel Norberg",1
"2370","Samuel Norberg, kongl. gymn. boktr",1
"2371","Schroderianis",1
"2372","Schwiegerau",1
"2373","Sederholm",1
"2374","Simonis Gronenbergii",1
"2375","Simonis Gronenbergij",1
"2376","Societatis Biblicae Fennicae",1
"2377","Stenhammar och Palmblad, Kongl. Akad. boktryck",1
"2378","Stephan Möllemann",1
"2379","Sumptibus et aeneis Iudoci Hondij",1
"2380","Sumptibus et aeneis Judoci Hondij",1
"2381","Suomen Biblia-Seura",1
"2382","Sva^tejs<U+030C>ij Pravitel'stvennyj Sinod",1
"2383","Sällskap i Åbo",1
"2384","T. Cox",1
"2385","Th. Abborilda, cuning. gymn. kirjanpr",1
"2386","Th. J. Schreiber",1
"2387","Th. Wierings Erben",1
"2388","Thomas Abbor, gymnasii typogr",1
"2389","Thomas Georgin waiwal ia culutuxel Ignatius Meurerin tykenä",1
"2390","Thomas von Wierings Erben",1
"2391","Tipografi`a^ Departamenta vne<U+030C>s<U+030C>nej torgovli",1
"2392","Tipografi`a^ Imperatorskoj rossi`jskoj akademi`i",1
"2393","Tryckt af Heinrich Kaysern",1
"2394","Tryckt aff Petro Hansonio. Acad. typ",1
"2395","Tryckt hos L. Salvius",1
"2396","Tryckt hos M. E. Iversen",1
"2397","Tryckt i Åbo. Anyo Stockholm, hos Anders Zetterberg",1
"2398","Tryckt. Af. Peter. Jöransson. Nyström",1
"2399","Tryckt. Hos. Direct. Lars. Salvius",1
"2400","Tryckt. Hos. Johan. Christoph. Frenckell",1
"2401","Tryckt. Hos. K. Acad. Boktr. J. C. Frenckells. Enka",1
"2402","Tryckt. hos. [sic] Kongl. Acad. Boktr. J. C. Frenckells. Enka",1
"2403","Tryckte. Hos. J. C. Frenckell",1
"2404","Tryckte. Hos. Johan. Christopher. Frenckell",1
"2405","Trykt paa det Kongl. Danske Selskab Bekostning, hos Christoph Georg Glasing",1
"2406","Typ. acad",1
"2407","Typis Acad",1
"2408","Typis. Caroli. Stolpe",1
"2409","V' Tipografi`i Departamenta vne<U+030C>s<U+030C>nej torgovli",1
"2410","Verlage des Industrie-Comptoirs",1
"2411","Viti Haberegger, Academiae Carolinae typogr",1
"2412","Viti Haberegger, Gouv. & Acad. Carol. typographi",1
"2413","Vulpius",1
"2414","W. Faden",1
"2415","Wallianis, debat Petrus E. Wald",1
"2416","Wallianis, debat Petrus E. Waldius",1
"2417","Wankifs enckia",1
"2418","Wankifs änckia",1
"2419","Wankijffs änka",1
"2420","Wankivianis",1
"2421","Wendt",1
"2422","Wennberg & compagnie",1
"2423","Wennberg och Nordström, år",1
"2424","Weppling",1
"2425","Wiborg",1
"2426","William Innys ... et al",1
"2427","Winter, Johan",1
"2428","Wm. Faden",1
"2429","Z. Hagemann",1
"2430","Zacharias Asp",1
"2431","Zeipel och Palmblad",1
"2432","Zeipel och Palmblad, Kongl. Acad. boktr",1
"2433","[...] Fre",1
"2434","a Joh. L. Wallio, Reg. Univ. typogr",1
"2435","a Johanne Laurentii Wallio, Univ. typogr",1
"2436","a Johanne Waldio, Reg. Univ. Abo. typographo",1
"2437","a Johanne Winter, typogr. regio",1
"2438","a Laur. Arv. Collin",1
"2439","a Petro Hansonio, Acad. typ",1
"2440","a la librairie Ste´re´otype, chez H. Nicolle, rue des Petits-Augustins, no. 15",1
"2441","ab Regiae Academiae typographo Johanne Laurentii Wallio",1
"2442","ac impensis Joh. Laurent. Horrn, Reg. Ant. Arch. typogr",1
"2443","academicis exprimeb. Joh. Kiampe, R. U. t",1
"2444","af Abrah. Habereger, Ac. C. och G. btr",1
"2445","af Anders Biörckman",1
"2446","af Andrea Gutterwitz",1
"2447","af Andreas Biörckman",1
"2448","af Chr. Reusnero",1
"2449","af Daniel I. Medelplaan",1
"2450","af Daniel I. Medelplaan, gymn. typ",1
"2451","af Daniel Kämpe",1
"2452","af Daniel Medelplan gymn. boktr",1
"2453","af Georg Wilhelm Londicer; efter tryckt exemplar",1
"2454","af Gerhard Schröder",1
"2455","af H. C. Merckell",1
"2456","af Henr. C. Merckell, kongl. boktr. i stoor furstend. Finland",1
"2457","af Henrich Curio",1
"2458","af Ignatio Meurer, kongl. booktr",1
"2459","af Ioh. Winter, kongl. booktr",1
"2460","af Iohan L. Wall, acad. booktr",1
"2461","af Iohan L. Wall, kongl. Acad. boktr",1
"2462","af Iohan L. Wall, kongl. Acad. booktr",1
"2463","af Iohan Wald, Acad. booktryckiare",1
"2464","af Iohan Wald, academ. booktr",1
"2465","af Iohan Wallio, A. t",1
"2466","af Iohan Winter kongl. booktr. i stoorförstendömet Finland",1
"2467","af Iohan Winter, k. b",1
"2468","af Iohan Winter, kongl, booktryckare",1
"2469","af Iohan Winter, kongl. bookt",1
"2470","af Iohan Winter, kongl. booktr. i stoor-furstendömet Finland",1
"2471","af Iohan Winter, kongl. booktr. i stoor-förstendömet Finland",1
"2472","af Iohan Winter, kongl. booktr. vthi stoor-furstendömet Finland",1
"2473","af Iohan Winter, kongl. booktryckiare",1
"2474","af J. H. Werner",1
"2475","af J. H. Werner, Kongl. Mtz och acad. booktr",1
"2476","af J. Winter, kongl. booktr",1
"2477","af Joh. Georg. Eberdt",1
"2478","af Joh. H. Werner. Kongl. Boktr",1
"2479","af Joh. Hinr. Werner, kongl. boktr",1
"2480","af Johan Carlson Winter, kongl. booktryckiare vthi stoorförstendömet Finland",1
"2481","af Johan Kiämpe, Kongl. acad. boktr",1
"2482","af Johan L. Wald, Acad. booktr",1
"2483","af Johan L. Wall, A. t",1
"2484","af Johan Pauli",1
"2485","af Johan Wald Acad. booktr",1
"2486","af Johan Wald, Acad. booktr",1
"2487","af Johan Wald, Academiae booktryckiare",1
"2488","af Johan Wall Larszon, Kongl. Academie booktr",1
"2489","af Johan Winter kongl. book",1
"2490","af Johan Winter, Kongl. booktr",1
"2491","af Johan Winter, kongl. b",1
"2492","af Johan Winter, kongl. boktryckiare",1
"2493","af Johan Winter, kongl. booktr. Och finnes hoos honom til kiöps",1
"2494","af Johan Winter, kongl. booktr. i stoor-förstendömet Finland",1
"2495","af Johan Winter, kongl. booktr. vthi stoor-furstendömet Finland",1
"2496","af Johanne Pauli",1
"2497","af Kongl. ammiralitetz och Blekings provintz boktryckaren Johann Ludwig Happenius",1
"2498","af Niclas Wankijf, kongl. boktr",1
"2499","af Peder Schmidt",1
"2500","af Peder Wald, acad. typogr",1
"2501","af Petro Hansonio, Acad. typ",1
"2502","af Petro Hansonio, Acad. typog",1
"2503","af Th. Abbor, gymnasii booktryckiare",1
"2504","aff Anund Olufsson",1
"2505","aff Ch. Reusner",1
"2506","aff Chr. Reusnero",1
"2507","aff Chr. Reusnero regio typographo",1
"2508","aff Christoff Reusner",1
"2509","aff Christoffer Reusner",1
"2510","aff Eskill Matzson",1
"2511","aff Euchario Lauringer",1
"2512","aff Eucharis Lauringer",1
"2513","aff Georg Hantsch",1
"2514","aff Georg Hantsch, kongl: booktr",1
"2515","aff Hendrich Cvrio",1
"2516","aff Henrich Keyser kongl. booktr",1
"2517","aff I. Georg Eberdt",1
"2518","aff Ignatio Meurer, k. booktr",1
"2519","aff Ignatio Meurern, och fins hoos honom til köps",1
"2520","aff Iohan Carlsson Winter",1
"2521","aff Iohan Vogel",1
"2522","aff Iohan Vogel, acad. booktryckiare",1
"2523","aff Iohan Winter, kongl. boktr",1
"2524","aff Iohan Winter, kongl. booktr. i stoorfurstendömet Finland",1
"2525","aff Iohan Winter, kongl. booktr. vthi stoor-furstendömet Finland",1
"2526","aff Jacobo Pistorio",1
"2527","aff Jochim Fuess",1
"2528","aff Johan Balhorn",1
"2529","aff Johan Kankel",1
"2530","aff Johan Winter, Kongl. booktr. i stoorförstendöme Finland",1
"2531","aff Johan Winter, Kongl. booktr. vthi stoor-förstendömet Finland",1
"2532","aff Johan Winter, kongl. boktr. i storförstendömet Finland",1
"2533","aff Johan Winter, kongl. bookt. vthi Stoorfurstendömet Finland",1
"2534","aff Johan Winter, kongl. booktr. i Stoorfurstendömet Finland",1
"2535","aff Johan Winter, kongl. booktr. i stoorförstendöme Finland",1
"2536","aff Johan Winter, kongl. booktr. i storfurstendömet Finland",1
"2537","aff Johan Winter, kongl. booktr. vthi stoorförstendömet Finland",1
"2538","aff Johann Carlson Winter",1
"2539","aff Johann Georg Eberdt",1
"2540","aff Johann Kankel",1
"2541","aff Niclas Wankijff, kongl. booktr",1
"2542","aff Nicol. Wankijff, kongl. booktr",1
"2543","aff Oloff Oloffson",1
"2544","aff Oluff Oluffson",1
"2545","aff Peder Erickzson Wald, medh capitels tryck",1
"2546","aff Peder Hanson, Acad. typ",1
"2547","aff Peder Wald, Acad. typog",1
"2548","aff Peder Wald, Acad. typogr",1
"2549","aff Peder Wald, medh capitels tryck",1
"2550","aff Peder Waldz enckia",1
"2551","aff Peter Hansson Acad. typ",1
"2552","aff Petro Hansonio Acad. typ",1
"2553","aff Petro Hansonio, A. t",1
"2554","aff Petro Hansonio, Acad. typographo",1
"2555","aff Petro Hansonio. Acad. t",1
"2556","aff Petro Hansonio. Acad. typogr",1
"2557","aff Petter Hansson, acad. booktr",1
"2558","aff Torbiörn Tidemanson",1
"2559","aff hans hög-grefl: nådes hr. rijkzdråtzetens boocktryckare Iohann Kankel",1
"2560","afledne Kongl. Acad. boktryckaren Johan Christoffer Frenckells enka",1
"2561","ap. Petr. Wald",1
"2562","apuc Johannem Laurentii Wallium, Regiae Academiae typogr",1
"2563","apud & haeredes Joannis Elsevirii, Academiae typograph",1
"2564","apud Aegidium Janssonium Valckenier",1
"2565","apud Andream Cloucquium",1
"2566","apud Anundi Olai",1
"2567","apud Conradum Wishoff",1
"2568","apud Eschillum Matthiae",1
"2569","apud Henric A. Nordström",1
"2570","apud Henricum Curio, S. R. M. & Acad. Ups. bibliop",1
"2571","apud Herm. A. Moellerum, reg. typogr",1
"2572","apud J. Edman, et Reg. Acad. typog",1
"2573","apud JOh. Edman, et Reg. Acad. typogr",1
"2574","apud Jacobum Douzy",1
"2575","apud Jo. Frider. Gleditsch",1
"2576","apud Jo. Laurent. Wallium",1
"2577","apud Joh. Christoph. Frenckell",1
"2578","apud Joh. Edman Reg. Acad. typograph",1
"2579","apud Joh. Edman, et. Reg. Acad. typogr",1
"2580","apud Joh. Edman. & Reg. Acad. typogr",1
"2581","apud Joh. Fred. Edman, Reg. Acad. typogr",1
"2582","apud Joh. L. Wallium, A. t",1
"2583","apud Joh. Laur. Horrn, Reg. antiqv. archiv. typogr",1
"2584","apud Joh. Laurentii Wallium Reg. Acad. typogr",1
"2585","apud Joh. Wallium, A. t",1
"2586","apud Joha. Edman, director. et Reg. Acad. typogr",1
"2587","apud Johan. Edman",1
"2588","apud Johan. Edman, et Reg. Acad. typograp",1
"2589","apud Johannem L. Wallium",1
"2590","apud Johannem L. Wallium, Regiae Univ. ibid. typogr",1
"2591","apud Johannem Laurent. Wallium",1
"2592","apud Johannem Laurentii Wallium, A. t",1
"2593","apud Johannem Winter, typogr. reg. in mag. duc. Finl",1
"2594","apud Ludouicum Elzeuirum",1
"2595","apud Matth. Syngmanni",1
"2596","apud Matth. Syngmannum",1
"2597","apud Matthiae Syngmanni",1
"2598","apud Moelleri",1
"2599","apud Petri Hansonii",1
"2600","apud Petri Waldz",1
"2601","apud Petrum Wald, Acad. ibidem typogr",1
"2602","apud R. Acad. typ. J. C. Frenckell",1
"2603","apud Regiae Univ. typ. Johannem Laurentii Wallium",1
"2604","apud b. Joh. Höjer",1
"2605","apud reg. Acad. typ. J. C. Frenckell",1
"2606","apud vid. B. Hans. Acad. typ",1
"2607","apud vid. B. Joh. Höjeri",1
"2608","apud vid. b. Joh. Höjeri",1
"2609","apud. Joh. Edman, Direct. et Reg. Acad. typogr",1
"2610","apud. Joh. Edman, et Reg. Acad. typogr",1
"2611","apud. Reg. Acad. typ. J. C. Frenckell",1
"2612","apvd Eliam Lvzac",1
"2613","apvd Iohan Edman, director. et Reg. Acad. typogr",1
"2614","a` Joh. L. Wallio, A. t",1
"2615","a` Joh. Winter, reg. typ",1
"2616","a` Joh. Winter, reg. typogr",1
"2617","a` Johanne Winter, s.ae reg: majest: in Finlandia typogr",1
"2618","a` Johanne Winter, sae rae m:tis in Finlandia^ typograp",1
"2619","a^ Jo. Laurentii Wallio",1
"2620","a^ Joh. Christoph. Frenckell",1
"2621","a^ Joh. L. Wallio A. t",1
"2622","a^ Joh. L. Wallio, Acad. typogr",1
"2623","a^ Joh. Waldio, R. Univ. Ab. typogr",1
"2624","a^ Joh. Wallio, A. t",1
"2625","a^ Joh. Winter, typograph. Regio",1
"2626","a^ Johanne L. Wallio, A. t",1
"2627","a^ Johanne Vogelio, Reg. Acad. typog. expressa",1
"2628","a^ Johanne Wald, Reg. Universitatis ibidem typogr",1
"2629","a^ Johanne Winter, typ. reg. in magno ducatu Finland",1
"2630","a^ Johanne Winter, typog. regio in magno ducatu Finlandiae",1
"2631","a^ Johanne Winter, typogr. regio in magno ducatu Finlandiae",1
"2632","a^ Petro Hanson Acad. typogr",1
"2633","a^ Petro Hansonio Acad. t",1
"2634","a^ Petro Hansonio a. t",1
"2635","a^ Petro Hansonio typogr. Acad",1
"2636","a^ Petro Hansonio, A.t",1
"2637","a^ Petro Wald, Acad. typ",1
"2638","a^ Regiae Academiae typogr. Johanne L. Wallio",1
"2639","b. Höjeri",1
"2640","bat [!] Petrus Wald, Acad. typogr",1
"2641","bey Caspar Holwein",1
"2642","bey Christoff Reusner",1
"2643","bey Georg Götzken",1
"2644","bey Gerhard Schrödern",1
"2645","bey Gerhard Schrödern gedruckt",1
"2646","bey Gottfried Kiesewetter",1
"2647","bey Hans Georg Eberdt",1
"2648","bey Heinrich Westphalen, dess Gymnasij Buchdruckern",1
"2649","bey Henrich Keyser",1
"2650","bey Iohan Winter, Königl. Buchdrucker",1
"2651","bey Johan Wintern",1
"2652","bey Johann Friedrich Hartknoch",1
"2653","bey S. Pitra, köningl. Buchhändler",1
"2654","bij Franc¸ois Bohn",1
"2655","bij Steenbergen van Goor",1
"2656","brändaty [sic] Laurentius Salviuxen tykona [sic",1
"2657","by J. van Schoonhoven en comp. en G. van den Brink Jansz. [Gedrukt ter drukkerye van Dirk Kemink, boekdrukker in de Schoute-Steeg t'Utrecht",1
"2658","by J. van Schoonhoven en comp. en G. van den Brink Janz. [Gedrukkt ter drukkerye van Dirk Kemink, Boekdrukker in de Schoute-Steeg t'Utrecht",1
"2659","by Jan ten Hoorn, boekverkooper, over't Oude Heeren Logement",1
"2660","calculis Reusnerianis",1
"2661","celsiss: com: reg: drotz: typographi Johannis Kankelii",1
"2662","chalcographa Jahn Wall haec cuderat arte magister gnaviter & pangens publica verba typo",1
"2663","charactere Nisiano",1
"2664","ches Jean de Ravensteyn",1
"2665","chez Bauer & Treuttel",1
"2666","chez C. Philibert",1
"2667","chez Claude Barbin, dans la grande sale du Palais, au signe de la croix",1
"2668","chez H. G. Löhner. MDCCXLVI",1
"2669","chez J. Co´vens et C. Mortier",1
"2670","chez Jean Chret. Frenckell",1
"2671","chez Jean Laur. Horrn, meur royal des antiq",1
"2672","chez Jean-Edme Dufour & Ph. Roux",1
"2673","chez Joh. H. Werner meur du Roy",1
"2674","chez Laurent. Salvius",1
"2675","chez Pierre Brunel sur le Dam",1
"2676","chez Pierre Schenk",1
"2677","chez Piget, ... Durand, ... MDCCXLIV",1
"2678","chez S. Pitra, Libraire du Roi",1
"2679","chez de Bure l'ai^ne´ libraire, Quai des Augustins",1
"2680","chez la veuve Olivier de Varennes, au Palais, dans la Salle royale, au Vase d'or",1
"2681","che`z J. C. Frenckell",1
"2682","che´s Jean de Ravesteyn",1
"2683","coh kongl. boktr. i stor-förstendömet Finnland Jacob Merckell",1
"2684","commissus apud Gerhardum Schröder",1
"2685","cum Acad. litt",1
"2686","cum Acad. litteris",1
"2687","cum Reg. Acad. litt",1
"2688","cun kj. pränt. H. C [sic] Merckelin leskeldä",1
"2689","cun. kirj. pränt. Hen [!] C. Merckellin leskeldä",1
"2690","cun. kirj. pränt. Hen. C. Merckelin leskeldä",1
"2691","cun. kirj. pränt. Henr. C. Mercellin [!] leskeldä",1
"2692","cun. kirj. pränt. Henr. C. Mercellin leski",1
"2693","cun. kirj. pränt. Henr. C. Merckelin, leskeldä",1
"2694","cun. kirj. pränt. Henr. C. Merkelin leskeldä",1
"2695","cun. kirj. pränt. Henrich Christ. Merckelin leskeldä",1
"2696","cun. kirj. pränt. suren ruhtin. maasa Suom. Henr. C. Merckelin leskeldä",1
"2697","cun. kirj. pränt. suuren ruhtin. maasa Suom. Henr. C. Merckelin leskeldä",1
"2698","cun. kirj. pränt. suuren ruhtin. maasa Suom. Henr. C. Merckellin leskeldä",1
"2699","cun. kirj. präntt. Henr. C. Merckelin leskeldä",1
"2700","cun. kirj. präntt. Henr. C. Merckellin leskeldä",1
"2701","cun. kirj. präntt. Henr. C. Merckellin leskieldä",1
"2702","cun. kirj. pränttäjän, Henr. C. Merckellin leskeldä",1
"2703","cunin. kirj. präntäjän Henr. C. Merckellin leskeldä",1
"2704","cuning. kirj. präntäij. Henr. Christoph. Merckellin leskeldä",1
"2705","cuning. kirj. präntäj. Henr. Christ. Merckelin leskeldä",1
"2706","cuning. trykisä Joh. Henr. [sic] Merckelin leskeldä",1
"2707","cuning:sa suomalaisessa prändisä, Johan Arvid Carlbomin tykönä",1
"2708","cuning:sesa suomalaisesa präntisä, Joh. Arv. Carlbohmilda",1
"2709","cuningal. kirj. präntäij. Henrich Christoph Merckelin leskeldä",1
"2710","cuningal. kirj. präntäj. Henrich Christophr Merckelin leskeldä",1
"2711","cuningalisen maij:tin kirjan pränt. Henr. C. Merckelildä",1
"2712","cuningalliseld kirjain pränttäjäldä, Johan Winterildä",1
"2713","cuningalliselda kirjain präntäjäldä",1
"2714","cuningallisesa suomalaisesa präntisä",1
"2715","cvm regio privilegio dit Henricus Curio, S. R. M. & Acad. Upsaliensis bibliop",1
"2716","de l'Imprimerie de l'Acade´mie Impe´riale des sciences",1
"2717","de l'Imprimerie royale",1
"2718","de l'merie de F. Drechsler",1
"2719","de l'merie de Jean Christophe Frenckell, meur de L'Academie d'Abo",1
"2720","de l'merie de N. Gretsch",1
"2721","de l'merie de P. P. A. Pluchart, Petite-Morskoi, No 120",1
"2722","de l'merie de T. Harper, le Jeune, et Cie. Crane Court, Fleet Street",1
"2723","de l'merie royale",1
"2724","de l'Imprimerie royale",1
"2725","de l'merie de F. Drechsler",1
"2726","de l'merie de P. P. A. Pluchart, Petite-Morsko<U+0457>, No 120",1
"2727","de novo  Matthia Syngmanno gymnasii typographo",1
"2728","deb. Joh. Kiämpe Reg. Acad. typ",1
"2729","deb. Johan Kiämpe Reg. acad. typogr",1
"2730","deb. Johannes Wald, Acad. typogr",1
"2731","deb. Reg. Acad. typogr. Joh. Kiämpe",1
"2732","debant J. C. Frenckell & fil. Acad. imper. typographi",1
"2733","debant J. C. Frenckell & fil. Imp. Academiae typographi",1
"2734","debant Stenhammar et Palmblad Reg. Acad. typogr",1
"2735","debant Stenhammar et Palmblad Reg. Acad. typographi",1
"2736","debant Stenhammar et Palmblad. Reg. Acad. typographi",1
"2737","debat Aeschillus Matth. Acad. typog",1
"2738","debat Boe¨tius Hagenius, consist. & gymn. typogr",1
"2739","debat Christoph. Reusnerus",1
"2740","debat Christophorus Reusnerus",1
"2741","debat Eschillus Matthiae Acad. typog",1
"2742","debat Eschillus Matthiae Academ. typograph",1
"2743","debat Eschillus Matthiae, Acad. typog",1
"2744","debat Eschillus Matthiae. Acad. typog",1
"2745","debat Eschillvs Matthiae",1
"2746","debat Escillus Matthiae",1
"2747","debat Eucharius Lauringerus, cons. typ",1
"2748","debat Eucharius Lauringerus, consistorij typogr",1
"2749","debat Fridemann. Hetstädt",1
"2750","debat Fridemannus Hetstät",1
"2751","debat Georgius Schönfels",1
"2752","debat Gerhardus Schröder",1
"2753","debat Heinricus Caesar",1
"2754","debat Henr. C. Merckell. typogr. reg",1
"2755","debat Henr. Christoph. Merckell, reg. typogr",1
"2756","debat Henricus Keysar",1
"2757","debat Henricus Keyser reg. typ",1
"2758","debat Iacobvs Pistorivs",1
"2759","debat Ignatius Meurer",1
"2760","debat Ioachimus Boe¨lius sumtibus Clementis Bergeri bibliopolae Witteberg",1
"2761","debat Ioannes Daubmannus",1
"2762","debat Ioannes Saxo",1
"2763","debat Ioh. Faber, Cratonianis",1
"2764","debat Joachimus Pedanus, Acad. typ",1
"2765","debat Joh. Kiaempe, Reg. Acad. typogr",1
"2766","debat Johan. Pauli, Acad. typogr",1
"2767","debat Johannes Albinus Acad. typogr",1
"2768","debat Johannes Gormannus",1
"2769","debat Johannes Laurentii Wallius, A.t",1
"2770","debat Johannes Pauli Ac. typ",1
"2771","debat Johannes Pauli Acad. typog",1
"2772","debat Johannes Pauli, typographus Vpsaliensis",1
"2773","debat Johannes Wi[...] reg. typ",1
"2774","debat Johannes Winter typ. reg. Finland",1
"2775","debat Johannes Winter, typogr. reg",1
"2776","debat Johannes Winter. Reg: typogr",1
"2777","debat Panulus [sic] Egenolphus, typog. Acad",1
"2778","debat Peder Wald, Acad. typogr",1
"2779","debat Petr[...] Acad. typogr",1
"2780","debat Petrus Hanson, Acad. typ",1
"2781","debat Petrus Hansonius",1
"2782","debat Petrus Hansonius A. t",1
"2783","debat Petrus Hansonius, Acad. typog",1
"2784","debat Petrus Hansonius, Acad. typogr",1
"2785","debat Petrus Valdius. Consistorij ejusdemq[ue] typographus",1
"2786","debat Petrus Wald Acad. tyupogr",1
"2787","debat Petrus Wald acad. typogr",1
"2788","debat Petrus Wald, Aca. typ",1
"2789","debat Petrus Wald, Acad, typogr",1
"2790","debat Petrus Wald, Acad. typo",1
"2791","debat Petrus Wald, acad. typog",1
"2792","debat Stenhammar et Palmblad",1
"2793","debat Zacharias Brockenius; typogr. cap",1
"2794","debat Zeipel et Palmblad",1
"2795","debat Zeipel et Palmblad Reg. Acad. typographi",1
"2796","deit Jo. L. Wallius",1
"2797","depicta a^ Iohanne Winter",1
"2798","dess officin",1
"2799","det Kongl. tryckeriet, hos directeuren Pet. Momma",1
"2800","dia` tu^ Pe´tru Oua`ld [Peder Eriksson Wald] ekei^ typogra´fu",1
"2801","dictus. literis Henrici Keysers",1
"2802","dir. H. A. Moeller, reg. typographi",1
"2803","dir. Lars Salvius",1
"2804","direct Lars Salvius",1
"2805","directeur C. F. Berling",1
"2806","directeur. ja cuning. kirj. präntäjäldä, Jacob Merckellildä",1
"2807","directeur. ja cuning:da kirjan pränt. suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2808","directeur. ja cuningallis. kirjan präntäjäldä suuren ruthtinm. [sic] Suomes, Jacob Merckellildä",1
"2809","directeur. ja cuningallisen kirjan-präntäjäldä suuren ruhtinan. Suomes Jacob Merckellildä",1
"2810","directeur. ja cuningallisen kirjan-präntäjäldä, Jacob Merckellildä",1
"2811","directeur. och kongl. boktr. i Stor-förstendömet Finland, Jacob Merckell",1
"2812","directeur., Kongl. acad. och stadsens boktr. i stor-förstendömet Finnland, Jacob Merckell",1
"2813","directeuren Jacob Merckell",1
"2814","directeuren Joh. A. Carlbohm",1
"2815","directeuren Joh. Henr. Werners tryckerij",1
"2816","directeuren Johan Edman, Kongl. Acad. boktr",1
"2817","directeuren Johan Edman, Kongl. acad. boktr",1
"2818","directeuren Johan Edmans enka",1
"2819","directeuren Johoan A. Carlbohm",1
"2820","directeuren Pet. Momma",1
"2821","directeuren och Kongl. bokt. i stor-förstendömet Finland, Jacob Merckell",1
"2822","directeuren och Kongl. boktryckaren i Stor-förstendömet Finland, Jacob Merckell",1
"2823","directeuren och kgl. bok-tryckaren i stor-förstend. Finland, Jacob Merckell",1
"2824","directeuren och kongl. boktr. i stor-förstend. Finnland, Jacob Merckell",1
"2825","directeuren och kongl. boktr. i stor-förstendömet Finnland, Jacob Merckell",1
"2826","directeuren och kongl. boktr. i storförstendömet Finnland, Jacob Merckell",1
"2827","directeuren och kongl. boktr. uti stor-förstendömet Finland, Jacob Merckell",1
"2828","directeuren och kongl. boktryck. i stor-förstend. Finland, Jacob Merckell",1
"2829","directeuren och kongl. boktryckaren i Stor-Förstendömet Finland, Jacob Merckell",1
"2830","directeuren och kongl. boktryckaren i Stor-förstendömet Finland, Jacob Merckell",1
"2831","directeuren och kongl. boktryckaren i stor-furstend. Finland, Jacob Merckell",1
"2832","directeuren och kongl. boktryckaren i stor-förstendömet Finnland, Jacob Merckell",1
"2833","directeuren och kongl. boktryckaren i storförstendömet Finnland, Jacob Merckell",1
"2834","directeuren och kongl. fält-boktryckaren P. Sohm",1
"2835","directeuren on kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell",1
"2836","directeuri Jacob Merckelli-wainajan prändisä",1
"2837","directeurilda ja cuning:da kirjan-präntäjäldä suuresa ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2838","directeurildä Jacob Merckelildä",1
"2839","directeurildä ja Cuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2840","directeurildä ja cuning. kirjan-präntäjäldä, Jacob Merckellildä",1
"2841","directeurildä ja cuning. kirjanpräntäjäldä suuresa ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2842","directeurildä ja cuning.da kirjan pränt. suuresa ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2843","directeurildä ja cuning.da kirjan pränt. suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2844","directeurildä ja cuning:da kirjan pränt: suuren-ruhtinan-maasa Suom. Jacob Merckellildä",1
"2845","directeurildä ja cuning:da kirjan präntäjäldä suuren-ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2846","directeurildä ja cuning:da kirjan präntäjäldä suuresa-ruhtinan-maasa Suomesa Jacob Merckellildä",1
"2847","directeurildä ja cuning:da kirjan präntäjäldä suuresa-ruhtinan-maasa Suomesa, J. Merckellildä",1
"2848","directeurildä ja cuning:da kirjan- präntäjäldä suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2849","directeurildä ja cuning:da kirjan-pränttäjäldä Suuren-Ruhtinan-maasa Suuomesa Jacob Merckelildä",1
"2850","directeurildä ja cuning:da kirjan-präntäjäldä suuren-ruhtinan-maasa Suomesa, Jac. Merckellildä",1
"2851","directeurildä ja cuning:da kirjan-präntäjäldä suuresa ruhtinan-maasa Suomesa, Jacob Merckellildä",1
"2852","directeurildä ja cuning:da kirjan-präntäjäldä suuresa-ruhtinan maasa Suomesa, Jacob Merckellildä",1
"2853","directeurildä ja cuning:da nijn myös Turun academ. kirjan pränt. suures. ruhtin. maasa Suomesa Jacob Merckellildä",1
"2854","directeurildä ja cuning:da nijn myös Turun academian kirjan präntäjäldä Jacob Merckellildä",1
"2855","directeurildä ja cuning:da präntäjäldä Jacob Merckellildä",1
"2856","directeurildä ja cuning:da, nijn myös Turun academian kirjan-präntäjäldä Jacob Merckellildä",1
