"","publisher","n"
"208","dit Johannes Winter",10
"209","pränd. Georg Wilhelm Londicerildä",10
"210","prändätyt Frenckellin kirjan-prändisä",10
"211","präntätty Frenckellin kirjan-prändisä",10
"212","präntätty, directeurildä ja cuningalliselda kirjan präntäjäldä, Jacob Merckellildä",10
"213","ssum apud Reg. Acad. typogr. Joh. C. Frenckell",10
"214","& typog. reg. m. duc. Finland. Jacob Merckell",9
"215","A. Björkman",9
"216","Cölln",9
"217","J. C. Frenckellin tykönä",9
"218","J. C. Holmberg",9
"219","J. Nordenankar",9
"220","Joh. Kiämpe, Reg. Acad. typogr",9
"221","Johannes Vogelius, Academiae typogr",9
"222","Kongl. finska boktryckeriet",9
"223","Nyström och Stolpe",9
"224","Pietari Hannuxen pojalda Acad. typ",9
"225","S. G. Hermelin",9
"226","directeurildä ja cuning:da kirjan pränt. suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",9
"227","literis Höjerianis",9
"228","sa a^ Petro Hanson Acad. typogr",9
"229","sa a^ Petro Hansson, Acad. typogr",9
"230","tryckt hoos Ignatium Meurer",9
"231"," apud Johannem Wallium",8
"232","Cuningalisesa suomalaisesa prändisä",8
"233","F. J. Leverentz",8
"234","Iohan Winter",8
"235","J. Becker",8
"236","Joh. Christ. Frenckellildä",8
"237","Johan Christofer Frenckell",8
"238","Londicerin kirjan-prändisä",8
"239","Reg. Acad. typogr. J. C. Frenckell",8
"240","Reg. Acad. typogr. Joh. C. Frenckell",8
"241","aff Petter Hansson",8
"242","apud Johan. Edman, et Reg. Acad. typogr",8
"243","apud Reg. Acad. typogr. Joh. Christoph. Frenckell",8
"244","a^ Petro Wald, Acad. typogr",8
"245","ex officina J. C. Frenckell",8
"246","präntätty directörin Johan A. Carlbohmin tykönä",8
"247","s. apud Hansonii",8
"248","sa typ. Acad. apud Petri Waldz",8
"249","sus a^ Petro Hansonio Acad. typ",8
"250","tryckt aff Johann Winter",8
"251","tryckt aff Petter Hansson",8
"252"," J. Wal",7
"253"," Joh. Kaempe, Reg. Acad. typ",7
"254"," apud Johannem Wallium, A. t",7
"255","Amund Laurentsson",7
"256","And. Jac. Nordström",7
"257","G. W. Londicerin leski",7
"258","H. C. Merckell (leski",7
"259","Henr. C. Merckell",7
"260","Henric Christofer Merckell",7
"261","Henric Curio",7
"262","J. G. Lange",7
"263","J. Höjers encka",7
"264","J. Kiämpe",7
"265","Johan Chr. Frenckell",7
"266","Johan Christ. Holmberg",7
"267","Johannes Christophorus Frenckell, Reg. Acad. typograph",7
"268","Kongl. Acad. boktr. J. C. Frenckell",7
"269","Kongl. acad. boktr. J. C. Frenckells enka",7
"270","Kuning:sen acad. kirjan-präntäjän Frenckellin lesken tykönä",7
"271","P. Hesselberg",7
"272","Petar Waldilda",7
"273","Reg. Acad. typogr. Eric Flodström",7
"274","aff Johann Winter",7
"275","apud Joh. Edman, et Reg. Acad. typogr",7
"276","debant J. C. Frenckell et fil",7
"277","debant Zeipel et Palmblad",7
"278","debat Petrus Hansonius Acad. t",7
"279","directeuren Johan Edman",7
"280","directeuren och kongl. boktryckaren i stor-förstend. Finland, Jacob Merckell",7
"281","directeuren och kongl. boktryckaren i storförstendömet Finland, Jacob Merckell",7
"282","praelo Reusneriano",7
"283","pränd. cun. kirj. pränt. Henrich Christopher Merckelin leskeldä",7
"284","tryckt uti kongl. fält-tryckeriet",7
"285","tryckt uti kongl. tryckeriet",7
"286"," J. Kiaempe, R. Ac. typ",6
"287"," Joh. Kiaempe, Reg. Acad. typ",6
"288"," apud Joh. Laurentii Wallium, Regiae Univ. ibid. typogr",6
"289"," apud Johannem Laurentii Wallium, A. t",6
"290","Carl Johansson Röpke",6
"291","Cuning:sa suomalaisesa präntisä",6
"292","Daniel Medelplan",6
"293","F. P. Paulssen",6
"294","Frenckellin kirjanprändisä",6
"295","H. C. Merckel",6
"296","Ignatii Meureri",6
"297","Ignatius Meurer",6
"298","J. C. Frenckellin leski",6
"299","J. Edman",6
"300","Joh. Christ. Holmberg",6
"301","Joh. Kiaempe, R. A. typ",6
"302","Joh. Kiaempe, R. Acad. typogr",6
"303","Joh. Kiämpe Kongl. Acad. boktr",6
"304","Johan Christopher Merckell",6
"305","Johannes Christoph. Frenckell, Reg. Acad. typogr",6
"306","Kumblinska tryckeriet",6
"307","Kuning:sen acad. kirjan-präntäjän Joh. Christ. Frenckellin lesken tykönä",6
"308","Kuningallinen suomalainen pränti",6
"309","N. M. Lindh",6
"310","R. Ac. typ. Joh. Kiämpe",6
"311","R. Acad. typogr. J. C. Frenckell",6
"312","aff Iohann Winter",6
"313","debant J. C. Frenckell & fil",6
"314","debant J. C. Frenckell [et] fil",6
"315","debat Jacobus Pistorius",6
"316","directeuren och Kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell",6
"317","directeuri Jacob Merckelli wainajan präntisä",6
"318","directeurildä ja cuning:da kirjan-präntäjäldä suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä",6
"319","exscribebat Petrus Wald Acad. typographus",6
"320","gedruckt bei M. C. Iversen",6
"321","hoos Io. Wall",6
"322","m. Reg. Acad. Aboe¨ns. officin. typogr. Jacob Merckell",6
"323","per Joh. Kiaempe, Reg. Acad. typogr",6
"324","präntätty J. P. Lindhilda",6
"325","sa  Petro Hansonio, Acad. typogr",6
"326","sum a^ Petro Hansonio Acad. typ",6
"327","tryckt uti kongl. booktr. hoos sal. Wankifs änckia",6
"328","tryckt, hos och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",6
"329","tryckte hos J. C. Frenckell",6
"330"," Henr. C. Merckell, reg. typogr",5
"331"," Joh. Kiämpe, Reg. Acad. typogr",5
"332"," apud Matth. Syngmanni",5
"333"," a^ Joh. L. Wallio, A. t",5
"334","... Jacob Merckell",5
"335","Benjamin Gottlieb Schneider",5
"336","Eric Flodström",5
"337","Georg Wilhelm Londicer. Efter tryckt exemplar",5
"338","Henr. C. Merckell, kongl. boktr. i stoor-furstendömet Finland",5
"339","Henr. C. Merckell, reg. typogr",5
"340","Joh. C. Frenckellin tykönä",5
"341","Joh. Christoph. Frenckell, Reg. Acad. typogr",5
"342","Joh. Christopher Frenckell",5
"343","Joh. Kiampe, Reg. Acad. typ",5
"344","Joh. Laur. Horrn, Kongl. Antiquit. archivi boktr",5
"345","Joh. Winter, reg. typ",5
"346","Johan Edman, Kongl. acad. boktr",5
"347","Johann Vogel",5
"348","Johann Winterildä",5
"349","Johannes Brendeken, Acad. typographus",5
"350","Johannes Vogelius, Reg. Acad. typ",5
"351","K. Acad. boktr. J. C. Frenckells enka",5
"352","K. acad. boktr. J. C. Frenckells enka",5
"353","Kuning:sen acad. kirjan-präntäjäldä Johan Christopher Frenckellildä",5
"354","L. M. Höjer, Reg. Acad. typogr",5
"355","Peter Jör. Nyström",5
"356","Petter Jöransson Nyström",5
"357","R. Acad. typ. Joh. Kiämpe",5
"358","Reg. Acad. typ. J. C. Frenckell",5
"359","Regiae Academiae",5
"360","af Iohan Winter kongl. booktr",5
"361","af Iohan Winter, kongl. booktryckare",5
"362","aff Andrea Gutterwitz",5
"363","aff Iohan Winter, kongl. booktr",5
"364","aff Johan Winter, kongl. booktr",5
"365","apud Johan Edman, et Reg. Acad. typogr",5
"366","a^ Petro Hansonio, A. t",5
"367","a^ Petro Hansonio, Acad. typogr",5
"368","debant Regiae Academiae typographi",5
"369","directeuren Johan A. Carlbohm",5
"370","directeuren Lars Salvius",5
"371","directeuren och kongl. boktr. i stor-förstend. Finland, Jacob Merckell",5
"372","directeurildä ja cuning:da kirjan pränttäjäldä Jacob Merckellildä",5
"373","hoos sal. Matth. Syngmans enckia",5
"374","kuning:sesa suomalaisesa präntisä",5
"375","litteris Johan. Edman",5
"376","pränta af puk-dryckaren F. Philipp Pawalssån",5
"377","präntetty directörin Johan A. Carlbohmin tykönä",5
"378","präntätty Kuningallisesa suomalaisesa präntisä, Johan A. Carlbohmilda",5
"379","präntätyt Kuning:sesa suomalaisesa prändisä, Johan A. Carlbohmin tykönä",5
"380","sa apud Petrum Wald, Acad. typog",5
"381","sa a` Johanne L. Wallio, Reg. Academiae ibidem typographo",5
"382","sa a^ Johanne L. Wallio, Regiae Univ. ibid. typogr",5
"383","ssum apud Reg. Acad. typ. J. C. Frenckell",5
"384","sum  Johanne Winter",5
"385","sum a^ Johanne Winter",5
"386","tryckt aff Johan Winter, kongl. booktr",5
"387","tryckt uti det Kongl. boktryckeriet, af F. Phil. Paulssen",5
"388"," Joh. Kaempe, R. Ac. typ",4
"389"," Joh. Kiämpe Reg. Acad. typ",4
"390"," R. A. typ. E. Flodström",4
"391"," apud J. Wallium",4
"392"," apud Jo. Wallium, Reg. Univ. typogr",4
"393"," apud Joh. Laur. Wallium",4
